domain,station,aggregation_level,mean_percent,minimum_percent,maximum_percent,complete_repeats,n_masters,display_order,display_label,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
pills:Mira-3,pills,spectrum,33.3333333333,33.3333333333,33.3333333333,5,19,5,Pills / Mira-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Mira-3,pills,instrument_balanced_master,33.3333333333,33.3333333333,33.3333333333,5,19,5,Pills / Mira-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Pendar-1,pills,spectrum,77.6256613757,76.8849206349,79.0013227513,5,20,6,Pills / Pendar-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Pendar-1,pills,instrument_balanced_master,86.6666666667,83.8095238095,88.5714285714,5,20,6,Pills / Pendar-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Pendar-3,pills,spectrum,87.619047619,86.9047619048,90.4761904762,5,19,7,Pills / Pendar-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills:Pendar-3,pills,instrument_balanced_master,87.619047619,86.9047619048,90.4761904762,5,19,7,Pills / Pendar-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Agilent-3,surfaces,spectrum,45.8553791887,34.3915343915,52.9100529101,3,17,8,Surfaces / Agilent-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Agilent-3,surfaces,instrument_balanced_master,47.619047619,38.0952380952,53.9682539683,3,17,8,Surfaces / Agilent-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Mira-1,surfaces,spectrum,42.962962963,35.0168350168,50.8417508418,5,17,9,Surfaces / Mira-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Mira-1,surfaces,instrument_balanced_master,46.6666666667,38.0952380952,57.1428571429,5,17,9,Surfaces / Mira-1,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Pendar-2,surfaces,spectrum,77.2727272727,74.2424242424,81.6666666667,3,25,10,Surfaces / Pendar-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Pendar-2,surfaces,instrument_balanced_master,79.5454545455,74.8484848485,82.5757575758,3,25,10,Surfaces / Pendar-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Pendar-3,surfaces,spectrum,66.4153439153,62.1031746032,71.0317460317,3,17,11,Surfaces / Pendar-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:Pendar-3,surfaces,instrument_balanced_master,78.835978836,65.0793650794,90.4761904762,3,17,11,Surfaces / Pendar-3,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:RMX-2,surfaces,spectrum,67.9980842912,57.183908046,75.5268199234,5,23,12,Surfaces / RMX-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces:RMX-2,surfaces,instrument_balanced_master,76.7037037037,63.3333333333,86.6666666667,5,23,12,Surfaces / RMX-2,R2_unseen_instrument_domains,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
