station,aggregation_level,true_index,predicted_index,true_label,predicted_label,mean_row_fraction,minimum_row_fraction,maximum_row_fraction,mean_count_per_repeat,mean_true_support_per_repeat,repeat_count,minimum_domain_count,percent,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
pills,spectrum,1,2,benzyl_fentanyl,blank,0.420833333333,0.416666666667,0.4375,20.2,48,5,5,42.0833333333,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,2,0,blank,4_ANPP,0.0170731707317,0.0121951219512,0.0243902439024,1.4,82,5,5,1.70731707317,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,2,1,blank,benzyl_fentanyl,0.0536585365854,0.0365853658537,0.0731707317073,4.4,82,5,5,5.36585365854,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
pills,spectrum,2,2,blank,blank,0.929268292683,0.914634146341,0.951219512195,76.2,82,5,5,92.9268292683,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,0,0,4_ANPP,4_ANPP,0.636789404341,0.5,0.739130434783,15,24,5,3,63.6789404341,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,0,1,4_ANPP,acetaminophen,0.278114501822,0.181818181818,0.461538461538,6.8,24,5,3,27.8114501822,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,0,2,4_ANPP,benzyl_fentanyl,0.0850960938375,0.0384615384615,0.2,2.2,24,5,3,8.50960938375,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,1,0,acetaminophen,4_ANPP,0.148822277753,0.0923076923077,0.269230769231,9,62.6,5,3,14.8822277753,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,1,1,acetaminophen,acetaminophen,0.726069171527,0.673076923077,0.796610169492,45.4,62.6,5,3,72.6069171527,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,1,2,acetaminophen,benzyl_fentanyl,0.12510855072,0.0508474576271,0.184615384615,8.2,62.6,5,3,12.510855072,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,2,0,benzyl_fentanyl,4_ANPP,0.131059039708,0.0571428571429,0.218181818182,7,56,5,3,13.1059039708,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,2,1,benzyl_fentanyl,acetaminophen,0.310480031391,0.218181818182,0.440677966102,17.4,56,5,3,31.0480031391,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
surfaces,spectrum,2,2,benzyl_fentanyl,benzyl_fentanyl,0.558460928902,0.491525423729,0.657142857143,31.6,56,5,3,55.8460928902,R4_chemical_confusion,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
