experiment_id,task_id,domain,station,procedure_id,outer_repeat,spectrum_status,master_status,spectrum_balanced_accuracy,master_balanced_accuracy,master_minus_spectrum,pair_status,spectrum_percent,sample_percent,n_masters,figure_id,research_question_id,scope,population_id,preprocessing_policy_id,representation_id
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,1,complete,complete,0.454545454545,0.47619047619,0.021645021645,complete,45.4545454545,47.619047619,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,2,complete,complete,0.417508417508,0.428571428571,0.011063011063,complete,41.7508417508,42.8571428571,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,3,complete,complete,0.350168350168,0.380952380952,0.030784030784,complete,35.0168350168,38.0952380952,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,4,complete,complete,0.417508417508,0.47619047619,0.0586820586821,complete,41.7508417508,47.619047619,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,5,complete,complete,0.508417508418,0.571428571429,0.0630110630111,complete,50.8417508418,57.1428571429,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,1,complete,complete,0.759090909091,0.812121212121,0.0530303030303,complete,75.9090909091,81.2121212121,25,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,2,complete,complete,0.742424242424,0.748484848485,0.00606060606061,complete,74.2424242424,74.8484848485,25,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,3,unavailable,unavailable,,,,unavailable,,,25,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,4,unavailable,unavailable,,,,unavailable,,,25,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,5,complete,complete,0.816666666667,0.825757575758,0.00909090909091,complete,81.6666666667,82.5757575758,25,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,1,unavailable,unavailable,,,,unavailable,,,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,2,unavailable,unavailable,,,,unavailable,,,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,3,complete,complete,0.661111111111,0.809523809524,0.148412698413,complete,66.1111111111,80.9523809524,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,4,complete,complete,0.710317460317,0.904761904762,0.194444444444,complete,71.0317460317,90.4761904762,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,5,complete,complete,0.621031746032,0.650793650794,0.0297619047619,complete,62.1031746032,65.0793650794,17,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,1,complete,complete,0.745689655172,0.866666666667,0.120977011494,complete,74.5689655172,86.6666666667,23,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,2,complete,complete,0.690134099617,0.82962962963,0.139495530013,complete,69.0134099617,82.962962963,23,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,3,complete,complete,0.755268199234,0.82962962963,0.0743614303959,complete,75.5268199234,82.962962963,23,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,4,complete,complete,0.57183908046,0.633333333333,0.0614942528736,complete,57.183908046,63.3333333333,23,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,5,complete,complete,0.636973180077,0.675925925926,0.0389527458493,complete,63.6973180077,67.5925925926,23,R3_spectrum_sample_scatter,RQ-P01,S,primary_598,PP-U-MIN,R_MIN_400_1800
