scenario,outer_fold,declared_seed,evaluation_subset,representation,confidence_kind,requested_coverage,n_retained,realized_coverage,accuracy,selective_risk,confidence_threshold
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,83,0.8058252427184466,0.7951807228915663,0.20481927710843373,0.6385216482888129
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7087378640776699,0.821917808219178,0.17808219178082196,0.6536864757569895
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5048543689320388,0.8846153846153846,0.11538461538461542,0.6964142587695762
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,103,1.0,0.7669902912621359,0.23300970873786409,0.3688515461820399
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,93,0.9029126213592233,0.7956989247311828,0.20430107526881724,0.5436590895967893
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,83,0.8058252427184466,0.8433734939759037,0.15662650602409633,0.5692878218220254
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7087378640776699,0.8767123287671232,0.12328767123287676,0.6107557700208105
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5048543689320388,0.8846153846153846,0.11538461538461542,0.6654266970937485
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,118,1.0,0.7796610169491526,0.22033898305084743,0.25610771266022375
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,107,0.9067796610169492,0.8317757009345794,0.16822429906542058,0.37608783591224676
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,95,0.8050847457627118,0.8421052631578947,0.1578947368421053,0.42399481865088723
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,83,0.7033898305084746,0.9156626506024096,0.08433734939759041,0.48324626979407465
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,59,0.5,0.9661016949152542,0.03389830508474578,0.5973141167496379
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,118,1.0,0.6949152542372882,0.30508474576271183,0.4719021151026114
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,107,0.9067796610169492,0.7102803738317757,0.28971962616822433,0.5634011414237626
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,95,0.8050847457627118,0.7368421052631579,0.26315789473684215,0.5836815489780712
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,83,0.7033898305084746,0.7831325301204819,0.2168674698795181,0.6015437926838673
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,59,0.5,0.7966101694915254,0.2033898305084746,0.6344755168836635
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,118,1.0,0.7627118644067796,0.23728813559322037,0.24408499103795406
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,107,0.9067796610169492,0.7850467289719626,0.2149532710280374,0.4197328172161081
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,95,0.8050847457627118,0.8526315789473684,0.1473684210526316,0.450204429449747
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,83,0.7033898305084746,0.891566265060241,0.10843373493975905,0.49230944486064143
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,59,0.5,0.9491525423728814,0.05084745762711862,0.6243321704449893
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4,0.6,0.3275367476779054
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.35714285714285715,0.6428571428571428,0.33192565670865354
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.3333333333333333,0.6666666666666667,0.3514535102496363
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.36363636363636365,0.6363636363636364,0.3596343153211883
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.375,0.625,0.3677327160673617
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4,0.6,0.31509878793087476
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.35714285714285715,0.6428571428571428,0.33905085789586575
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.3333333333333333,0.6666666666666667,0.3400902465588618
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.2727272727272727,0.7272727272727273,0.3407978174949048
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.25,0.75,0.3496837722228097
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,15,1.0,0.4,0.6,0.30656818731318186
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,14,0.9333333333333333,0.42857142857142855,0.5714285714285714,0.3082610930238125
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,12,0.8,0.4166666666666667,0.5833333333333333,0.3186734371301771
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,11,0.7333333333333333,0.45454545454545453,0.5454545454545454,0.3193954071823192
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,8,0.5333333333333333,0.375,0.625,0.3251843526545699
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,104,1.0,0.7307692307692307,0.2692307692307693,0.39584794181720423
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,94,0.9038461538461539,0.7340425531914894,0.26595744680851063,0.5552258000101624
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,84,0.8076923076923077,0.7619047619047619,0.23809523809523814,0.5948028609003779
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7019230769230769,0.7671232876712328,0.23287671232876717,0.6629316861494295
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5,0.8076923076923077,0.1923076923076923,0.7180820209673761
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,104,1.0,0.6634615384615384,0.33653846153846156,0.47998030190986857
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,94,0.9038461538461539,0.6595744680851063,0.34042553191489366,0.5895153697624725
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,84,0.8076923076923077,0.6428571428571429,0.3571428571428571,0.6378312288990354
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7019230769230769,0.6575342465753424,0.34246575342465757,0.6897075827154008
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5,0.6923076923076923,0.3076923076923077,0.7525329122678391
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,104,1.0,0.6153846153846154,0.3846153846153846,0.4919666238260073
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,94,0.9038461538461539,0.6170212765957447,0.3829787234042553,0.5948831390305309
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,84,0.8076923076923077,0.6309523809523809,0.36904761904761907,0.6644170547026162
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,73,0.7019230769230769,0.6301369863013698,0.36986301369863017,0.6805473386218999
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,52,0.5,0.75,0.25,0.7276932137602831
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,119,1.0,0.6974789915966386,0.3025210084033614,0.4332177346883969
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,108,0.907563025210084,0.7222222222222222,0.2777777777777778,0.5504703517064172
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,96,0.8067226890756303,0.78125,0.21875,0.5871683102825639
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,84,0.7058823529411765,0.8214285714285714,0.1785714285714286,0.6276807326687293
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,60,0.5042016806722689,0.8166666666666667,0.18333333333333335,0.6771187495944263
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,119,1.0,0.6218487394957983,0.37815126050420167,0.4645707400798077
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,108,0.907563025210084,0.5925925925925926,0.40740740740740744,0.5502916852225549
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,96,0.8067226890756303,0.6145833333333334,0.38541666666666663,0.5886347480407528
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,84,0.7058823529411765,0.6309523809523809,0.36904761904761907,0.6158932605357299
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,60,0.5042016806722689,0.65,0.35,0.6634996505392411
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,119,1.0,0.6470588235294118,0.3529411764705882,0.27077741155732876
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,108,0.907563025210084,0.6851851851851852,0.31481481481481477,0.4294489224182557
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,96,0.8067226890756303,0.7083333333333334,0.29166666666666663,0.48725865962796805
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,84,0.7058823529411765,0.7261904761904762,0.27380952380952384,0.5406933013373956
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,60,0.5042016806722689,0.85,0.15000000000000002,0.627162788327578
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,22,1.0,0.3181818181818182,0.6818181818181819,0.358039952764869
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,20,0.9090909090909091,0.3,0.7,0.3633591007942203
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,18,0.8181818181818182,0.3333333333333333,0.6666666666666667,0.3709085538167814
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,16,0.7272727272727273,0.375,0.625,0.3788407534809177
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,11,0.5,0.36363636363636365,0.6363636363636364,0.3826205944902893
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,22,1.0,0.2727272727272727,0.7272727272727273,0.3455318073589988
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,20,0.9090909090909091,0.25,0.75,0.3559833973330617
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,18,0.8181818181818182,0.2777777777777778,0.7222222222222222,0.3620637635769961
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,16,0.7272727272727273,0.25,0.75,0.3654105222588631
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,11,0.5,0.18181818181818182,0.8181818181818181,0.3728492513688747
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,22,1.0,0.2727272727272727,0.7272727272727273,0.3456196293701944
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,20,0.9090909090909091,0.3,0.7,0.3524222226305385
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,18,0.8181818181818182,0.2777777777777778,0.7222222222222222,0.3569674665778834
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,16,0.7272727272727273,0.3125,0.6875,0.35958060619311527
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,11,0.5,0.2727272727272727,0.7272727272727273,0.37011545194262363
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,95,1.0,0.6736842105263158,0.3263157894736842,0.5022941081476975
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,86,0.9052631578947369,0.686046511627907,0.313953488372093,0.5597702065753095
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,76,0.8,0.7368421052631579,0.26315789473684215,0.6049246460066107
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,67,0.7052631578947368,0.7761194029850746,0.22388059701492535,0.6344350765682365
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,48,0.5052631578947369,0.875,0.125,0.6811503382033103
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,95,1.0,0.6,0.4,0.5512405772858092
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,86,0.9052631578947369,0.627906976744186,0.37209302325581395,0.6172900543015527
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,76,0.8,0.6447368421052632,0.35526315789473684,0.6567709595337645
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,67,0.7052631578947368,0.6865671641791045,0.31343283582089554,0.6840717142537414
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,48,0.5052631578947369,0.7291666666666666,0.27083333333333337,0.7154928112783346
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,95,1.0,0.6210526315789474,0.3789473684210526,0.5945108565928101
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,86,0.9052631578947369,0.6395348837209303,0.36046511627906974,0.6828481426869636
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,76,0.8,0.6842105263157895,0.3157894736842105,0.720006968050702
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,67,0.7052631578947368,0.6716417910447762,0.32835820895522383,0.7372040608549547
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,48,0.5052631578947369,0.7916666666666666,0.20833333333333337,0.7691817917938296
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,117,1.0,0.6239316239316239,0.37606837606837606,0.5836487767806614
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,106,0.905982905982906,0.6320754716981132,0.3679245283018868,0.6791718452882035
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,94,0.8034188034188035,0.648936170212766,0.35106382978723405,0.7092511182201889
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,82,0.7008547008547008,0.6951219512195121,0.30487804878048785,0.7322076983390745
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.5,59,0.5042735042735043,0.7288135593220338,0.27118644067796616,0.7610364066806176
nato_outer_o2__train_strict_core__test_strict_core,2,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,1.0,117,1.0,0.5299145299145299,0.4700854700854701,0.38502305423435434
nato_outer_o2__train_strict_core__test_strict_core,2,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.9,106,0.905982905982906,0.5283018867924528,0.4716981132075472,0.5850060599629023
nato_outer_o2__train_strict_core__test_strict_core,2,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.8,94,0.8034188034188035,0.5531914893617021,0.44680851063829785,0.6103568246617155
nato_outer_o2__train_strict_core__test_strict_core,2,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,0.7,82,0.7008547008547008,0.5487804878048781,0.4512195121951219,0.6406309131558436
