stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_probe_balanced_accuracy,instrument_probe_balanced_accuracy,sensor_probe_balanced_accuracy,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,431511342,61,0.7849390324234737,47,22,25,0.6363636363636364,0.3786549707602339,0.6363636363636364,1.2642515159827992,0.5335242351051922,0.20313645035014946,0.6609428524971008,1.0420849323272705,0.3811420798301697,,3.0292763710021973,0.6363636363636364,,0.3741987179487179,0.6036363636363636,47,1.0,,0,0.0,0.7660256410256411,47,1.0,719584,390,719974,97bdf3d36a458b98b558dd7cd54915e84163ebf2a15fd3d402c8757152e953a4
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1109455259,61,0.7849390324234737,47,22,25,0.6363636363636364,0.3786549707602339,0.6363636363636364,1.2559758705228228,0.6049040368689104,0.2805272643885548,0.7324218153953552,1.0603694915771484,0.3279476761817932,,3.1919867992401123,0.6363636363636364,,0.3485576923076923,0.5333333333333333,47,1.0,,0,0.0,0.8181089743589745,47,1.0,719584,390,719974,2b268a3b64fec3240f4c98925bea71df74dbe3bc9c6c38ac83a71ba56a66f260
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,947674840,61,0.7849390324234737,47,22,25,0.6818181818181819,0.3944444444444445,0.6818181818181818,1.2415454608759453,0.47245292954902995,0.16453994308935724,0.683825671672821,1.0394636392593384,0.35563796758651733,,2.8818986415863037,0.6818181818181819,,0.3846153846153846,0.6036363636363636,47,1.0,,0,0.0,0.7660256410256411,47,1.0,719584,390,719974,d1abe36b6b4e5bf4c2241cdc98bb149e8180d83a150c38c47ba50687487b9661
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1187109099,61,0.7849390324234737,65,65,0,0.625,0.3335621139327385,0.5076923076923077,1.9458400729223282,0.7530929381137049,0.2926542187950689,0.6540490388870239,1.1145707368850708,0.4605216979980469,,4.221623420715332,0.6364942528735632,,0.5307881773399015,0.8778735632183908,65,1.0,,0,0.0,0.7192118226600985,65,1.0,719584,455,720039,b9cabc40797da2a7130f85f7de5cf39a8daba13a28e765a822526d183059a8d7
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,707382062,61,0.7849390324234737,65,65,0,0.6364942528735632,0.3114331723027375,0.5230769230769231,1.6117147978747715,0.6640256153853137,0.2692535024075225,0.6908668875694275,1.2575424909591675,0.56667560338974,,4.720678806304932,0.6364942528735632,,0.6564039408866995,0.9238505747126436,65,1.0,,0,0.0,0.6305418719211823,65,1.0,719584,455,720039,a0f813a62e95a3a8d12cc760f40a71636ede4455c8636565d24681b5aa5af32f
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1403016840,61,0.7849390324234737,65,65,0,0.6364942528735632,0.23802372012634843,0.5230769230769231,1.6803584486469785,0.6572434045485572,0.2526700938635289,0.7189927697181702,1.1706264019012451,0.45163363218307495,,5.011111736297607,0.6479885057471264,,0.6995073891625616,0.9056513409961685,65,1.0,,0,0.0,0.6674876847290641,65,1.0,719584,455,720039,1890c2804628691468190cf706cec1de28974eeecf2e8a155d3072d1b63af3ce
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1088952384,61,0.7849390324234737,23,23,0,0.788888888888889,0.251984126984127,0.782608695652174,0.6755263301017193,0.31350445389521253,0.16525962041036962,0.6782044768333435,1.406148910522461,0.7279444336891174,0.5533674359321594,4.243659496307373,0.788888888888889,0.3,,0.9444444444444444,18,0.782608695652174,0.46875,20,0.8695652173913043,,0,0.0,719584,455,720039,1db6d6c2b9cebda0039c49eb9b3c22b2c392d0747c0c0e9de9595cc0e77ba9ff
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1877956984,61,0.7849390324234737,23,23,0,0.9444444444444444,0.4852941176470588,0.9130434782608695,0.4802601935314866,0.19684859566216104,0.1384370402622588,0.6052280068397522,1.3792308568954468,0.7740028500556946,0.5058038830757141,3.8237528800964355,0.8444444444444444,0.3,,1.0,18,0.782608695652174,0.5625,20,0.8695652173913043,,0,0.0,719584,455,720039,7b1d23f19b0dd0d4bc7f574c20319679694c60eb3eee45eff6622ca7467946fd
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,185150623,61,0.7849390324234737,23,23,0,0.788888888888889,0.29398148148148145,0.782608695652174,0.7677634364903483,0.3198869355873232,0.2297535243930708,0.5991577506065369,1.3682042360305786,0.7690464854240417,0.49368542432785034,3.3214974403381348,0.8166666666666667,0.2,,0.8888888888888888,18,0.782608695652174,0.5,20,0.8695652173913043,,0,0.0,719584,455,720039,4be2c68d0cb1451e964db0c069dd4669453742269d27d1406f780a6fbfe8285b
domain,strict_core,domain_and_sample,sensor_family,H_SERS_H_Kit,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,550696171,61,0.7849390324234737,153,1,152,0.0,0.0,0.0,3.034745929332528,1.6824859083459838,0.8796043610305448,0.884919285774231,1.0619323253631592,0.17701303958892822,0.8663213849067688,4.733271598815918,0.0,0.16723356009070295,,0.5746223079395693,152,0.9934640522875817,0.38284202569916853,153,1.0,,0,0.0,719584,260,719844,0a0237aa3809039fc972706349127f468b772f0eed8e21ab1d7db15e5ebaa9fd
