class_label,support,predicted_count,true_positive,recall,precision,evaluation_phase,scenario,model_family,model,representation,seed
acetaminophen,0,3,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,2718
benzyl_fentanyl,8,5,5,0.625,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,2718
ethyl_paraoxon,0,5,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,2718
4_ANPP,11,8,8,0.7272727272727273,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,3141
acetaminophen,0,1,0,,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,3141
benzyl_fentanyl,8,10,8,1.0,0.8,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-1,siamese,deterministic_edge_triplet,derivative_1,3141
4_ANPP,16,30,12,0.75,0.4,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_nitrophenol,9,2,2,0.2222222222222222,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
acetaminophen,7,2,1,0.14285714285714285,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
benzyl_fentanyl,20,20,5,0.25,0.25,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
ethyl_paraoxon,4,5,2,0.5,0.4,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,1729
4_ANPP,16,23,11,0.6875,0.4782608695652174,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
4_nitrophenol,9,2,2,0.2222222222222222,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
acetaminophen,7,7,2,0.2857142857142857,0.2857142857142857,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
benzyl_fentanyl,20,23,9,0.45,0.391304347826087,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
ethyl_paraoxon,4,4,2,0.5,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,2718
4_ANPP,16,29,12,0.75,0.41379310344827586,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_nitrophenol,9,4,4,0.4444444444444444,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
acetaminophen,7,7,1,0.14285714285714285,0.14285714285714285,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
benzyl_fentanyl,20,18,4,0.2,0.2222222222222222,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
ethyl_paraoxon,4,1,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,ae,c8x16_z64_spectral_composite_clean,arpls_minmax,3141
4_ANPP,16,19,14,0.875,0.7368421052631579,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
4_nitrophenol,9,6,3,0.3333333333333333,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
acetaminophen,7,3,1,0.14285714285714285,0.3333333333333333,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
benzyl_fentanyl,20,31,18,0.9,0.5806451612903226,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
ethanol,5,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
ethyl_paraoxon,4,2,1,0.25,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,arpls_minmax,2026
4_ANPP,16,21,15,0.9375,0.7142857142857143,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
4_nitrophenol,9,16,9,1.0,0.5625,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
acetaminophen,7,4,1,0.14285714285714285,0.25,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
benzyl_fentanyl,20,16,16,0.8,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
ethyl_paraoxon,4,2,2,0.5,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,derivative_1,2026
4_ANPP,16,20,14,0.875,0.7,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
4_nitrophenol,9,7,4,0.4444444444444444,0.5714285714285714,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
acetaminophen,7,10,1,0.14285714285714285,0.1,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
benzyl_fentanyl,20,23,15,0.75,0.6521739130434783,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
ethanol,5,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
ethyl_paraoxon,4,1,1,0.25,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,linear_svm,minimal_minmax,2026
4_ANPP,16,25,14,0.875,0.56,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
4_nitrophenol,9,4,4,0.4444444444444444,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
acetaminophen,7,3,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
benzyl_fentanyl,20,27,12,0.6,0.4444444444444444,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
ethyl_paraoxon,4,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,arpls_minmax,2026
4_ANPP,16,20,14,0.875,0.7,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
4_nitrophenol,9,6,6,0.6666666666666666,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
acetaminophen,7,16,3,0.42857142857142855,0.1875,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
benzyl_fentanyl,20,15,15,0.75,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
ethyl_paraoxon,4,2,1,0.25,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,derivative_1,2026
4_ANPP,16,7,3,0.1875,0.42857142857142855,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
4_nitrophenol,9,6,3,0.3333333333333333,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
acetaminophen,7,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
benzyl_fentanyl,20,48,19,0.95,0.3958333333333333,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
ethanol,5,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
ethyl_paraoxon,4,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,nearest_centroid,minimal_minmax,2026
4_ANPP,16,17,14,0.875,0.8235294117647058,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
4_nitrophenol,9,6,4,0.4444444444444444,0.6666666666666666,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
acetaminophen,7,5,1,0.14285714285714285,0.2,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
benzyl_fentanyl,20,29,18,0.9,0.6206896551724138,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
ethanol,5,4,3,0.6,0.75,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
ethyl_paraoxon,4,0,0,0.0,,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,arpls_minmax,2026
4_ANPP,16,20,15,0.9375,0.75,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
4_nitrophenol,9,14,9,1.0,0.6428571428571429,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
acetaminophen,7,4,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
benzyl_fentanyl,20,15,15,0.75,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
ethanol,5,3,3,0.6,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
ethyl_paraoxon,4,5,2,0.5,0.4,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,derivative_1,2026
4_ANPP,16,17,14,0.875,0.8235294117647058,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
4_nitrophenol,9,16,7,0.7777777777777778,0.4375,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
acetaminophen,7,3,0,0.0,0.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
benzyl_fentanyl,20,19,17,0.85,0.8947368421052632,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
ethanol,5,2,2,0.4,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
ethyl_paraoxon,4,4,2,0.5,0.5,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,classical,pca_logistic,minimal_minmax,2026
4_ANPP,16,23,12,0.75,0.5217391304347826,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
4_nitrophenol,9,3,3,0.3333333333333333,1.0,domain_transfer,domain__quality_pass__domain_and_sample__instrument__Agilent-3,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,1729
