stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row242,0.0002894784206900283,0.00014473921034501415,0.024067110050703205,0.9965162214351242,0.001738388958986304,4,3,0,0,1.0,0.08879881877990745,0.014360152650624514
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row243,0.001694948774986587,0.0008474743874932935,0.054681253835185524,0.9803887978604153,0.005891700578510738,11,4,1,1,3.0,0.26238067783973074,0.11030586389824748
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row257,0.00037483742640241326,0.00018741871320120663,0.017254524238838824,0.9961942656370066,0.0028569025135116786,11,11,6,6,1.0,0.05440659703613745,0.008689463138580322
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row261,0.009709285562214696,0.004854642781107348,0.1011793310689181,0.8011974486837287,0.03845879537918206,114,28,6,6,3.0,0.44512741589977306,0.1673266552388668
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row39,0.0018170839881875536,0.0009085419940937768,0.0695958873026058,0.9340214815794814,0.019029210989496538,94,9,3,3,2.0,3.6307335942056307,0.041491806507110596
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row40,0.00012387158063684411,6.193579031842206e-05,0.008772573323328692,0.9990551008477859,0.002651069791936607,5,5,2,2,1.0,0.10961439620098032,0.015125874429941177
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row41,0.0001951632821552069,9.758164107760345e-05,0.012141942425147816,0.9983155017314049,0.002429446364154241,3,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row42,0.024138927888153038,0.012069463944076519,0.1390213880578237,0.3862545804083781,0.06384060384928099,143,30,1,0,3.0,2.361753297231046,0.14625076949596405
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row47,0.001788149686012074,0.000894074843006037,0.07777194132601915,0.9061075929962928,0.0177328150271621,81,12,1,1,1.0,0.23864130607150552,0.08059304719790816
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row48,0.00013082262975706204,6.541131487853102e-05,0.009853637981470296,0.9989148527802163,0.0021575232299177773,2,2,1,1,0.0,0.09951322553902858,0.013396129012107849
