heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Au,400-1800_common,poster,poster_holdout_Au,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,3141,0.8200000000000001,0.8791666666666667,0.5861111111111111,50,50,0,,0.004414269513557657,0.0022071347567788283,0.032135796906103284,0.9661931173956251,0.005334989903191205,0.7975460122699386,1.0,0.26044831713235794,0.052806708961725235
Au,400-1800_common,poster,poster_holdout_Au,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,1729,0.98,0.9897959183673469,0.6598639455782312,50,50,0,,0.002580784936169107,0.0012903924680845536,0.07312194424738386,0.9527168811335607,0.010113365455913924,0.6214953271028038,2.0,0.22448749544355845,0.057143365032970905
Au,400-1800_common,poster,poster_holdout_Au,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,2718,0.94,0.9689625850340136,0.6459750566893424,50,50,0,,0.0028080867987340407,0.0014040433993670204,0.07338352502120961,0.9456593964998374,0.010257480705729021,0.5934579439252337,1.0,0.24983969018836144,0.053700828924775124
Au,400-1800_common,poster,poster_holdout_Au,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,3141,0.96,0.9795918367346939,0.6530612244897959,50,50,0,,0.0027730987690111363,0.0013865493845055682,0.07410913335873985,0.9535862429978594,0.01034029460082446,0.6004672897196262,1.5,0.23100005120005732,0.06331040570512414
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,nearest_centroid,minimal_minmax,none,2026,0.10666666666666667,0.09195402298850575,0.09195402298850575,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,pca_logistic,minimal_minmax,none,2026,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,linear_svm,minimal_minmax,none,2026,0.52,0.4615384615384615,0.4615384615384615,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,nearest_centroid,arpls_minmax,none,2026,0.6666666666666666,0.5459468902865129,0.5459468902865129,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,pca_logistic,arpls_minmax,none,2026,0.6666666666666666,0.5361125407445532,0.5361125407445532,75,75,0,,,,,,,,,,
PICO,400-1800_common,poster,poster_holdout_PICO,,classical,linear_svm,arpls_minmax,none,2026,0.7200000000000001,0.6600291403593977,0.6600291403593977,75,75,0,,,,,,,,,,
