evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row242,0.00028947842069,0.000144739210345,0.0240671100507032,0.9965162214351242,0.0017383889589863,4,3,0,0,1.0,0.0887988187799074,0.0143601526506245,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row243,0.0016949487749865,0.0008474743874932,0.0546812538351855,0.9803887978604152,0.0058917005785107,11,4,1,1,3.0,0.2623806778397307,0.1103058638982474,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row257,0.0003748374264024,0.0001874187132012,0.0172545242388388,0.9961942656370066,0.0028569025135116,11,11,6,6,1.0,0.0544065970361374,0.0086894631385803,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session1_row261,0.0097092855622146,0.0048546427811073,0.1011793310689181,0.8011974486837287,0.038458795379182,114,28,6,6,3.0,0.445127415899773,0.1673266552388668,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row39,0.0018170839881875,0.0009085419940937,0.0695958873026058,0.9340214815794814,0.0190292109894965,94,9,3,3,2.0,3.630733594205631,0.0414918065071105,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row40,0.0001238715806368,6.193579031842206e-05,0.0087725733233286,0.999055100847786,0.0026510697919366,5,5,2,2,1.0,0.1096143962009803,0.0151258744299411,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row41,0.0001951632821552,9.758164107760344e-05,0.0121419424251478,0.9983155017314048,0.0024294463641542,3,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row42,0.024138927888153,0.0120694639440765,0.1390213880578237,0.3862545804083781,0.0638406038492809,143,30,1,0,3.0,2.361753297231046,0.146250769495964,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row47,0.001788149686012,0.000894074843006,0.0777719413260191,0.9061075929962928,0.0177328150271621,81,12,1,1,1.0,0.2386413060715055,0.0805930471979081,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row48,0.000130822629757,6.541131487853102e-05,0.0098536379814702,0.9989148527802164,0.0021575232299177,2,2,1,1,0.0,0.0995132255390285,0.0133961290121078,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row90,0.0001354945314166,6.774726570831153e-05,0.0091777773897014,0.9989779948570916,0.0023811369037555,0,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row91,0.0177579497298423,0.0088789748649211,0.1184442273558903,0.6487849691822678,0.0579615009037245,145,36,10,6,3.0,1.429701597255748,0.1735696084797382,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row111,0.0002522535031762,0.0001261267515881,0.0300768078248013,0.9934039677111248,0.0020439771101363,14,13,2,2,1.0,0.102281072357257,0.016362483784178,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row112,0.0006739813340739,0.0003369906670369,0.0397939250815771,0.9889981676088364,0.0033619552814811,15,11,4,2,1.0,0.0873582589659965,0.026250010356307,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row115,0.0002701153609525,0.0001350576804762,0.0315419454163781,0.9923845645919964,0.0024472665155709,15,13,1,1,2.0,0.0625299252357438,0.0279088169336318,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row120,0.0005574501413278,0.0002787250706639,0.0369837754193288,0.9899085344405264,0.0035415167270834,16,12,1,1,1.0,0.0777357649990088,0.0166890155524015,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row190,0.0008846894747458,0.0004423447373729,0.0650140841849552,0.9540562479807402,0.011645516385449,48,8,5,4,1.5,0.1683361370788874,0.0596604879247024,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row195,0.0028566987806928,0.0014283493903464,0.0778103101915248,0.8739600098223411,0.0226196806315316,94,13,10,3,1.0,0.9072489358494744,0.0756910294294357,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row202,0.0004906627455484,0.0002453313727742,0.024635011379757,0.9832074651728492,0.0092735728461827,26,10,5,4,2.0,0.0819044491668679,0.0236583836376667,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row203,0.000953388839509,0.0004766944197545,0.0292266489969626,0.9770850113761388,0.012580373592209,41,10,7,6,2.5,0.4163106292609428,0.0557561963796615,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row207,0.0004176579261763,0.0002088289630881,0.021047155829259,0.9910067679545688,0.0077846467412642,18,10,3,2,1.0,0.1544500791137701,0.0226993188261985,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row213,0.0015346108605079,0.0007673054302539,0.0239050354682099,0.9830223434269488,0.0160849672449486,71,12,3,3,2.0,1.6402001384889549,0.0357294380664825,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row215,0.0012442094100947,0.0006221047050473,0.0189291179277747,0.9924412282937988,0.0209563091164454,107,12,3,1,2.0,3.261908081064438,0.0279749631881713,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row216,0.0020733128392176,0.0010366564196088,0.0227264960514873,0.984992184766838,0.0195894437190145,90,8,3,1,2.5,1.3189134218159173,0.0614765286445617,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row218,0.0017327640997763,0.0008663820498881,0.0253808739549987,0.9792405667518788,0.0167763878584706,84,14,4,3,2.5,1.6168355386229474,0.0522189140319824,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row223,0.0202649554631884,0.0101324777315942,0.1127101526256404,0.5740875291557342,0.0635428525378561,145,34,15,8,2.0,1.3983663212947366,0.1822428666055202,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row225,0.0211110920045812,0.0105555460022906,0.1254841997251256,0.5475082347859624,0.0561200466785313,134,26,22,8,2.0,0.8359155111213208,0.2713834568858146,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row229,0.0018779009024306,0.0009389504512153,0.083542698174529,0.8968928070055405,0.0193423376463553,94,11,8,4,1.0,1.5473207899679726,0.0761804282665252,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row287,0.0002236079978223,0.0001118039989111,0.0185528103718572,0.9967888873443822,0.0031587114604189,11,10,5,5,1.0,0.0651490849880237,0.0203524380922317,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row292,0.0009559081263798,0.0004779540631899,0.0368043922639151,0.9910518192675616,0.0030440555866861,12,10,6,6,1.0,0.158234441947403,0.0338448300026357,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row293,0.0004490817245464,0.0002245408622732,0.0215093231890297,0.9961129551809482,0.0019418349861786,10,10,6,6,1.0,0.0385537709091228,0.0161587418988347,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row299,0.0027070953889524,0.0013535476944762,0.0294692602032601,0.989524576287663,0.0073470668408221,13,2,0,0,2.0,2.2591433215571994,0.0544075518846511,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row308,0.0006944600987463,0.0003472300493731,0.0110584192216097,0.9961421783815716,0.002875272287721,1,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row315,0.000306689161333,0.0001533445806665,0.011204934960773,0.9971645293021346,0.0021908393500156,3,1,0,0,0.0,0.2507657371810243,0.0252147614955902,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row333,0.0010237898217415,0.0005118949108707,0.0262388730526423,0.9931360661477168,0.003797430829145,5,3,0,0,1.0,0.3862032977634842,0.074704173952341,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row335,0.0004305851341466,0.0002152925670733,0.0172292630195474,0.9937386425320084,0.0028336619293051,7,6,2,2,1.0,0.0480398440647964,0.0310656130313873,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row338,0.0014494447953017,0.0007247223976508,0.0522921044636115,0.9831899243892136,0.004207730771876,15,9,2,2,1.0,0.0895941191329673,0.0279930979013443,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row347,0.0002665393435353,0.0001332696717676,0.0102918322581301,0.9975237840697486,0.0022430886579136,3,1,1,0,1.0,0.3632992861673643,0.0113997459411621,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row355,0.0069578275033118,0.0034789137516559,0.0661104541480846,0.8980574070607868,0.0352482726937159,128,24,3,1,2.0,0.925988467050338,0.1466629356145858,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row3,0.00297299356192,0.00148649678096,0.0864445780492041,0.9078580506459452,0.0231539968790353,92,15,5,5,2.0,0.2266969163803119,0.0974181070923805,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row11,0.0040391023450603,0.0020195511725301,0.1181512192341918,0.7710232235811096,0.025180243875823,105,14,4,2,1.0,2.4072554440415197,0.0580351315438747,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row15,0.0213532868601063,0.0106766434300531,0.1242168231372892,0.4982320655806102,0.0637368005690846,146,33,3,3,2.0,1.3435956013437973,0.1822873502969741,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row29,0.0006490963472586,0.0003245481736293,0.0305638162804045,0.9880234443654844,0.0042926663022912,10,8,5,5,0.5,0.1587742264781076,0.027910616248846,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row30,0.000691684976268,0.000345842488134,0.0319698528787064,0.9889577736862916,0.0021897480257653,9,8,6,6,0.5,0.0824337324333387,0.0187536589801311,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row74,0.026580221416999,0.0132901107084995,0.1231774981835898,0.4619646213972246,0.0677041065174021,156,30,6,4,3.0,2.4180819485711136,0.1508888602256775,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row84,0.0206791754372157,0.0103395877186078,0.1257568235775854,0.5616634994190225,0.06404013783804,147,32,7,2,2.0,1.1645924709286668,0.210805719718337,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row93,0.0294170908967471,0.0147085454483735,0.1308454511232048,0.4715781662163492,0.0729227776326167,147,30,11,4,2.0,1.4460980776471923,0.2407424002885818,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row105,0.000195857191281,9.7928595640512e-05,0.0147492356835781,0.9970583169764402,0.0021689979906243,8,7,0,0,2.0,0.1528530403493263,0.0064287334680557,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row149,0.0002822042590495,0.0001411021295247,0.0193426181738308,0.9956079330089456,0.002592209538977,6,4,2,2,2.5,0.1049435273028101,0.0175224989652633,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row154,0.0013347429659302,0.0006673714829651,0.0209408028047939,0.9851619300623512,0.0061234945564397,8,7,6,6,1.0,0.0901407152826023,0.063864529132843,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row169,0.0002111653303942,0.0001055826651971,0.0132705909000089,0.996851847965068,0.0024403975465039,9,9,5,5,1.0,0.0462578841250981,0.0223149061203002,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row211,0.0006228045253694,0.0003114022626847,0.01635283079603,0.9954908280983396,0.0035291778721979,3,2,1,1,2.0,0.1716299487852602,0.0584413073956966,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row217,0.0015823834243513,0.0007911917121756,0.0699883083780235,0.9404416270601962,0.0142257181853139,60,7,3,3,1.0,0.1230958814594692,0.0392011161893606,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row224,0.0137309514752742,0.0068654757376371,0.1096727807781469,0.567133078760131,0.0528195002332462,144,26,3,1,3.0,1.5274289159593686,0.0917516984045505,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row225,0.0001926283361961,9.631416809808154e-05,0.0103214418784329,0.9987215921648918,0.0030815208551731,7,5,2,2,0.0,0.0411693921142178,0.0231109261512756,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row235,0.0001057287388955,5.286436944778741e-05,0.008566611903789,0.9991846205539496,0.0023784320316709,2,1,1,1,0.0,0.1962485562477715,0.0291954055428504,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row256,0.0002990614678932,0.0001495307339466,0.03020803237835,0.9936327580333654,0.0024111503349662,11,11,1,1,1.0,0.0547775645409839,0.0251798443496227,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row259,0.0013814003083334,0.0006907001541667,0.0462903363390095,0.9827715564973668,0.0092363498977751,28,13,1,1,1.0,0.0831690541222671,0.0314775696024298,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row263,0.009208009375101,0.0046040046875505,0.1000357691502051,0.7763342857781466,0.033920168669096,116,25,6,2,2.0,1.1679685595032994,0.091777503490448,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row268,0.001516797690861,0.0007583988454305,0.0569149119382888,0.9747118176998716,0.0071838833440415,19,13,1,1,3.0,0.1307003240748266,0.0301806032657623,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row277,0.0010658471844687,0.0005329235922343,0.0572487469714119,0.9601717256952652,0.011998980552141,40,8,1,1,3.0,0.3383155461081387,0.0411373665556311,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row286,0.0029225446447344,0.0014612723223672,0.0810846032079483,0.9462464461163328,0.0154687568237256,69,15,2,1,1.0,0.81685263787326,0.1236234754323959,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row289,0.000128915040931,6.445752046551552e-05,0.0099863784994487,0.9989614023743312,0.0022480541635637,0,0,0,0,,,,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row296,0.0049369343180423,0.0024684671590211,0.0595184429841774,0.9444185631456656,0.0274921753177685,105,15,7,4,2.0,0.8452546621035607,0.0722376257181167,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row297,0.0031509463522779,0.0015754731761389,0.0505641375855989,0.9596657396763116,0.0236392946321783,98,11,0,0,3.0,1.3541493082157996,0.1205345019698143,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row298,0.0059008400990881,0.002950420049544,0.0716895101443725,0.9267463429832712,0.0261368738986285,106,17,7,4,2.0,1.0529205120513514,0.0973138585686683,,,,,,,,
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row306,0.0047118978285409,0.0023559489142704,0.0647941269028305,0.9225053795129636,0.0270285377837717,103,13,2,2,2.0,2.901233720453426,0.1389512736350298,,,,,,,,
