evaluation_phase,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row474,4_ANPP,benzyl_fentanyl,1.0,True,False,Agilent-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row477,benzyl_fentanyl,acetaminophen,1.0,True,False,Mira-1,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row480,acetaminophen,4_ANPP,1.0,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row482,acetaminophen,4_ANPP,1.0,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,nearest_centroid,minimal_minmax,none,2026,session3_row483,acetaminophen,4_ANPP,1.0,True,False,Pendar-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row33,4_ANPP,blank,0.7456249120973855,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row50,benzyl_fentanyl,4_ANPP,0.3849916707913242,True,False,Agilent-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row54,benzyl_fentanyl,4_ANPP,0.3743909504293228,True,False,Mira-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row177,4_nitrophenol,benzyl_fentanyl,0.7310215825077964,True,False,Pendar-2,H_SERS_H_Kit,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row227,ethanol,ethyl_paraoxon,0.4161643423288059,True,False,Mira-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session1_row242,4_nitrophenol,ethanol,0.3175975939635042,True,False,Agilent-3,GaN_polymer,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session2_row213,benzyl_fentanyl,acetaminophen,0.6019977862247088,True,False,RMX-2,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session2_row218,acetaminophen,ethanol,0.5794777383068702,True,False,RMX-2,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session2_row223,acetaminophen,blank,0.7935569895326844,True,False,Pendar-2,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session2_row347,ethanol,ethyl_paraoxon,0.3839886717724998,True,False,Mira-2,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session2_row355,ethanol,ethyl_paraoxon,0.8388275114492032,True,False,Pendar-3,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row15,ethanol,4_nitrophenol,0.9551156234760012,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row211,4_ANPP,benzyl_fentanyl,0.5697459775515777,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row235,benzyl_fentanyl,blank,0.4328565424212481,True,False,Mira-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row277,blank,4_ANPP,0.9815566688853432,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row297,4_ANPP,blank,0.6850931868271872,True,False,Pendar-1,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row306,benzyl_fentanyl,acetaminophen,0.4237195719782221,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row315,benzyl_fentanyl,4_ANPP,0.3838699929479517,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row323,4_ANPP,blank,0.4618893783104981,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row480,acetaminophen,4_ANPP,0.9337944485359914,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row483,acetaminophen,4_ANPP,0.3515606186026213,True,False,Pendar-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row497,acetaminophen,4_ANPP,0.7301732102975741,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,pca_logistic,minimal_minmax,none,2026,session3_row498,acetaminophen,4_ANPP,0.8661699434785073,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row33,4_ANPP,benzyl_fentanyl,6.309882328900888,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row36,blank,4_ANPP,5.303605562698863,True,False,Agilent-3,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row50,benzyl_fentanyl,4_ANPP,5.317867953180045,True,False,Agilent-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row177,4_nitrophenol,benzyl_fentanyl,6.313323728077177,True,False,Pendar-2,H_SERS_H_Kit,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row202,4_nitrophenol,ethyl_paraoxon,6.305006012350768,True,False,Pendar-2,GaN_polymer,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row227,ethanol,4_nitrophenol,5.2822806755125065,True,False,Mira-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row231,4_nitrophenol,ethanol,6.2930326798048135,True,False,Mira-2,GaN_polymer,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session1_row242,4_nitrophenol,acetaminophen,6.278725230454029,True,False,Agilent-3,GaN_polymer,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row42,blank,acetaminophen,5.298431623116665,True,False,Pendar-3,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row203,4_ANPP,acetaminophen,6.301740366313261,True,False,RMX-2,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row213,benzyl_fentanyl,acetaminophen,5.306151726861342,True,False,RMX-2,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row218,acetaminophen,ethyl_paraoxon,6.313384613163461,True,False,RMX-2,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row223,acetaminophen,blank,6.309489253692027,True,False,Pendar-2,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row299,4_nitrophenol,acetaminophen,6.303765059332953,True,False,RMX-1,NRC_Canadian_SERS,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row308,4_nitrophenol,ethanol,6.293553956675637,True,False,RMX-1,NRC_Canadian_SERS,,,4_nitrophenol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row333,ethanol,benzyl_fentanyl,6.292504851144443,True,False,RMX-1,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session2_row355,ethanol,ethyl_paraoxon,6.289174719746633,True,False,Pendar-3,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row11,ethanol,acetaminophen,6.301358321215878,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row15,ethanol,4_nitrophenol,6.317066612535868,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row74,ethyl_paraoxon,4_nitrophenol,6.309743531684339,True,False,Pendar-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,classical,linear_svm,minimal_minmax,none,2026,session3_row84,ethyl_paraoxon,4_ANPP,6.302240084945102,True,False,Pendar-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
