heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0186,0.0020560459958830686,0.0010280229979415343,0.023748890581036915,0.9665589696417102,0.009265770691313914,37,7,5,3,2.0,1.2120316212884985,0.06831783056259155
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0187,0.001310802890808142,0.000655401445404071,0.02547826286448287,0.963526629064717,0.007895833213946648,24,4,4,3,1.0,0.18005131397031515,0.08901600539684296
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0188,0.00151847010876879,0.000759235054384395,0.021990001257051636,0.9727395210577057,0.008313579776191286,34,6,4,3,1.5,0.89879974402708,0.051905617117881775
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0189,0.004042474731116254,0.002021237365558127,0.03023835154810913,0.9511607077681922,0.009340029977528112,36,5,4,2,3.0,4.439438448157216,0.0382152795791626
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0190,0.00462172538860541,0.002310862694302705,0.035989901149428016,0.9344147171715044,0.010189819250788008,35,8,8,4,2.0,0.9901746322100143,0.13094472885131836
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0191,0.003333279764276879,0.0016666398821384395,0.029499548658106008,0.9569078734123447,0.011863950716464648,59,5,7,3,2.0,1.7886726219073066,0.08662396669387817
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0192,0.004067717127595979,0.0020338585637979896,0.030413322185575794,0.9620344633433804,0.009011276925115714,36,5,4,2,2.0,0.2542864221810298,0.07402795553207397
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0193,0.0048807613817999545,0.0024403806908999772,0.03127766723351799,0.9445840631926551,0.010125678446742573,36,8,5,4,2.0,0.41052152273275033,0.07711410522460938
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0194,0.001416313373447245,0.0007081566867236225,0.028386833905694492,0.9551382305823457,0.00733352944753798,24,4,4,3,2.0,0.4351993706673735,0.1602078676223755
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0195,0.002892428544352351,0.0014462142721761754,0.027331630909902916,0.9584910663250509,0.009277156065659905,38,8,5,3,1.5,0.7072605407326762,0.05082866549491882
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0196,0.00408872183551357,0.002044360917756785,0.029632495145094147,0.949839891251678,0.010792852830407875,45,5,5,3,1.0,0.35846753161577893,0.05655059218406677
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0197,0.0018087886688895162,0.0009043943344447581,0.02717294020581174,0.9570553840838883,0.00877165656852802,30,5,5,2,2.0,0.37886426770704823,0.0635676383972168
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0198,0.004125961086815536,0.002062980543407768,0.03502591945215731,0.9341286719968404,0.009325829855432467,31,7,7,3,2.0,2.1569246432448437,0.040509164333343506
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0199,0.00321587053544978,0.00160793526772489,0.03251664307910182,0.9479624058310501,0.008850644222859826,32,7,4,2,2.0,0.46741188388858135,0.07023978233337402
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0453,0.005253480643305016,0.002626740321652508,0.03796600068714173,0.9302522698464157,0.00998400980340583,38,7,8,3,3.0,0.5418023223237263,0.09559166431427002
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0454,0.0037987367404685437,0.0018993683702342719,0.031175325564848144,0.9681479326136022,0.010120964476705662,42,3,4,1,1.0,0.6065029869147298,0.12126797437667847
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0455,0.003014743597995228,0.001507371798997614,0.04704577051281652,0.9520555119707005,0.004616352460247331,17,6,5,3,0.0,0.1286099744363952,0.010852977633476257
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0456,0.0030460326922941727,0.0015230163461470863,0.03745955012502584,0.9443110810468592,0.010543992626480758,38,5,5,3,3.0,0.4809127799786579,0.04834333062171936
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0457,0.00502959288436489,0.002514796442182445,0.041612225954665544,0.9326268441511849,0.011133934251099292,43,6,7,2,1.0,0.6396226074491982,0.045306578278541565
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0458,0.004731144453291898,0.002365572226645949,0.03807661199169093,0.9515445268148066,0.010016175232428525,34,3,5,2,4.0,0.1532330968582172,0.1095615029335022
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0459,0.004887887369336039,0.0024439436846680194,0.04051375740748677,0.9398245666024599,0.010641751027266893,36,4,7,2,2.0,1.4426295111122058,0.014777004718780518
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0460,0.004663546173070364,0.002331773086535182,0.036070651267652215,0.9446542955991479,0.010626995329345976,38,5,9,3,3.0,0.8265496980965389,0.019965767860412598
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0461,0.004287654223941295,0.0021438271119706477,0.035394766047733194,0.9579483096955803,0.009921531199610659,44,3,6,2,2.0,0.2490068681238846,0.14134615659713745
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0462,0.0029973784966192585,0.0014986892483096292,0.025190159868329124,0.9654779221683386,0.008566189563966223,25,10,9,6,1.0,0.4065872606860875,0.031843915581703186
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0463,0.004767925090144431,0.0023839625450722155,0.0385859319247313,0.9505410093275025,0.010346937693123306,40,4,5,2,3.5,2.14722580945864,0.061491526663303375
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0464,0.0030432095308552355,0.0015216047654276177,0.043310942991769665,0.9190923959193354,0.008702028500182288,19,6,4,2,3.0,0.3970637885397088,0.05826246738433838
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0465,0.002235532699671017,0.0011177663498355085,0.04607416285238657,0.9473903108565648,0.004758667248201423,13,5,5,4,1.0,0.29485442984664517,0.05295714735984802
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0466,0.001940906855691044,0.000970453427845522,0.038340982459147736,0.9461428693608406,0.007254321966320277,20,9,6,5,2.0,0.24899128423894504,0.08297863602638245
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0467,0.00409918548625332,0.00204959274312666,0.03889273846571417,0.9435821109811723,0.009905581510891872,29,6,5,2,3.0,0.37535608516522884,0.044942185282707214
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0468,0.002536976453546777,0.0012684882267733886,0.032556475632704474,0.952424456732883,0.006391807130670973,16,10,5,5,1.0,0.3731325073876517,0.04087884724140167
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0469,0.0021719901286650434,0.0010859950643325217,0.05558362231166877,0.9384886392353546,0.0047865421833869605,12,6,5,5,1.0,0.19296724252281403,0.04497664421796799
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0470,0.001421484871522212,0.000710742435761106,0.03610010000131987,0.9528037890604902,0.006622306270790952,14,10,5,5,2.0,0.37252035933804895,0.03288447856903076
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0471,0.0044805077228382405,0.0022402538614191203,0.04035773257261434,0.9394459506050039,0.009413091312162579,33,6,6,2,2.5,0.7197885339486162,0.07822227478027344
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0472,0.00405049143619656,0.00202524571809828,0.04051887311187607,0.9429792254675888,0.00870224049431272,25,3,4,1,1.0,0.9909358372334282,0.100910484790802
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0473,0.005127051742531298,0.002563525871265649,0.03862842642765684,0.941219361558593,0.011414790085982531,51,5,6,3,2.0,0.4945003810643317,0.12816298007965088
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0474,0.005453073973139228,0.002726536986569614,0.03931990608002447,0.9364357168517351,0.011488433082454971,48,6,7,2,4.5,1.548806814900746,0.10704487562179565
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0475,0.0042416053849242035,0.0021208026924621017,0.03969233669120411,0.9440224045517455,0.009850369123076753,36,7,5,1,1.0,1.439171883293657,0.015980839729309082
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0476,0.004452450901759854,0.002226225450879927,0.03995940036203909,0.9378432446295564,0.011398306585449193,49,5,6,2,1.0,1.7004721079683756,0.03146845102310181
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,poster_row_0477,0.004291227722246659,0.0021456138611233295,0.04972515380630385,0.9117549564151024,0.010580935716362936,33,9,6,3,3.0,0.7703421934839746,0.049376845359802246
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0150,0.0027018554492200288,0.0013509277246100144,0.02592817025884937,0.9723359825747661,0.007404827257040389,17,2,4,1,1.0,0.634839933010989,0.0516282320022583
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0151,0.00287219995453153,0.001436099977265765,0.027312573165125864,0.968265590433854,0.008537144798652401,30,8,3,3,2.5,0.5483579150103866,0.06606617569923401
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0152,0.0018918600701665117,0.0009459300350832558,0.03589842093616292,0.9818982480774581,0.004415073894197121,5,1,1,1,0.0,0.10636233617529717,0.023832283914089203
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0153,0.003936191684750822,0.001968095842375411,0.03350991857680973,0.9391399295272458,0.008572709976828524,23,3,6,3,0.0,0.35890721830922023,0.07202380895614624
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0154,0.0029000886942686546,0.0014500443471343273,0.028786975766380587,0.9558729729435886,0.009486197411481823,35,8,6,3,2.0,0.5686015739633192,0.014803469181060791
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0155,0.002426404517329787,0.0012132022586648936,0.04444388178133244,0.980841174526181,0.003121065259079582,2,1,2,1,5.0,0.35272787553107793,0.007719293236732483
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0156,0.0034740165742979646,0.0017370082871489823,0.032876694175655655,0.963871946905648,0.008608675532575164,31,4,3,2,3.0,0.9603779652605925,0.05870799720287323
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0157,0.0026292499514666175,0.0013146249757333087,0.03425813475970052,0.967513323238059,0.005297900755291006,8,1,2,0,1.0,0.19160866238583973,0.11457028985023499
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0158,0.012885073316561366,0.006442536658280683,0.0822899054978344,0.8220726970150575,0.00817917340135734,17,1,10,0,5.0,1.5996007933913277,0.005393102765083313
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0159,0.0032596450159463313,0.0016298225079731657,0.034507742399484446,0.9495767261660557,0.010043649190504636,39,7,4,2,2.0,0.5207210596314207,0.05741250514984131
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0160,0.0035905806095497647,0.0017952903047748824,0.03414014120600529,0.9458426168339444,0.0075667239479454505,21,2,4,1,1.5,1.985068222763065,0.1827361285686493
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0161,0.00247699505472215,0.001238497527361075,0.024439289400763807,0.964912440360747,0.010904292782485885,44,6,7,1,1.5,1.0471112237293423,0.03083619475364685
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0162,0.004369149459455185,0.0021845747297275925,0.03787093990945295,0.9680392266783902,0.005216027948606227,6,2,2,1,1.5,0.165778134787391,0.03759921342134476
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0163,0.006566747440409382,0.003283373720204691,0.03680113751350078,0.9612913777220145,0.005725157681985625,8,4,2,1,1.5,0.14983047349630849,0.0175449401140213
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0164,0.00243122734807793,0.001215613674038965,0.0322096773848492,0.9805479367668009,0.004983194318733045,7,0,2,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0165,0.0026531218066359386,0.0013265609033179693,0.027642145913725318,0.9587315621402596,0.009493972073708262,27,2,6,2,1.0,0.3480343883632717,0.20887914299964905
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0166,0.0065596038262133605,0.0032798019131066803,0.0426365378856974,0.9060128598939503,0.010138739494473806,36,3,7,1,1.0,0.3031035146628086,0.008765339851379395
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0167,0.003567008811920626,0.001783504405960313,0.04807664321235292,0.9609048208627651,0.004638790377981162,7,0,2,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,poster_row_0168,0.0026311508745038466,0.0013155754372519233,0.029130333597320264,0.962896128927094,0.008651953739380198,23,3,2,1,2.0,2.7536514761912247,0.011964380741119385
