epoch,train_loss,heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,fixed_epoch_count
69,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
70,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
71,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
72,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
73,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
74,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
75,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
76,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
77,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
78,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
79,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
80,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
81,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
82,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
83,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
84,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
85,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
86,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
87,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
88,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
89,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
90,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
91,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
92,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
93,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
94,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
95,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
96,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
97,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
98,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
99,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
100,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,
1,0.1768084490299225,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
2,0.086859026402235,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
3,0.0135881884396076,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
4,0.0067465771734714,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
5,0.0014389500021934,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
6,0.0003358162939548,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
7,0.0009429344534873,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
8,1.605600118637085e-06,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
9,0.0003092689812183,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
10,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
11,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
12,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
13,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
14,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
15,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
16,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
17,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
18,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
19,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
20,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
21,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
22,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
23,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
24,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
25,0.0002805668115615,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
26,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
27,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
28,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
29,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
30,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
31,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
32,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
33,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
34,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
35,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
36,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
37,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
38,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
39,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
40,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
41,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
42,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
43,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
44,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
45,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
46,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
47,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
48,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
49,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
50,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
51,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
52,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
53,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
54,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
55,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
56,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
57,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
58,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
59,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
60,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
61,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
62,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
63,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
64,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
65,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
66,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
67,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
68,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
69,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
70,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
71,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
72,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
73,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
74,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
75,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
76,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
77,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
78,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
79,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
80,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
81,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
82,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
83,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
84,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
85,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
86,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
87,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
88,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
89,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
90,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
91,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
92,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
93,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
94,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
95,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
96,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
97,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
98,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
99,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
100,0.0,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,
1,0.1705382168292999,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
2,0.0920810642838478,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
3,0.0613659623265266,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
4,0.1170293161273002,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
5,0.0926400011777877,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
6,0.03037218272686,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
7,0.0029070166498422,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
8,0.0035467072576284,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
9,0.0347136318683624,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
10,0.0171226496249437,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
11,0.011792000606656,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
12,0.0067180696874856,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
13,0.0033671002089977,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
14,0.0012663457542657,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
15,0.0012258688360452,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
16,0.0002556765079498,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
17,0.0006404140591621,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
18,0.0011350038647651,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
19,0.0015962006151676,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
20,0.0001522697508335,Ag,400-1800_common,poster,poster_holdout_Ag,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,
