heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0175,0.012310318329418682,0.006155159164709341,0.09240259907865958,0.7250608180788537,0.019176551453503114,87,14,20,6,2.0,1.641112961738827,0.04405943304300308
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0176,0.00956682983287046,0.00478341491643523,0.11145026899839462,0.895618344651591,0.014801496319206698,54,10,18,7,1.5,0.3899526043667978,0.12889469228684902
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0177,0.008770159280819182,0.004385079640409591,0.11605958090416381,0.7729904655403783,0.016346234789650357,69,14,16,8,2.0,0.8308129456829123,0.14519450441002846
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0178,0.012047760917283653,0.0060238804586418265,0.10505564618667564,0.7507432538779775,0.018763630195919957,81,13,23,8,3.0,2.0797674437984113,0.07531420886516571
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0179,0.01542155920917883,0.007710779604589415,0.11793244268301838,0.6368442124136711,0.02114342764452366,95,15,28,8,2.0,0.9653676750617031,0.09014084935188293
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0180,0.012449873056108254,0.006224936528054127,0.1127238617233749,0.7142749443608626,0.02280972080837403,101,16,29,10,2.0,1.092741920814669,0.10652364790439606
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0181,0.013082787092020392,0.006541393546010196,0.132038180214173,0.6830617355743587,0.020536437784986837,90,16,24,8,2.0,0.37301301172833434,0.08590713143348694
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0182,0.0077513927769453815,0.0038756963884726907,0.1094437273678378,0.9118528508667025,0.013003107087154473,49,8,10,4,2.0,0.2536449441735416,0.0988429095596075
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0183,0.014046421608634358,0.007023210804317179,0.11536469205018982,0.6541520650270763,0.021696158929594925,91,14,24,7,2.0,1.0339193966502713,0.09702644497156143
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0184,0.017357837546031693,0.008678918773015847,0.1005760807729646,0.48916323825199354,0.026485748908349444,104,14,41,7,2.5,3.4946155662060763,0.10958123952150345
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0185,0.013325123889668463,0.006662561944834232,0.11287752140710794,0.6713933461404891,0.020896589383482933,95,16,25,6,2.5,1.8366623546433,0.06354855746030807
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0186,0.011886403494515608,0.005943201747257804,0.10329236688497054,0.7616502930763441,0.01846043832999255,82,13,22,8,2.0,0.8260232464191164,0.09522461891174316
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0187,0.01016535137944577,0.005082675689722885,0.09557813461876709,0.7984895953834212,0.013226732316293887,57,11,9,5,1.0,1.9206759930589805,0.039200231432914734
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0188,0.010521406008846133,0.005260703004423066,0.09866807792460551,0.7746517165162706,0.015823299272784166,72,13,16,7,2.0,1.852035574915917,0.05592593550682068
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0189,0.014746733286769235,0.007373366643384617,0.11752919405601756,0.6618347451061569,0.023601602154251722,87,15,33,12,3.0,1.7356781902329914,0.15455646812915802
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0190,0.0181256801970553,0.00906284009852765,0.13754938675855272,0.8347428205732176,0.017938822331904834,59,12,20,7,2.5,0.9854286069029221,0.12353251688182354
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0191,0.016413159538125558,0.008206579769062779,0.10255031759883587,0.5919232095289478,0.02637031405631985,99,16,42,12,3.0,1.4454310008805662,0.14707401394844055
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0192,0.01801646986007594,0.00900823493003797,0.12446076579146241,0.6163863703672886,0.02465206370822021,98,17,35,12,3.0,1.912831638727589,0.1321723759174347
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0193,0.013238210838036179,0.0066191054190180895,0.11738537848087748,0.8346517731871694,0.017308202372597798,77,14,19,10,2.0,0.7797984206336271,0.10713821649551392
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0194,0.008238946292616678,0.004119473146308339,0.11426488611876176,0.8443872365066877,0.011573336463438213,47,13,7,5,1.0,0.49243538492394356,0.07547853887081146
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0195,0.016292971648679017,0.008146485824339508,0.1091672856228665,0.6498994364641293,0.020628783753407855,85,15,29,10,3.0,0.8580455229520577,0.1377539485692978
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0196,0.014561234913584426,0.007280617456792213,0.1114198155120791,0.7413662431022872,0.023819362451987607,96,12,34,10,1.5,0.7685563145381225,0.1695894543081522
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0197,0.010418394989268057,0.005209197494634029,0.11266107150545103,0.8145520451483627,0.014907585536795004,71,16,10,6,3.0,0.712928019678839,0.08575334213674068
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0198,0.023414998891982685,0.011707499445991342,0.15229751299583574,0.6177228988365323,0.019425685557403736,83,15,22,8,1.0,3.7726327277251435,0.07836761325597763
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0199,0.01999964799811338,0.00999982399905669,0.14487434096144355,0.5946511744077223,0.01719286073265331,78,14,19,7,2.5,1.5094864338781226,0.10177482292056084
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0453,0.02071434872781697,0.010357174363908485,0.15236780373427145,0.6806228216308388,0.02045221074101781,73,14,26,11,2.5,0.9363819661996595,0.15160150825977325
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0454,0.02772145880546541,0.013860729402732705,0.14469084989667222,0.4466177692735364,0.025100595486749495,101,16,34,8,3.0,2.255902615283762,0.14402051642537117
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0455,0.0061321151261481965,0.0030660575630740983,0.10122357464316119,0.9213521724948992,0.006334245977341197,17,6,6,4,1.0,0.24939409161447743,0.08920570276677608
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0456,0.007081676998874574,0.003540838499437287,0.11913788599962516,0.8145530170105343,0.016864763892122676,67,12,14,11,1.0,0.381742484504746,0.10052861273288727
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0457,0.017695525428629455,0.008847762714314727,0.14744001953989783,0.6280926031263774,0.01986221300038908,83,15,25,12,3.0,1.2439452864941933,0.11877721548080444
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0458,0.02373422096703612,0.01186711048351806,0.14344293026150534,0.5113531886368354,0.019469691632049424,85,12,21,7,1.5,2.440003239187149,0.138632632791996
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0459,0.01233522416946766,0.00616761208473383,0.13333678115461325,0.7427174175851589,0.019594186679127493,78,12,23,8,1.5,0.715541947944482,0.11617351323366165
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0460,0.014721567114325195,0.007360783557162597,0.12724452715664397,0.7524619874543339,0.02156337247961866,86,15,25,6,2.0,1.0112453830819816,0.09210874885320663
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0461,0.022451082103492063,0.011225541051746031,0.150350159942928,0.5431174475706658,0.02148083940314661,88,14,29,9,3.0,1.6528581541519438,0.18770640064030886
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0462,0.007083643585256147,0.0035418217926280735,0.09024465784624101,0.8896760224317952,0.015322076698232974,58,13,17,9,1.0,0.34612430584744686,0.15705885458737612
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0463,0.022488354245630445,0.011244177122815223,0.15705993065090176,0.5153006644161496,0.019423634028062225,83,15,22,8,2.0,2.1472918506198337,0.1237318217754364
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0464,0.007166218920819005,0.0035831094604095023,0.14247450732848282,0.7841378630128873,0.012520561494332338,48,9,8,8,2.0,0.46444501050714043,0.07022582367062569
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0465,0.007083354962366973,0.0035416774811834863,0.1132809569509217,0.896528003138204,0.006216775483917445,15,7,6,6,1.0,0.2259263262710826,0.12088686227798462
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0466,0.003763769897737522,0.001881884948868761,0.09974822377072058,0.9151511897528004,0.008322922650757911,24,6,8,6,1.0,0.30357113843265976,0.08009220930398442
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0467,0.008924162413782459,0.0044620812068912295,0.13271713691151296,0.7916494939257216,0.0164561221322843,65,10,17,7,1.0,0.6488678693231822,0.1443565972149372
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0468,0.004371229412845933,0.0021856147064229664,0.08441754306982388,0.9320326687077902,0.008171992397734097,28,9,6,6,1.0,0.1691818633702932,0.04951862059533596
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0469,0.004688050571983298,0.002344025285991649,0.10241948930601613,0.9218209406301818,0.005435602313040622,12,6,5,5,1.0,0.21563842790087767,0.14240247942507267
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0470,0.003307416221651115,0.0016537081108255575,0.09870890856737485,0.9159916001136016,0.008048184128877308,22,8,5,5,2.0,0.1666823465179231,0.09066198021173477
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0471,0.010947401505698453,0.005473700752849226,0.15073792682281667,0.7275128680643352,0.016220791667500244,68,13,17,9,3.0,0.8287005014976049,0.07577364146709442
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0472,0.019319175222126613,0.009659587611063307,0.16343890313224396,0.5480128820096373,0.014120813924819231,52,11,13,6,1.0,0.6266757706037513,0.12910139560699463
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0473,0.023004382547098804,0.011502191273549402,0.1333128653508091,0.5179069102957348,0.02427726060418146,105,16,31,14,2.0,1.419718746172282,0.1090075820684433
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0474,0.021970111740843696,0.010985055870421848,0.12868895107043773,0.5614974096360991,0.0240337354503572,91,15,31,8,2.0,0.8003741443430615,0.07733738422393799
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0475,0.022638008523424093,0.011319004261712047,0.16684508022804354,0.4885020265731414,0.01720335706403213,76,13,17,3,4.0,4.274983241639172,0.09826833754777908
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0476,0.023052140341448257,0.011526070170724129,0.13196408204917393,0.5289734260515663,0.020159891636576503,86,11,24,5,1.0,2.0147074227471777,0.12409442663192749
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0477,0.007923805057567544,0.003961902528783772,0.12614981299381156,0.789980100636681,0.014398301155971628,52,11,10,5,3.0,0.5738614645633251,0.07643085718154907
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0150,0.009858414343058876,0.004929207171529438,0.09494281100097017,0.9178073055180657,0.010614747378442969,36,5,6,2,2.0,0.861442031521415,0.18217802420258522
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0151,0.02211756635630089,0.011058783178150445,0.17754390829530126,0.5433989787807205,0.0186792185255555,83,17,18,9,2.0,1.4556071805673017,0.08819664642214775
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0152,0.008418768124407608,0.004209384062203804,0.1175161571904069,0.918342871174374,0.0060839812816785915,8,3,2,0,4.0,0.7687400565813081,0.039632828906178474
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0153,0.022519190846882624,0.011259595423441312,0.1445859818835993,0.5233565325166948,0.019681911303528716,82,14,20,4,3.0,5.352985912421454,0.05594400689005852
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0154,0.014131311409517238,0.007065655704758619,0.12246969288923308,0.7289409119096232,0.018285055764551673,73,12,19,5,1.0,4.0219685195093025,0.09146807715296745
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0155,0.010597665005404109,0.005298832502702054,0.13284312661642486,0.8944310162408481,0.00450956988580791,4,0,3,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0156,0.019635445953864405,0.009817722976932203,0.15199921274685163,0.48444239719987436,0.015139385110565595,67,15,13,5,2.0,1.2170197158561231,0.07164172828197479
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0157,0.01337289589938243,0.006686447949691215,0.10364318091795284,0.923060616331848,0.006951766914821097,15,3,3,0,1.0,0.3277530061456408,0.13421418704092503
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0158,0.028597908318342018,0.014298954159171009,0.2048190538722577,0.6223194670703882,0.011495076848659665,21,3,12,2,1.0,4.089341089628849,0.2925018761307001
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0159,0.02070379342952198,0.01035189671476099,0.15538440679612187,0.5399590476388487,0.01684715185580509,75,14,20,6,1.5,1.303815556665671,0.11701144091784954
Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0160,0.01472700118470701,0.007363500592353505,0.11687800717597188,0.8800280343504836,0.01232464071895395,44,11,11,6,2.0,0.8260025840804781,0.08306147903203964
