evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row308,0.01221216856656942,0.00610608428328471,0.10796974184038081,0.9075257126373247,0.0072755593427895554,17,4,0,0,1.0,0.2470237642733531,0.12557923246640712
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row309,0.0022835183639791133,0.0011417591819895567,0.09010079635098196,0.9520141862648218,0.004046597738940493,12,4,0,0,2.0,0.17828879137733805,0.08049797295825556
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row314,0.006775122199893891,0.0033875610999469456,0.1029470140110163,0.9126435547851672,0.005983264596517464,11,5,0,0,1.0,0.24062086024418122,0.10247969516785815
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row336,0.011433599712599492,0.005716799856299746,0.10722116275007743,0.9106194825990976,0.00588094556075183,12,6,0,0,3.0,0.28757966717864014,0.08712539193220437
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row337,0.011898481334417116,0.005949240667208558,0.10982791095624775,0.903944696086754,0.005311834450278963,11,5,0,0,2.0,0.28393505839311495,0.030797732062637806
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row338,0.017412106546436885,0.008706053273218443,0.12681376874939673,0.8602083914802355,0.006201305128259784,11,4,0,0,1.0,0.2814784693895813,0.059187682811170816
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row339,0.013324667909609738,0.006662333954804869,0.10554270422480613,0.9087182207241599,0.007042518357214119,12,3,0,0,1.0,0.4033443441602972,0.19034499302506447
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row341,0.014444991487947284,0.007222495743973642,0.12041224376897991,0.8867339719241419,0.006293932587206414,13,5,0,0,1.0,0.3357630840086635,0.10106439678929746
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row343,0.0076082676727941044,0.0038041338363970522,0.08747306794580556,0.946815939392828,0.005345954769789906,10,2,0,0,3.5,0.5651518916053675,0.046353455632925034
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row226,0.0070645017107387135,0.0035322508553693567,0.14354716388408806,0.8309472311788165,0.00592407926019015,14,5,0,0,3.0,0.18241196015273392,0.08125856285914779
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row236,0.0030124782492786193,0.0015062391246393097,0.09573579873361118,0.9356693888100394,0.0033276977000891096,9,5,0,0,3.0,0.33965572199756305,0.057349687442183495
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row242,0.029274708577522592,0.014637354288761296,0.19840444741865484,0.6607210606230937,0.01043746938602583,27,10,0,0,3.5,0.3980932924485402,0.13433993211947381
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row245,0.0021063243003825653,0.0010531621501912827,0.09940661488796035,0.9374466573172382,0.003831177532618832,11,6,0,0,2.0,0.2908637090631292,0.055824589217081666
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row249,0.004708993344095888,0.002354496672047944,0.1401770938322929,0.8454469993390478,0.006744459939311907,15,6,0,0,2.0,0.3779634256288098,0.05727116326306714
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,session3_row253,0.002854979986014288,0.001427489993007144,0.09396810992754492,0.9406123557569285,0.003429675307124853,10,6,0,0,3.5,0.2554029388138316,0.03646478662267327
