stage,scenario,model,representation,seed,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,5.707455797041564,0.0040738442519925,0.0891789968287744,0.0192442349345,0.9613809210317912,46,41,0.191278233203057,-0.2604062292124294,0.0681416690349578
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.077556380498079,0.0050517889939315,0.1105868184452824,0.0125269688556948,1.6853920411518404,52,40,0.1833362024779035,-0.2305359744568668,0.0376738831400871
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.6776630186050845,0.0054801306342648,0.1199634846657044,0.0074036918483066,1.728002252095131,38,25,0.1735880042918604,-0.2442884020756684,0.0370974391698837
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.775939348200764,0.0048365020329769,0.1058740523156369,0.0083046174371484,1.8303398878386463,42,27,0.1591657290027797,-0.2115030317947399,0.0362514182925224
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,7.355598118216085,0.005250248478384,0.1149312205971263,0.0151282352574797,1.5145692672199256,54,41,0.1900793950521435,-0.2468108009045427,0.0433777086436748
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,7.280674995095523,0.0051967701606677,0.1137605467983675,0.0064579208594951,1.7236690859606465,34,23,0.1693483163438328,-0.2451850314839941,0.043915070593357
outer,nato_outer_o4__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,7.596419439295854,0.005422140927406,0.1186940537389977,0.0118910340454093,1.61685989893353,53,36,0.1860912693808071,-0.2433829359160508,0.0422986447811126
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.575219491160278,0.0054070089158888,0.1183628045493793,0.0139440647161502,1.5167743783958365,56,39,0.2038414822719371,-0.2424667106688913,0.0371340699493885
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.297386812430875,0.0052086986526986,0.1140216689442324,0.0099032334707972,1.5036414310085098,49,32,0.1879279028949056,-0.2323660351098776,0.0368054136633873
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,7.033673985824592,0.0050204667993037,0.1099011560285092,0.0171397160276699,1.5424703544240648,61,49,0.2090228349644939,-0.2237929304430799,0.0392521172761917
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.302425194356859,0.0059260708025388,0.1297253936618259,0.0163149821943743,1.5421960796515657,54,44,0.2078189775862066,-0.2636769262033963,0.0437487363815307
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,7.63041399585666,0.0054464054217392,0.1192252186852603,0.008557229341759,1.5162951000631886,36,28,0.1634186872296309,-0.2479413242387458,0.0376842357218265
outer,nato_outer_o4__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,7.833735992430473,0.0055915317576234,0.1224021248817261,0.017736743281017,1.6178694976098862,60,48,0.2039059200040721,-0.2554329166359276,0.0437146052718162
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,6.566977927177113,0.004687350411975,0.1026090301121424,0.0112823952043115,1.919596276811001,40,36,0.1759207836412147,-0.2722322849355923,0.0554989278316497
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,6.541820116344912,0.0046693933735509,0.1022159393178892,0.0087100969422047,1.6677494797897086,30,28,0.1578211029394946,-0.2784783746973752,0.0562059469521045
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.588279357839925,0.0047025548592718,0.1029418649662488,0.0144331251531605,1.6579298836399416,44,39,0.187813783473374,-0.2725898177676821,0.0608686208724975
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,6.609517643438245,0.004717714235145,0.1032737131787226,0.0166332045751892,0.9931471343741068,42,46,0.1855068374618861,-0.2862557523331454,0.064940370619297
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,5.7912981990597885,0.0041336889358028,0.0904890343603091,0.0094798913694021,1.001828760950205,30,29,0.1509643205797012,-0.2486279615417246,0.0611757710576057
outer,nato_outer_o4__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,6.485012652933916,0.0046288455766837,0.1013283227020924,0.0155122276666663,1.190126270496035,55,47,0.1745372562322195,-0.2756138813741889,0.0611032657325267
poster,poster_holdout_Ag,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,5.533773589994049,0.0039498740827937,0.086465212343657,0.0571308426280348,0.3139359245894317,63,63,0.2856562813330826,-0.2405550234752324,0.0534156933426857
poster,poster_holdout_Ag,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4.691012758349971,0.0033483317332976,0.0732970743492182,0.0493356040486125,0.3308299047390837,62,61,0.2713271239644382,-0.1810063085830188,0.0493460483849048
