stage,scenario,model,representation,seed,class_label,support,predicted_count,true_positive,recall,precision
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,16,15,10,0.625,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethanol,0,25,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethyl_paraoxon,0,7,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_ANPP,25,6,6,0.24,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,0,22,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,16,10,8,0.5,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethanol,0,24,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethyl_paraoxon,0,8,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_ANPP,25,5,5,0.2,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,0,19,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,16,10,8,0.5,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethanol,0,29,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethyl_paraoxon,0,7,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_ANPP,14,12,11,0.7857142857142857,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,0,11,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,9,13,8,0.8888888888888888,0.6153846153846154
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethanol,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethyl_paraoxon,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_ANPP,14,12,11,0.7857142857142857,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,0,15,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,9,8,8,0.8888888888888888,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethanol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethyl_paraoxon,0,3,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_ANPP,14,12,11,0.7857142857142857,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,0,12,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,9,14,8,0.8888888888888888,0.5714285714285714
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethyl_paraoxon,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_ANPP,4,6,4,1.0,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,11,23,11,1.0,0.4782608695652174
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,2,13,2,1.0,0.15384615384615385
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_ANPP,4,5,4,1.0,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,11,18,11,1.0,0.6111111111111112
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,2,19,2,1.0,0.10526315789473684
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_ANPP,4,5,4,1.0,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,11,23,11,1.0,0.4782608695652174
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,blank,2,14,2,1.0,0.14285714285714285
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_ANPP,13,6,4,0.3076923076923077,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,2,4,1,0.5,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,7,17,5,0.7142857142857143,0.29411764705882354
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,15,12,10,0.6666666666666666,0.8333333333333334
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethanol,2,2,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethyl_paraoxon,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_ANPP,13,4,4,0.3076923076923077,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,2,3,1,0.5,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,7,16,5,0.7142857142857143,0.3125
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,15,15,12,0.8,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethanol,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethyl_paraoxon,2,3,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_ANPP,13,4,4,0.3076923076923077,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_nitrophenol,2,4,1,0.5,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,7,13,4,0.5714285714285714,0.3076923076923077
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,15,18,12,0.8,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethanol,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethyl_paraoxon,2,2,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,25,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,0,8,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethanol,9,10,7,0.7777777777777778,0.7
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethyl_paraoxon,11,24,6,0.5454545454545454,0.25
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,25,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,0,5,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,0,11,0,,0.0
