scenario,outer_fold,declared_seed,evaluation_subset,representation,confidence_kind,n_test,n_supported,accuracy,predicted_class_count,encoder_parameters,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,correctness_negative_log_likelihood,correctness_brier,correctness_ece_10
nato_outer_o2__train_strict_core__test_strict_core,2,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,117,117,0.6239316239316239,7,719584,0.3350445892533256,0.7087295452246221,0.3736849559712965,0.33828471645763203,2.2018214221942434,0.7306547619047619,99,0.8461538461538461,0.2617763157894737,117,1.0,0.4000205254515599,115,0.9829059829059829,0.668109008731143,0.237578548568318,0.17323819144090002
nato_outer_o2__train_strict_core__test_strict_core,2,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,117,117,0.5299145299145299,7,719584,0.3318638476356344,0.6013020193145969,0.2694381716789625,0.32836222010028476,2.7460164980272364,0.6387896825396826,99,0.8461538461538461,0.23287280701754387,117,1.0,0.4484605911330049,115,0.9829059829059829,0.7215404499434093,0.26304313120455897,0.14121118876967753
nato_outer_o2__train_strict_core__test_strict_core,2,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,117,117,0.6666666666666666,7,719584,0.28782482770397055,0.5315509621399068,0.24372613443593627,0.29187925822986716,2.8642145311116636,0.6911706349206349,99,0.8461538461538461,0.22324392712550606,117,1.0,0.3390394088669951,115,0.9829059829059829,0.6180056914854619,0.2145174144153131,0.09090018339414999
nato_outer_o3__train_quality_pass__test_field_quality_stress,3,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,19,19,0.3157894736842105,7,719584,0.5063959914434212,0.7067898523044619,0.20039386086104072,0.5609641059869162,2.6513171242149114,,0,0.0,0.25925925925925924,17,0.8947368421052632,0.4518518518518519,18,0.9473684210526315,0.6273082439902026,0.2176453290300668,0.2640555780195327
nato_outer_o3__train_quality_pass__test_field_quality_stress,3,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,19,19,0.3157894736842105,7,719584,0.4759512467900281,0.5488017064857905,0.07285045969576243,0.45355815118137366,2.834654112387218,,0,0.0,0.40740740740740744,17,0.8947368421052632,0.6185185185185186,18,0.9473684210526315,0.6233557836652335,0.21589641799838127,0.042775929788606115
nato_outer_o3__train_quality_pass__test_field_quality_stress,3,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,19,19,0.3157894736842105,7,719584,0.6199530674378328,0.7041788204663506,0.08422575302851776,0.699963021367697,3.787514043084405,,0,0.0,0.5555555555555555,17,0.8947368421052632,0.31851851851851853,18,0.9473684210526315,0.6259336078473362,0.21708340420519634,0.026895171797915174
nato_outer_o3__train_quality_pass__test_quality_pass,3,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,101,101,0.7029702970297029,7,719584,0.409155234035968,0.9647071072193073,0.5555518731833393,0.4278343160261968,2.751076036621335,0.7156667893509999,69,0.6831683168316832,0.23198125404007758,101,1.0,0.4005734369219386,101,1.0,0.5617092980503514,0.19008483224417919,0.09408638922768031
nato_outer_o3__train_quality_pass__test_quality_pass,3,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,101,101,0.7029702970297029,7,719584,0.3616167558963502,0.7856863677525447,0.4240696118561946,0.3639148204752644,2.690363560211464,0.6631026867868973,69,0.6831683168316832,0.2581501831501831,101,1.0,0.4508185349611542,101,1.0,0.5749607478158274,0.1943038088736363,0.0757453562430309
nato_outer_o3__train_quality_pass__test_quality_pass,3,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,101,101,0.7227722772277227,7,719584,0.4352907908816969,0.9166768979114543,0.4813861070297574,0.44473171314359766,3.515381295481461,0.6990001226843332,69,0.6831683168316832,0.26094053005817713,101,1.0,0.40246947835738067,101,1.0,0.5530603827677381,0.1843522493178525,0.10822587726294036
nato_outer_o3__train_strict_core__test_strict_core,3,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,120,120,0.6833333333333333,7,719584,0.5333216084712554,1.0537774804882878,0.5204558720170324,0.562736684054811,3.8834383325075463,0.7315972222222222,78,0.65,0.2977421494913755,120,1.0,0.4300239234449761,120,1.0,0.564146969539946,0.1896082328258046,0.11563639842172632
nato_outer_o3__train_strict_core__test_strict_core,3,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,120,120,0.6083333333333333,7,719584,0.5760498671990043,1.0087491661507049,0.43269929895170056,0.594310290679994,4.446011189155402,0.6336805555555556,78,0.65,0.3067165084657345,120,1.0,0.4262360446570973,120,1.0,0.6073576576713059,0.20774059653169494,0.2086734094365697
nato_outer_o3__train_strict_core__test_strict_core,3,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,120,120,0.6416666666666667,7,719584,0.5243763127363118,0.9346975147003862,0.4103212019640744,0.5299510197181798,2.8713671202733257,0.5451388888888888,78,0.65,0.17632542895700792,120,1.0,0.379585326953748,120,1.0,0.6084632275638368,0.21078043367578944,0.0818980863687596
nato_outer_o4__train_quality_pass__test_field_quality_stress,4,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,27,27,0.4444444444444444,5,719584,0.49159433198947555,0.562561654854962,0.07096732286548646,0.5257319337258611,3.3111466376256704,0.375,20,0.7407407407407407,0.1468253968253968,23,0.8518518518518519,0.30952380952380953,27,1.0,0.7032276843902058,0.2544939236326294,0.09181265530950872
nato_outer_o4__train_quality_pass__test_field_quality_stress,4,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,27,27,0.3333333333333333,6,719584,0.6586529928318144,0.6756541714003229,0.017001178568508468,0.7441208218827872,3.8538497127725937,0.3458333333333333,20,0.7407407407407407,0.21825396825396826,23,0.8518518518518519,0.44166666666666665,27,1.0,0.6356482172534875,0.22182618464438342,0.01638916614094793
nato_outer_o4__train_quality_pass__test_field_quality_stress,4,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,27,27,0.3333333333333333,5,719584,0.5010471519008709,0.5280323261796881,0.026985174278817192,0.5362617461003419,3.1155916760193603,0.3458333333333333,20,0.7407407407407407,0.12698412698412698,23,0.8518518518518519,0.2988095238095238,27,1.0,0.6361664533485039,0.22206080808386197,0.0034688573703196557
nato_outer_o4__train_quality_pass__test_quality_pass,4,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,97,97,0.7319587628865979,7,719584,0.45577827897663303,1.0089651634332961,0.5531868844566631,0.4441639997121595,3.4132817224359013,0.7516855125550778,90,0.9278350515463918,0.31294117647058817,97,1.0,0.5272018429913167,97,1.0,0.554692193302694,0.1844411094774734,0.09612564473782206
nato_outer_o4__train_quality_pass__test_quality_pass,4,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,97,97,0.7422680412371134,7,719584,0.47644502760443824,1.0303959781615324,0.5539509505570941,0.46463376764925873,4.002561300665106,0.6465267823963476,90,0.9278350515463918,0.2571848739495798,97,1.0,0.56113769271664,97,1.0,0.5596643391787651,0.18611967983212763,0.15703635244076766
nato_outer_o4__train_quality_pass__test_quality_pass,4,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,97,97,0.7216494845360825,7,719584,0.4545851462194545,0.9399834532393818,0.4853983070199273,0.4347756874372225,2.9325674650199507,0.6941458300153952,90,0.9278350515463918,0.27129318394024277,97,1.0,0.5793903951798689,97,1.0,0.572282712289598,0.19174583877892368,0.062230099442313766
nato_outer_o4__train_strict_core__test_strict_core,4,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,124,124,0.6129032258064516,7,719584,0.3063979869659638,0.6240812777575193,0.3176832907915555,0.308680352871807,2.102177472905635,0.5558005590900327,111,0.8951612903225806,0.246750700280112,124,1.0,0.5080763037284776,124,1.0,0.6920973023786119,0.24758564162308125,0.1585670737689375
nato_outer_o4__train_strict_core__test_strict_core,4,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,124,124,0.5967741935483871,7,719584,0.39172685224636516,0.824032069761534,0.4323052175151688,0.3957574614631555,2.4826379785065527,0.5237740451556241,111,0.8951612903225806,0.2938777250030447,124,1.0,0.4983958875263223,124,1.0,0.6430280610307942,0.22587561743976967,0.05937616545602132
nato_outer_o4__train_strict_core__test_strict_core,4,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,124,124,0.6129032258064516,7,719584,0.3932051453606074,0.8361398841767625,0.44293473881615514,0.3982822809216936,2.5088463870246986,0.5606330195145984,111,0.8951612903225806,0.27664241058742334,124,1.0,0.5016350798959496,124,1.0,0.6552204034181842,0.23293046632368852,0.1389173268993159
