stage,scope,outer_fold,inner_validation_fold,candidate_id,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,seed,best_epoch,epochs_run,state_sha256,encoder_parameters,classifier_parameters,total_parameters,n_train,n_validation,n_train_groups,n_validation_groups,balanced_accuracy,macro_f1,predicted_class_count,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,gate_positive_margin,gate_effective_rank,gate_predicted_classes,eligible
stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1716215410,60,85,ae6d1c6e52d81c0435434990c410a28d7f0f02745dfd3c7d29708e5b8b4876eb,64064,455,64519,293,103,43,14,0.506859410430839,0.4343905280672344,7,0.5175334811210632,0.6401218175888062,0.12258833646774292,0.5418611168861389,4.345649719238281,True,True,True,True
stage2,outer_1,1,2,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True,1521374096,85,110,bb8c9d9137862f26a7cfa85c8fb7ee6f1e68d01570f7fcfca76f0fd5dec91398,361152,231,361383,301,95,42,15,0.8027721760641015,0.7502791068580542,7,0.713502049446106,1.2577126026153564,0.5442105531692505,0.7798389792442322,7.0133891105651855,True,True,True,True
stage2,outer_1,1,2,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,483689588,65,90,42c40e71d04803e6e099a60ed34a0a8c38c02d3a16c70594a0aecb37997ff327,719584,455,720039,301,95,42,15,0.8215311948231203,0.7589668942610119,7,0.6910488605499268,1.282652735710144,0.5916038751602173,0.772284209728241,7.538249492645264,True,True,True,True
stage2,outer_1,1,2,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True,464517061,55,80,d8812e5301d16228ff0b3829820b577981c954034d3fa01c44491e5f5dc7d1da,59936,231,60167,301,95,42,15,0.5564200120100741,0.43658352229780795,7,0.5989187955856323,0.7809010148048401,0.18198221921920776,0.6233306527137756,4.202485084533691,True,True,True,True
stage2,outer_1,1,2,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True,228584033,70,95,e46289597c9807e69e3451fa466d17c2c88dbe6bc5ff10b4c0aeeecc2154d3ff,64064,455,64519,301,95,42,15,0.5461276473698834,0.48920557665548786,7,0.6893154978752136,0.8705212473869324,0.18120574951171875,0.740664005279541,5.013104438781738,True,True,True,True
stage2,outer_1,1,3,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True,566947405,50,75,d2345b635a1903e87e247262824270d4c30e5004fbe429899b415cbacd4ba47c,361152,231,361383,295,101,45,12,0.6514307330096804,0.6506923970338604,7,0.5962173938751221,1.2200087308883667,0.6237913370132446,0.6459029912948608,6.361403465270996,True,True,True,True
stage2,outer_1,1,3,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1340623546,75,100,5a92980c9b99f689773186627c5386bc90f6210e0811dcff4288e47712eff619,719584,455,720039,295,101,45,12,0.6483852404905036,0.6489800425138771,7,0.6923051476478577,1.2115362882614136,0.5192311406135559,0.757239818572998,8.280043601989746,True,True,True,True
stage2,outer_1,1,3,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True,1730976183,125,150,d27676efa5d161b78cbc31ffa0070a0fdc60af9d7d871dd85b4d2cc5ed88ff08,59936,231,60167,295,101,45,12,0.5647069304964042,0.5412277265824177,7,0.6459000706672668,0.9849702715873718,0.339070200920105,0.6952083110809326,5.036142349243164,True,True,True,True
stage2,outer_1,1,3,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1287080449,130,155,de92860578c3818dcc42c1c7a103f5465e61f1368e25c49b6e9254326d9e9e95,64064,455,64519,295,101,45,12,0.5977554609133556,0.6007281631187944,7,0.6730940341949463,1.0941163301467896,0.42102229595184326,0.7198789119720459,6.771251678466797,True,True,True,True
stage2,outer_1,1,4,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True,136440880,65,90,d103ad25c975a2ff4e801c68ed1eabf5b137a6af7e9af4da142fbadb432ef539,361152,231,361383,299,97,41,16,0.8044331444952564,0.8047851734187139,7,0.5865975618362427,1.2137120962142944,0.6271145343780518,0.5881571769714355,7.082670211791992,True,True,True,True
stage2,outer_1,1,4,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1425533000,70,95,746723f208b0461246f58497ba43b92ed4607f0c72ae7cf2bffa622bbe3632ce,719584,455,720039,299,97,41,16,0.7627010670488931,0.7617892845097983,7,0.5606240630149841,1.2660337686538696,0.7054097056388855,0.5708519220352173,7.96856164932251,True,True,True,True
stage2,outer_1,1,4,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True,413797113,55,80,43c68ce6892e580d3a9ccc19ccdbae30d268ac5b96e492f0f4a0154cdb5cc85a,59936,231,60167,299,97,41,16,0.46581006984733697,0.38683221540364393,7,0.4349585473537445,0.6244330406188965,0.18947449326515198,0.45270591974258423,4.125371932983398,True,True,True,True
stage2,outer_1,1,4,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.25,0.1,0.2,True,True,True,1983895887,90,115,0504bbf15e7c4912bfcf2828d4e1fa75850bf2283e0a2f80c0563d1ac01dd9ee,64064,455,64519,299,97,41,16,0.6094464541669511,0.6028522520119158,7,0.6152358055114746,0.9192121624946594,0.3039763569831848,0.6344754695892334,5.840205669403076,True,True,True,True
stage2,outer_2,2,0,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__a6f24bb952b7,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1247670360,80,105,5daea67efa91f0e5160c33fd79f50678216e584755d0cbd13d6241f4b1a98701,361152,231,361383,302,103,40,14,0.8352324263038549,0.8081452307970335,7,0.6102853417396545,1.1886265277862549,0.5783411860466003,0.6210228204727173,6.1097092628479,True,True,True,True
stage2,outer_2,2,0,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__b5569d382061,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,65825414,50,75,f517ff00166ee3dbe03e5250d85d31d4d88ee8f40ff544923cff7676b14f0539,719584,455,720039,302,103,40,14,0.8518140589569161,0.8553241611939874,7,0.6417248249053955,1.2287156581878662,0.5869908332824707,0.6606310606002808,8.23523998260498,True,True,True,True
stage2,outer_2,2,0,domain_aware_stage2_compact_32__minimal_minmax__compact32__e76d944e06a3,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1384653323,100,125,2f9d7615b0c2179d9ebe36bcd659a3007beacd0765cf7d2ddca00f9504beb753,59936,231,60167,302,103,40,14,0.5238662131519274,0.4617497445083651,7,0.6523706316947937,0.9893761277198792,0.33700549602508545,0.6469449400901794,4.206629276275635,True,True,True,True
stage2,outer_2,2,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__c1b20cd51990,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1464416316,60,85,c3b986c5f8a7588ec88881b914d0250c833429238ba361e2f7a2e4176633d362,64064,455,64519,302,103,40,14,0.4601757369614513,0.40069817400644464,6,0.49322235584259033,0.6832866668701172,0.19006431102752686,0.5010503530502319,4.165292263031006,True,True,True,True
stage2,outer_2,2,1,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__a6f24bb952b7,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1124959677,55,80,d73f8e7056e7cf8a70eaf926f63264953cd967d2e029d7c5eb3dc75b0a43d00e,361152,231,361383,301,104,42,12,0.7154524219741611,0.7129658833021437,7,0.6571677327156067,1.2087972164154053,0.5516294836997986,0.6771647930145264,7.357012748718262,True,True,True,True
stage2,outer_2,2,1,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__b5569d382061,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1757485152,50,75,c2e2be8e5e448c81112b024630fd1edab1723b785ba34f3dd45c91f439a9fee6,719584,455,720039,301,104,42,12,0.7299982626069583,0.7213165251927773,7,0.6079241633415222,1.2134052515029907,0.6054810881614685,0.6207235455513,6.533957004547119,True,True,True,True
stage2,outer_2,2,1,domain_aware_stage2_compact_32__minimal_minmax__compact32__e76d944e06a3,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1409389999,165,190,61a7bb6765d3e8b5bd8d0ff92ac8cbd40f43d9ac3a3c55dce2b15c715f6bf822,59936,231,60167,301,104,42,12,0.5788583397279049,0.5700185192832251,7,0.6912050843238831,1.0383014678955078,0.34709638357162476,0.7550118565559387,5.293600559234619,True,True,True,True
stage2,outer_2,2,1,domain_aware_stage2_compact_64__minimal_minmax__compact64__c1b20cd51990,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,685564030,60,85,7ad228c5c97a862cfb1627ab1ea7ac4d3dc52cdee15614d271b1377d153b9c50,64064,455,64519,301,104,42,12,0.41581244842114407,0.4018182207655892,7,0.5930907726287842,0.8776782751083374,0.2845875024795532,0.6728734374046326,4.594290733337402,True,True,True,True
stage2,outer_2,2,3,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__a6f24bb952b7,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,812473265,90,115,139cb88ed7b4e1c64a56960663838beb5a9eacd3a3ec1b0e8275d411f5f4f08a,361152,231,361383,304,101,42,12,0.7394830315882946,0.7459401279834716,7,0.6399234533309937,1.2221132516860962,0.5821897983551025,0.6938887238502502,6.727449893951416,True,True,True,True
stage2,outer_2,2,3,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__b5569d382061,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,100224421,110,135,88d75a463e6860ec9cc4abf4f535aa5880423b2c423a6ce434e73298e6bdc8df,719584,455,720039,304,101,42,12,0.7394830315882946,0.7481654892150439,7,0.665816068649292,1.2308971881866455,0.5650811195373535,0.7067856788635254,8.011032104492188,True,True,True,True
stage2,outer_2,2,3,domain_aware_stage2_compact_32__minimal_minmax__compact32__e76d944e06a3,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,2067469712,135,160,168d1df57b831e5cc7ded1a72b8687132b751e72d0b6e774457e9b20b7bee604,59936,231,60167,304,101,42,12,0.5234163497321391,0.5132875692322696,7,0.6083130836486816,1.0223549604415894,0.4140418767929077,0.6723735332489014,4.671144008636475,True,True,True,True
stage2,outer_2,2,3,domain_aware_stage2_compact_64__minimal_minmax__compact64__c1b20cd51990,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1514254403,135,160,488da7ddf62637910f92b8d923c62958710954e16145fb9f3e622caf93bcb741,64064,455,64519,304,101,42,12,0.5478112530744109,0.5418307419586192,7,0.6512353420257568,1.0312371253967285,0.3800017833709717,0.693741500377655,4.453989028930664,True,True,True,True
stage2,outer_2,2,4,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__a6f24bb952b7,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,261180631,65,90,79a8a854367c68d5d6d135c99f1eec05b7d9e8b633fc01e98c5fb4465f8770d7,361152,231,361383,308,97,38,16,0.7458876527199508,0.7039061150938138,7,0.542429506778717,1.2099711894989014,0.6675416827201843,0.5508036613464355,5.421529769897461,True,True,True,True
stage2,outer_2,2,4,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__b5569d382061,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1592309953,75,100,f63638b2bb43c501b9b5c1420769435364a60893d78b3d89ae76c2aa49f6cafb,719584,455,720039,308,97,38,16,0.7048779377971924,0.6793537863103081,7,0.6210220456123352,1.226418137550354,0.6053960919380188,0.6172546148300171,7.835495471954346,True,True,True,True
stage2,outer_2,2,4,domain_aware_stage2_compact_32__minimal_minmax__compact32__e76d944e06a3,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,2065016650,140,165,3e4ea6e910b543416c8cbd7550d126570aafa79ee65108473c5b7207e8a721e0,59936,231,60167,308,97,38,16,0.5030259595476986,0.477978655883989,7,0.7510513663291931,1.0074375867843628,0.2563862204551697,0.7661039233207703,5.5459723472595215,True,True,True,True
stage2,outer_2,2,4,domain_aware_stage2_compact_64__minimal_minmax__compact64__c1b20cd51990,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,699467563,80,105,2c8d3c7b95aefbfaa070c49da8c7e1fbb74e3c0c1606ce6a6c64555d3a0ff333,64064,455,64519,308,97,38,16,0.5864275476076718,0.56057874153984,7,0.5659987330436707,0.8296463489532471,0.2636476159095764,0.5938373804092407,5.602504730224609,True,True,True,True
stage2,outer_3,3,0,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__3ba7188d044c,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.25,0.25,0.1,0.2,True,True,True,1142715671,55,80,35f485eba5517fc5cd3c2a6c6fc914c80b4c812c92d5bae4dcb9a50d1a5e93ce,361152,231,361383,296,103,43,14,0.8464852607709751,0.8446369456873658,7,0.5635302066802979,1.199047565460205,0.6355173587799072,0.6027353405952454,6.3207106590271,True,True,True,True
stage2,outer_3,3,0,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__fdee860905a3,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True,1069427890,75,100,6904a37932afecbe09cd309babed6d262abf6e61706fc5c173bfb553f0a0c1a4,719584,455,720039,296,103,43,14,0.864342403628118,0.8583866583471078,7,0.5907735824584961,1.254294753074646,0.6635211706161499,0.6208127737045288,7.905606269836426,True,True,True,True
stage2,outer_3,3,0,domain_aware_stage2_compact_32__minimal_minmax__compact32__3dd57f1ab3f2,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.25,0.25,0.1,0.2,True,True,True,604216573,105,130,fe6d603d0e944959b220d44fe6d8057d16402c99f7cadd2e47a7004de7e9f075,59936,231,60167,296,103,43,14,0.6193027210884354,0.6260156486653764,7,0.6311922669410706,0.9175666570663452,0.28637439012527466,0.6582016348838806,5.367463111877441,True,True,True,True
stage2,outer_3,3,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__9d618496c3cb,domain_aware_stage2_compact_64,minimal_minmax,compact,64,1.0,0.25,0.25,0.1,0.2,True,True,True,676669545,160,185,a924b974d7a1752ec6315105d17d302332beab2ff92cd11184acf624058d6ba2,64064,455,64519,296,103,43,14,0.6345804988662131,0.6375436459564634,7,0.8492045998573303,1.1226290464401245,0.2734244465827942,0.8458215594291687,9.215869903564453,True,True,True,True
stage2,outer_3,3,1,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__3ba7188d044c,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.25,0.25,0.1,0.2,True,True,True,908584382,60,85,87ef063f5c916e41c99e183c53a00942f3706b04a8642b5755a7063e05c1d860,361152,231,361383,295,104,45,12,0.6926455187324753,0.6833391340329361,7,0.574277400970459,1.231799602508545,0.6575222015380859,0.5749644637107849,6.380527019500732,True,True,True,True
stage2,outer_3,3,1,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__fdee860905a3,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.25,0.25,0.1,0.2,True,True,True,58194838,65,90,8e0c03ced00a1df7238722f9cd69918b6de306a65acdb462a8fa6d0075756398,719584,455,720039,295,104,45,12,0.6801954084562779,0.6849514251450677,7,0.6308921575546265,1.195887804031372,0.5649956464767456,0.6324967741966248,8.157556533813477,True,True,True,True
