stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,name,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,653561224,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,9bb242b5ce54c59e50750e93b0f7aa620c0d7953252ee639b5bd4e98018faf81
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,794026824,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,236cc6062f245b239dbfc45833b22489dc8eb9657691e07cc7f34ac1a8a1a87f
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1317328417,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,9038fd5caa9438460a52520e6b7b6ec03c5083a4daad4b96b4ac8b3414b1447e
domain,strict_core,domain_and_sample,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,696521885,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,55eea27c3fa5d790ff5da38e04ce964d586178660395177bfc971d07be7eaf5a
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,431511342,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,97bdf3d36a458b98b558dd7cd54915e84163ebf2a15fd3d402c8757152e953a4
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1109455259,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,2b268a3b64fec3240f4c98925bea71df74dbe3bc9c6c38ac83a71ba56a66f260
domain,strict_core,domain_and_sample,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,947674840,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,d1abe36b6b4e5bf4c2241cdc98bb149e8180d83a150c38c47ba50687487b9661
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1187109099,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,b9cabc40797da2a7130f85f7de5cf39a8daba13a28e765a822526d183059a8d7
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,707382062,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,a0f813a62e95a3a8d12cc760f40a71636ede4455c8636565d24681b5aa5af32f
domain,strict_core,domain_and_sample,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1403016840,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,1890c2804628691468190cf706cec1de28974eeecf2e8a155d3072d1b63af3ce
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1088952384,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,1db6d6c2b9cebda0039c49eb9b3c22b2c392d0747c0c0e9de9595cc0e77ba9ff
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1877956984,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,7b1d23f19b0dd0d4bc7f574c20319679694c60eb3eee45eff6622ca7467946fd
