stage,training_subset,outer_fold,variant,candidate_id,declared_seed,run_seed,epochs,temperature,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
outer,quality_pass,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,1729,837942594,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,c6bdaeb596d8f9a604b238384613b3e6d1bf864d03ae084e7d5584a204d406a8
outer,quality_pass,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,2718,811725674,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,cacd62870b3da02f33738e9f94d4b856dd62d0d3ffbf25667be86c8b9547d00d
outer,quality_pass,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,3141,1885426530,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,11a1b8891d9685a3f9172b14ad69a2e399a0f15c91e803cfdb664bc50c23927e
outer,quality_pass,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,1729,2020410755,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,39aa8dbf59b474cf7d382eb0d053a0c9085037eb2bd20b84a243f79824da7895
outer,quality_pass,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,2718,2099931789,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,5ad183e9a2f0c56a3e6948c4e97fc4aa65bbef974e4e0ec3074959b3c13472de
outer,quality_pass,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,3141,825081261,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,c8d649afab5ab216a4f841edb27cd5923109ae6cdda6bf7427c531760651045a
outer,quality_pass,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,1729,1889726517,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,80475e2ba5d05cc1a59e41fd300a1e8772fb38f575c7370ebd34fccb0012e815
outer,quality_pass,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,2718,669908427,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,c018264b3576806056fe6796ef40d2ea117eae1f99e0936711215a57fad1162c
outer,quality_pass,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,3141,1069743744,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,5d4ad26098ff1fa57b1e9ab8e64bd64bce37157d1758ad3aa51bfe1010dee19e
outer,quality_pass,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,1729,2047255571,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,933a8a6c737fd0a5ed9b7c22c3163f9e4e1e73ae52051a4b5ebf4b0d46c85352
outer,quality_pass,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,2718,1409492271,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,db55d7c5778cacd9f6c87c58d4fb90c4e1acd07935828237ae083915421c1229
outer,quality_pass,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,3141,73894419,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,a1dbfbd410e64fa684fe7701e50384ad1f3b07f00b7ae05f559235b1facaa2c4
outer,quality_pass,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,1729,1778536810,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,c6216342f1b62d58e41c36f1f617f1ed72da3d8dd1a884174962cfd91f032717
outer,quality_pass,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,2718,2096547942,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,8d11eb1b45a4e918591261e6140180a4af5faf0c5361136f0632a34320a1e056
outer,quality_pass,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,3141,98662710,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,d0a7d049cf5376c1407e1f5e6397c6a244bfab341a11ee55c4c70cb2d7c9ae2e
outer,quality_pass,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,1729,1683667235,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,4105274123f9cadd8b5ccddc30c5fd4b9c6132f36365b719cd7c6f3cc8f70437
outer,quality_pass,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,2718,1861194393,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,f8c9e81b79ecbe268436597d84845bb5d0a8f924545066cfd89ce35b0f5f36c7
outer,quality_pass,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,3141,1437429787,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,eae7285311b189b5ab1ad5f89ca88be714f4f1433337ead79bdf9c6db7e3b6a5
outer,quality_pass,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,1729,1710536920,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,089331ce7d28a2de38894da94515da69bd11249ca673977a03246699aeffe6bf
