stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,target_analyte,support,correct,recall
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,2718,713018678,70,0.8214659729062531,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,acetaminophen,15,12,0.8
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,blank,20,14,0.7
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,ethanol,12,8,0.6666666666666666
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,3141,1055240366,70,0.8214659729062531,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,4_ANPP,20,16,0.8
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,acetaminophen,15,9,0.6
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,blank,20,15,0.75
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,1729,142000702,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,acetaminophen,15,9,0.6
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,benzyl_fentanyl,25,24,0.96
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,blank,20,13,0.65
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,2718,928104089,70,1.0,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,benzyl_fentanyl,25,21,0.84
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,blank,20,16,0.8
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,ethanol,12,8,0.6666666666666666
outer,strict_core,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,arpls_minmax,legacy,32,3141,1053004972,70,1.0,ethyl_paraoxon,6,6,1.0
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,4_nitrophenol,20,18,0.9
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,benzyl_fentanyl,25,21,0.84
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,blank,20,11,0.55
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,ethanol,12,10,0.8333333333333334
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,1729,2119173188,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,4_nitrophenol,20,18,0.9
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,acetaminophen,15,11,0.7333333333333333
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,benzyl_fentanyl,25,24,0.96
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,blank,20,13,0.65
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,ethanol,12,10,0.8333333333333334
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,2718,1682837152,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,4_ANPP,20,16,0.8
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,acetaminophen,15,9,0.6
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,blank,20,12,0.6
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,arpls_minmax,legacy,32,3141,101234752,70,1.0,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,4_ANPP,20,16,0.8
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,blank,20,15,0.75
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,1729,1853933850,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,acetaminophen,15,11,0.7333333333333333
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,benzyl_fentanyl,25,23,0.92
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,blank,20,15,0.75
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,ethanol,12,8,0.6666666666666666
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,2718,699380057,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,acetaminophen,15,11,0.7333333333333333
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,benzyl_fentanyl,25,24,0.96
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,blank,20,14,0.7
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,ethanol,12,7,0.5833333333333334
outer,strict_core,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,arpls_minmax,legacy,32,3141,545056204,70,1.0,ethyl_paraoxon,6,6,1.0
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,benzyl_fentanyl,25,23,0.92
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,blank,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,ethanol,12,10,0.8333333333333334
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,1729,488459554,70,1.0,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,acetaminophen,15,9,0.6
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,benzyl_fentanyl,25,21,0.84
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,blank,20,17,0.85
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,ethanol,12,10,0.8333333333333334
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,2718,1740568600,70,1.0,ethyl_paraoxon,6,5,0.8333333333333334
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,4_ANPP,20,18,0.9
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,4_nitrophenol,20,18,0.9
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,acetaminophen,15,8,0.5333333333333333
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,benzyl_fentanyl,25,21,0.84
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,blank,20,13,0.65
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,ethanol,12,8,0.6666666666666666
outer,strict_core,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,arpls_minmax,legacy,32,3141,183884624,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,4_ANPP,20,17,0.85
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,4_nitrophenol,20,18,0.9
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,acetaminophen,15,9,0.6
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,benzyl_fentanyl,25,24,0.96
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,blank,20,15,0.75
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,1729,378031161,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,4_ANPP,20,16,0.8
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,blank,20,17,0.85
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,2718,1996773978,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,4_ANPP,20,18,0.9
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,acetaminophen,15,12,0.8
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,benzyl_fentanyl,25,22,0.88
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,blank,20,17,0.85
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,arpls_minmax,legacy,32,3141,68204124,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,4_ANPP,20,18,0.9
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,4_nitrophenol,20,17,0.85
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,acetaminophen,15,10,0.6666666666666666
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,benzyl_fentanyl,25,21,0.84
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,blank,20,15,0.75
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,ethanol,12,9,0.75
outer,strict_core,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,arpls_minmax,legacy,32,1729,672425814,70,1.0,ethyl_paraoxon,6,4,0.6666666666666666
