alpha,l1_ratio,share_threshold,exact_match,micro_precision,micro_recall,micro_f1,mean_true_labels,mean_predicted_labels,zero_prediction_rate,mean_residual_norm
0.03,0.8,0.12,0.5448275862068965,0.7139442231075698,0.7724137931034483,0.7420289855072464,2.0,2.163793103448276,0.0,2025.3285192278558
0.03,0.95,0.12,0.5448275862068965,0.7139442231075698,0.7724137931034483,0.7420289855072464,2.0,2.163793103448276,0.0,2025.32868331992
0.03,1.0,0.12,0.5448275862068965,0.7139442231075698,0.7724137931034483,0.7420289855072464,2.0,2.163793103448276,0.0,2025.3287430551713
0.1,0.5,0.12,0.5448275862068965,0.7139442231075698,0.7724137931034483,0.7420289855072464,2.0,2.163793103448276,0.0,2025.329658465513
0.1,0.8,0.12,0.5448275862068965,0.7139442231075698,0.7724137931034483,0.7420289855072464,2.0,2.163793103448276,0.0,2025.3306196294116
0.03,0.5,0.12,0.5431034482758621,0.7133757961783439,0.7724137931034483,0.7417218543046358,2.0,2.1655172413793102,0.0,2025.3282765808651
0.1,0.2,0.12,0.5431034482758621,0.7133757961783439,0.7724137931034483,0.7417218543046358,2.0,2.1655172413793102,0.0,2025.3284234954494
0.003,0.8,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3280925947643
0.003,0.95,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3280944442874
0.003,1.0,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3280951371632
0.01,0.5,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3281102675603
0.01,0.8,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3281429619794
0.01,0.95,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.328164042096
0.01,1.0,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3281720469151
0.03,0.2,0.12,0.5413793103448276,0.7128082736674622,0.7724137931034483,0.741414977244518,2.0,2.1672413793103447,0.0,2025.3281239993269
0.0001,0.2,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.328086336049
0.0001,0.5,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.328086331693
0.0001,0.8,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.32808632883
0.0001,0.95,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.328086327954
0.0001,1.0,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280863277437
0.0003,0.2,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.328086380537
0.0003,0.5,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280863780722
0.0003,0.8,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280863903235
0.0003,0.95,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280864008932
0.0003,1.0,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280864051142
0.001,0.2,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280862323852
0.001,0.5,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280871124973
0.001,0.8,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280873759738
0.001,0.95,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.328087562814
0.001,1.0,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280876336387
0.003,0.2,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280873784313
0.003,0.5,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280891040188
0.01,0.2,0.12,0.5413793103448276,0.7125796178343949,0.771551724137931,0.7408940397350994,2.0,2.1655172413793102,0.0,2025.3280916218855
0.1,0.8,0.1,0.5362068965517242,0.6756559766763849,0.7991379310344827,0.7322274881516587,2.0,2.3655172413793104,0.0,2025.3306196294116
0.1,0.95,0.1,0.5362068965517242,0.6756559766763849,0.7991379310344827,0.7322274881516587,2.0,2.3655172413793104,0.0,2025.3308373721072
0.1,1.0,0.1,0.5362068965517242,0.6756559766763849,0.7991379310344827,0.7322274881516587,2.0,2.3655172413793104,0.0,2025.3309014701815
0.1,0.5,0.1,0.5344827586206896,0.6751638747268754,0.7991379310344827,0.7319384129490722,2.0,2.367241379310345,0.0,2025.329658465513
