wavenumber,mean,std
1416.761486,826.3256231679999,556.8595471667317
1418.977517,825.4291074080002,548.7965788810809
1421.193548,823.8206747800001,539.6761766656127
1423.40958,822.6268386400001,536.3455664246015
1425.625611,822.2215408559999,539.0292658133769
1427.841642,824.9453093800001,544.2924271292823
1430.057674,828.3959824119999,552.0554050202023
1432.273705,830.3036382879999,558.4211891270209
1434.489736,831.145760896,562.6922405577048
1436.705767,831.725193612,564.0812930436583
1438.921799,830.389484872,560.7071971705844
1441.13783,827.716863948,557.6691100705748
1443.353861,824.053044244,554.5490017281614
1445.569892,823.2408952159999,548.0403971481164
1447.785924,825.34999092,550.9651860263796
1450.001955,825.5702672600002,551.7347658204045
1452.217986,824.9255666239999,549.1653516962515
1454.434018,826.1293510800001,550.9728642155627
1456.650049,829.7284203,553.4508660653904
1458.86608,832.1145842839999,554.2484982828856
1461.082111,832.9685627199999,555.01344126059
1463.298143,833.4693059759999,555.2948784752398
1465.514174,837.6954912799999,557.9042220663875
1467.730205,842.129445428,561.8758062499205
1469.946237,848.096615564,568.7403705949012
1472.162268,851.375454188,569.1988790246002
1474.378299,852.2915338079999,570.9637419844515
1476.59433,852.32402822,569.4338911592213
1478.810362,855.2254831280001,566.4552548300197
1481.026393,854.289125968,567.7957813302953
1483.242424,854.924472328,574.1907783391765
1485.458456,855.6231421639999,582.72892222683
1487.674487,855.6523512839999,589.0470062224651
1489.890518,855.3489325559999,596.6590964494416
1492.106549,854.501487444,597.7255220447377
1494.322581,856.7914424040001,605.38498625406
1496.538612,855.5358806439998,603.6076537380043
1498.754643,858.3595939080001,609.0093231273279
1500.970674,862.4706273800001,616.3422517692774
1503.186706,868.1093397360002,636.4247726654794
1505.402737,874.9184035760002,652.1848515682801
1507.618768,880.3148823720002,668.8160241621702
1509.8348,888.6692264920001,690.5135652733815
1512.050831,898.4491828280001,711.1931629371092
1514.266862,903.561039932,731.9594714286648
1516.482893,910.78577164,752.2562690232111
1518.698925,913.623589992,770.2740751469408
1520.914956,921.844763396,772.360511994869
1523.130987,926.106217112,769.5486440282103
1525.347019,926.47242388,776.3660670288727
1527.56305,929.3148648319999,779.7674816405543
1529.779081,933.885507288,785.2306064674539
1531.995112,934.800442472,783.9461171303195
1534.211144,937.6725355080001,790.0819502588197
1536.427175,940.4708303120001,797.1060731019797
1538.643206,940.0940412560001,802.2178654342699
1540.859238,940.073914184,807.176264086594
