umap1,umap2,label,substrate
1.1935256,0.74477947,pyridine,AgNP
1.3946148,0.5091384,pyridine,AgNP
0.50626445,0.889277,pyridine,AgNP
0.39256024,0.8662759,pyridine,AgNP
1.0447166,1.652519,pyridine,AgNP
1.4719081,1.5872374,pyridine,AgNP
2.2331374,0.82567096,pyridine,AgNP
0.5994892,0.8174614,pyridine,AgNP
1.3061371,0.84845144,pyridine,AgNP
1.5429436,0.42420998,pyridine,AgNP
0.51380146,0.70640635,pyridine,AgNP
0.42402938,1.236074,pyridine,AgNP
1.6663619,0.5113551,pyridine,AgNP
1.2080387,1.0118015,pyridine,AgNP
0.33334836,1.0539324,pyridine,AgNP
0.19951883,0.70653296,pyridine,AgNP
1.0046313,0.555173,pyridine,AgNP
2.9217196,1.6632209,pyridine,AuNP
0.97477955,1.5703527,pyridine,AuNP
2.5431244,1.0007838,pyridine,AuNP
2.1499324,1.0750245,pyridine,AuNP
2.0363681,1.4269193,pyridine,AuNP
1.2192482,1.6373646,pyridine,AuNP
2.6694715,1.1339192,pyridine,AuNP
0.97674173,1.1012499,pyridine,AuNP
2.7822556,1.2512963,pyridine,AuNP
1.3064728,0.5822345,pyridine,AuNP
2.3209236,0.93346417,pyridine,AuNP
3.0382025,2.8418777,pyridine,AuNP
2.5297952,1.05446,pyridine,AuNP
1.8002534,0.7944161,pyridine,AuNP
0.81983894,1.4014959,pyridine,AuNP
2.2859204,0.8201838,pyridine,AuNP
3.0084305,1.6369188,pyridine,AuNP
2.622936,1.0931395,pyridine,AuNP
3.2500656,2.0477874,pyridine,AuNP
3.2418458,2.3052063,pyridine,AuNP
2.217439,1.0883762,pyridine,AuNP
3.12417,2.8565392,pyridine,AuNP
3.2752469,2.494396,pyridine,AuNP
2.8620305,1.3892214,pyridine,AuNP
1.154331,1.9362376,pyridine,AuNP
-0.10375167,14.834299,benzenethiol,Ag
-0.758668,14.077343,benzenethiol,Ag
-1.0905731,13.139549,benzenethiol,Ag
6.213687,16.90347,benzenethiol,Ag
1.6743294,16.476238,benzenethiol,Ag
3.545301,16.165453,benzenethiol,Ag
5.632092,16.670893,benzenethiol,Ag
1.2575885,15.594664,benzenethiol,Ag
3.9363585,16.040838,benzenethiol,Ag
0.3043101,15.05217,benzenethiol,Ag
-0.48522,14.393351,benzenethiol,Ag
6.56414,16.890491,benzenethiol,Ag
2.190764,16.112291,benzenethiol,Ag
6.662384,16.8884,benzenethiol,Ag
5.2774205,16.538254,benzenethiol,Ag
1.338005,15.605246,benzenethiol,Ag
4.3660393,15.9695,benzenethiol,Ag
6.3594127,16.954018,benzenethiol,Ag
6.4052978,17.020538,benzenethiol,Ag
2.1478264,16.529228,benzenethiol,Ag
4.4176903,16.028437,benzenethiol,Ag
0.90650773,15.710213,benzenethiol,Ag
-0.82734287,13.934071,benzenethiol,Ag
4.090353,15.916477,benzenethiol,Ag
6.603911,16.878923,benzenethiol,Ag
1.8414387,16.480404,benzenethiol,Au
1.2333775,15.545484,benzenethiol,Au
3.7085729,16.097628,benzenethiol,Au
4.9774776,16.407309,benzenethiol,Au
-1.1946833,13.051666,benzenethiol,Au
1.2247896,15.873647,benzenethiol,Au
-0.87068814,13.865799,benzenethiol,Au
2.287642,16.231096,benzenethiol,Au
-0.021745387,14.885682,benzenethiol,Au
-0.38125193,14.597033,benzenethiol,Au
2.0222316,16.053415,benzenethiol,Au
1.6278404,15.85137,benzenethiol,Au
1.2438493,15.833309,benzenethiol,Au
0.9894726,15.679688,benzenethiol,Au
1.1220278,15.688458,benzenethiol,Au
-0.11051056,14.818292,benzenethiol,Au
-0.502295,14.419184,benzenethiol,Au
-0.45780623,14.406524,benzenethiol,Au
2.1521108,16.045588,benzenethiol,Au
2.129898,16.443258,benzenethiol,Au
2.6338568,16.337759,benzenethiol,Au
-0.31723437,14.64133,benzenethiol,Au
4.330714,16.21243,benzenethiol,Au
1.0109743,15.649128,benzenethiol,Au
0.9185352,15.753333,benzenethiol,Au
