held_unknown,outer_fold,inner_fold,surrogate_unknown,train_known,locked_held_unknown,locked_stress,excluded_outer_known_test,validation_known,excluded_surrogate_training,validation_surrogate_unknown
acetaminophen,4,0,4_ANPP,203,81,83,85,69,57,20
acetaminophen,4,0,4_nitrophenol,216,81,83,85,73,44,16
acetaminophen,4,0,benzyl_fentanyl,192,81,83,85,65,68,24
acetaminophen,4,0,ethanol,236,81,83,85,81,24,8
acetaminophen,4,0,ethyl_paraoxon,233,81,83,85,86,27,3
acetaminophen,4,1,4_ANPP,199,81,83,85,73,59,18
acetaminophen,4,1,4_nitrophenol,216,81,83,85,73,42,18
acetaminophen,4,1,benzyl_fentanyl,189,81,83,85,68,69,23
acetaminophen,4,1,ethanol,235,81,83,85,82,23,9
acetaminophen,4,1,ethyl_paraoxon,240,81,83,85,79,18,12
acetaminophen,4,2,4_ANPP,211,81,83,85,61,57,20
acetaminophen,4,2,4_nitrophenol,219,81,83,85,70,49,11
acetaminophen,4,2,benzyl_fentanyl,199,81,83,85,58,69,23
acetaminophen,4,2,ethanol,242,81,83,85,75,26,6
acetaminophen,4,2,ethyl_paraoxon,241,81,83,85,78,27,3
acetaminophen,4,3,4_ANPP,203,81,83,85,69,58,19
acetaminophen,4,3,4_nitrophenol,216,81,83,85,73,45,15
acetaminophen,4,3,benzyl_fentanyl,191,81,83,85,66,70,22
acetaminophen,4,3,ethanol,238,81,83,85,79,23,9
acetaminophen,4,3,ethyl_paraoxon,243,81,83,85,76,18,12
benzyl_fentanyl,0,1,4_ANPP,165,120,93,79,63,60,18
benzyl_fentanyl,0,1,4_nitrophenol,185,120,93,79,63,40,18
benzyl_fentanyl,0,1,acetaminophen,186,120,93,79,68,39,13
benzyl_fentanyl,0,1,ethanol,203,120,93,79,72,22,9
benzyl_fentanyl,0,1,ethyl_paraoxon,203,120,93,79,69,22,12
benzyl_fentanyl,0,2,4_ANPP,176,120,93,79,52,58,20
benzyl_fentanyl,0,2,4_nitrophenol,187,120,93,79,61,47,11
benzyl_fentanyl,0,2,acetaminophen,196,120,93,79,58,38,14
benzyl_fentanyl,0,2,ethanol,209,120,93,79,66,25,6
benzyl_fentanyl,0,2,ethyl_paraoxon,203,120,93,79,69,31,3
benzyl_fentanyl,0,3,4_ANPP,168,120,93,79,60,59,19
benzyl_fentanyl,0,3,4_nitrophenol,184,120,93,79,64,43,15
benzyl_fentanyl,0,3,acetaminophen,188,120,93,79,66,39,13
benzyl_fentanyl,0,3,ethanol,205,120,93,79,70,22,9
benzyl_fentanyl,0,3,ethyl_paraoxon,205,120,93,79,67,22,12
benzyl_fentanyl,0,4,4_ANPP,175,120,93,79,53,57,21
benzyl_fentanyl,0,4,4_nitrophenol,188,120,93,79,60,44,14
benzyl_fentanyl,0,4,acetaminophen,192,120,93,79,62,40,12
benzyl_fentanyl,0,4,ethanol,208,120,93,79,67,24,7
benzyl_fentanyl,0,4,ethyl_paraoxon,205,120,93,79,67,27,7
benzyl_fentanyl,1,0,4_ANPP,165,120,93,81,59,60,20
benzyl_fentanyl,1,0,4_nitrophenol,185,120,93,81,63,40,16
benzyl_fentanyl,1,0,acetaminophen,186,120,93,81,65,39,14
benzyl_fentanyl,1,0,ethanol,203,120,93,81,71,22,8
benzyl_fentanyl,1,0,ethyl_paraoxon,203,120,93,81,76,22,3
benzyl_fentanyl,1,2,4_ANPP,172,120,93,81,52,60,20
benzyl_fentanyl,1,2,4_nitrophenol,187,120,93,81,61,45,11
benzyl_fentanyl,1,2,acetaminophen,193,120,93,81,58,39,14
benzyl_fentanyl,1,2,ethanol,208,120,93,81,66,24,6
benzyl_fentanyl,1,2,ethyl_paraoxon,210,120,93,81,69,22,3
benzyl_fentanyl,1,3,4_ANPP,164,120,93,81,60,61,19
benzyl_fentanyl,1,3,4_nitrophenol,184,120,93,81,64,41,15
benzyl_fentanyl,1,3,acetaminophen,185,120,93,81,66,40,13
benzyl_fentanyl,1,3,ethanol,204,120,93,81,70,21,9
benzyl_fentanyl,1,3,ethyl_paraoxon,212,120,93,81,67,13,12
benzyl_fentanyl,1,4,4_ANPP,171,120,93,81,53,59,21
benzyl_fentanyl,1,4,4_nitrophenol,188,120,93,81,60,42,14
benzyl_fentanyl,1,4,acetaminophen,189,120,93,81,62,41,12
benzyl_fentanyl,1,4,ethanol,207,120,93,81,67,23,7
benzyl_fentanyl,1,4,ethyl_paraoxon,212,120,93,81,67,18,7
benzyl_fentanyl,2,0,4_ANPP,176,120,93,72,59,58,20
benzyl_fentanyl,2,0,4_nitrophenol,187,120,93,72,63,47,16
benzyl_fentanyl,2,0,acetaminophen,196,120,93,72,65,38,14
benzyl_fentanyl,2,0,ethanol,209,120,93,72,71,25,8
benzyl_fentanyl,2,0,ethyl_paraoxon,203,120,93,72,76,31,3
benzyl_fentanyl,2,1,4_ANPP,172,120,93,72,63,60,18
benzyl_fentanyl,2,1,4_nitrophenol,187,120,93,72,63,45,18
benzyl_fentanyl,2,1,acetaminophen,193,120,93,72,68,39,13
benzyl_fentanyl,2,1,ethanol,208,120,93,72,72,24,9
benzyl_fentanyl,2,1,ethyl_paraoxon,210,120,93,72,69,22,12
benzyl_fentanyl,2,3,4_ANPP,175,120,93,72,60,59,19
benzyl_fentanyl,2,3,4_nitrophenol,186,120,93,72,64,48,15
benzyl_fentanyl,2,3,acetaminophen,195,120,93,72,66,39,13
benzyl_fentanyl,2,3,ethanol,210,120,93,72,70,24,9
benzyl_fentanyl,2,3,ethyl_paraoxon,212,120,93,72,67,22,12
benzyl_fentanyl,2,4,4_ANPP,182,120,93,72,53,57,21
benzyl_fentanyl,2,4,4_nitrophenol,190,120,93,72,60,49,14
benzyl_fentanyl,2,4,acetaminophen,199,120,93,72,62,40,12
benzyl_fentanyl,2,4,ethanol,213,120,93,72,67,26,7
benzyl_fentanyl,2,4,ethyl_paraoxon,212,120,93,72,67,27,7
benzyl_fentanyl,3,0,4_ANPP,168,120,93,79,59,59,20
benzyl_fentanyl,3,0,4_nitrophenol,184,120,93,79,63,43,16
benzyl_fentanyl,3,0,acetaminophen,188,120,93,79,65,39,14
benzyl_fentanyl,3,0,ethanol,205,120,93,79,71,22,8
benzyl_fentanyl,3,0,ethyl_paraoxon,205,120,93,79,76,22,3
benzyl_fentanyl,3,1,4_ANPP,164,120,93,79,63,61,18
benzyl_fentanyl,3,1,4_nitrophenol,184,120,93,79,63,41,18
benzyl_fentanyl,3,1,acetaminophen,185,120,93,79,68,40,13
benzyl_fentanyl,3,1,ethanol,204,120,93,79,72,21,9
benzyl_fentanyl,3,1,ethyl_paraoxon,212,120,93,79,69,13,12
benzyl_fentanyl,3,2,4_ANPP,175,120,93,79,52,59,20
benzyl_fentanyl,3,2,4_nitrophenol,186,120,93,79,61,48,11
benzyl_fentanyl,3,2,acetaminophen,195,120,93,79,58,39,14
benzyl_fentanyl,3,2,ethanol,210,120,93,79,66,24,6
benzyl_fentanyl,3,2,ethyl_paraoxon,212,120,93,79,69,22,3
benzyl_fentanyl,3,4,4_ANPP,174,120,93,79,53,58,21
benzyl_fentanyl,3,4,4_nitrophenol,187,120,93,79,60,45,14
benzyl_fentanyl,3,4,acetaminophen,191,120,93,79,62,41,12
benzyl_fentanyl,3,4,ethanol,209,120,93,79,67,23,7
benzyl_fentanyl,3,4,ethyl_paraoxon,214,120,93,79,67,18,7
benzyl_fentanyl,4,0,4_ANPP,175,120,93,74,59,57,20
benzyl_fentanyl,4,0,4_nitrophenol,188,120,93,74,63,44,16
benzyl_fentanyl,4,0,acetaminophen,192,120,93,74,65,40,14
benzyl_fentanyl,4,0,ethanol,208,120,93,74,71,24,8
benzyl_fentanyl,4,0,ethyl_paraoxon,205,120,93,74,76,27,3
benzyl_fentanyl,4,1,4_ANPP,171,120,93,74,63,59,18
benzyl_fentanyl,4,1,4_nitrophenol,188,120,93,74,63,42,18
benzyl_fentanyl,4,1,acetaminophen,189,120,93,74,68,41,13
benzyl_fentanyl,4,1,ethanol,207,120,93,74,72,23,9
benzyl_fentanyl,4,1,ethyl_paraoxon,212,120,93,74,69,18,12
benzyl_fentanyl,4,2,4_ANPP,182,120,93,74,52,57,20
benzyl_fentanyl,4,2,4_nitrophenol,190,120,93,74,61,49,11
benzyl_fentanyl,4,2,acetaminophen,199,120,93,74,58,40,14
benzyl_fentanyl,4,2,ethanol,213,120,93,74,66,26,6
benzyl_fentanyl,4,2,ethyl_paraoxon,212,120,93,74,69,27,3
benzyl_fentanyl,4,3,4_ANPP,174,120,93,74,60,58,19
benzyl_fentanyl,4,3,4_nitrophenol,187,120,93,74,64,45,15
