held_unknown,outer_fold,calibration_fold,partition,rows,masters,analytes,instruments,sensor_families
4_nitrophenol,0,2,train_known,255,35,6,10,4
4_nitrophenol,0,3,calibration_known,86,10,6,10,4
4_nitrophenol,0,3,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,3,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,3,locked_stress,80,37,6,9,3
4_nitrophenol,0,3,train_known,253,38,6,10,3
4_nitrophenol,0,4,calibration_known,83,14,6,10,3
4_nitrophenol,0,4,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,4,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,4,locked_stress,80,37,6,9,3
4_nitrophenol,0,4,train_known,256,34,6,10,4
4_nitrophenol,1,0,calibration_known,87,13,6,10,3
4_nitrophenol,1,0,excluded_outer_known_test,86,11,6,10,3
4_nitrophenol,1,0,locked_held_unknown,92,8,1,5,3
4_nitrophenol,1,0,locked_stress,80,37,6,9,3
4_nitrophenol,1,0,train_known,253,37,6,10,4
4_nitrophenol,1,2,calibration_known,84,13,6,10,3
4_nitrophenol,1,2,excluded_outer_known_test,86,11,6,10,3
4_nitrophenol,1,2,locked_held_unknown,92,8,1,5,3
4_nitrophenol,1,2,locked_stress,80,37,6,9,3
4_nitrophenol,1,2,train_known,256,37,6,10,4
4_nitrophenol,1,3,calibration_known,86,10,6,10,4
4_nitrophenol,1,3,excluded_outer_known_test,86,11,6,10,3
4_nitrophenol,1,3,locked_held_unknown,92,8,1,5,3
4_nitrophenol,1,3,locked_stress,80,37,6,9,3
4_nitrophenol,1,3,train_known,254,40,6,10,3
4_nitrophenol,1,4,calibration_known,83,14,6,10,3
4_nitrophenol,1,4,excluded_outer_known_test,86,11,6,10,3
4_nitrophenol,1,4,locked_held_unknown,92,8,1,5,3
4_nitrophenol,1,4,locked_stress,80,37,6,9,3
4_nitrophenol,1,4,train_known,257,36,6,10,4
4_nitrophenol,2,0,calibration_known,87,13,6,10,3
4_nitrophenol,2,0,excluded_outer_known_test,84,13,6,10,3
4_nitrophenol,2,0,locked_held_unknown,92,8,1,5,3
4_nitrophenol,2,0,locked_stress,80,37,6,9,3
4_nitrophenol,2,0,train_known,255,35,6,10,4
4_nitrophenol,2,1,calibration_known,86,11,6,10,3
4_nitrophenol,2,1,excluded_outer_known_test,84,13,6,10,3
4_nitrophenol,2,1,locked_held_unknown,92,8,1,5,3
4_nitrophenol,2,1,locked_stress,80,37,6,9,3
4_nitrophenol,2,1,train_known,256,37,6,10,4
4_nitrophenol,2,3,calibration_known,86,10,6,10,4
4_nitrophenol,2,3,excluded_outer_known_test,84,13,6,10,3
4_nitrophenol,2,3,locked_held_unknown,92,8,1,5,3
4_nitrophenol,2,3,locked_stress,80,37,6,9,3
4_nitrophenol,2,3,train_known,256,38,6,10,3
4_nitrophenol,2,4,calibration_known,83,14,6,10,3
4_nitrophenol,2,4,excluded_outer_known_test,84,13,6,10,3
4_nitrophenol,2,4,locked_held_unknown,92,8,1,5,3
4_nitrophenol,2,4,locked_stress,80,37,6,9,3
4_nitrophenol,2,4,train_known,259,34,6,10,4
4_nitrophenol,3,0,calibration_known,87,13,6,10,3
4_nitrophenol,3,0,excluded_outer_known_test,86,10,6,10,4
4_nitrophenol,3,0,locked_held_unknown,92,8,1,5,3
4_nitrophenol,3,0,locked_stress,80,37,6,9,3
4_nitrophenol,3,0,train_known,253,38,6,10,3
4_nitrophenol,3,1,calibration_known,86,11,6,10,3
4_nitrophenol,3,1,excluded_outer_known_test,86,10,6,10,4
4_nitrophenol,3,1,locked_held_unknown,92,8,1,5,3
4_nitrophenol,3,1,locked_stress,80,37,6,9,3
4_nitrophenol,3,1,train_known,254,40,6,10,3
4_nitrophenol,3,2,calibration_known,84,13,6,10,3
4_nitrophenol,3,2,excluded_outer_known_test,86,10,6,10,4
4_nitrophenol,3,2,locked_held_unknown,92,8,1,5,3
4_nitrophenol,3,2,locked_stress,80,37,6,9,3
4_nitrophenol,3,2,train_known,256,38,6,10,3
4_nitrophenol,3,4,calibration_known,83,14,6,10,3
4_nitrophenol,3,4,excluded_outer_known_test,86,10,6,10,4
4_nitrophenol,3,4,locked_held_unknown,92,8,1,5,3
4_nitrophenol,3,4,locked_stress,80,37,6,9,3
4_nitrophenol,3,4,train_known,257,37,6,10,3
4_nitrophenol,4,0,calibration_known,87,13,6,10,3
4_nitrophenol,4,0,excluded_outer_known_test,83,14,6,10,3
4_nitrophenol,4,0,locked_held_unknown,92,8,1,5,3
4_nitrophenol,4,0,locked_stress,80,37,6,9,3
4_nitrophenol,4,0,train_known,256,34,6,10,4
4_nitrophenol,4,1,calibration_known,86,11,6,10,3
4_nitrophenol,4,1,excluded_outer_known_test,83,14,6,10,3
4_nitrophenol,4,1,locked_held_unknown,92,8,1,5,3
4_nitrophenol,4,1,locked_stress,80,37,6,9,3
4_nitrophenol,4,1,train_known,257,36,6,10,4
4_nitrophenol,4,2,calibration_known,84,13,6,10,3
4_nitrophenol,4,2,excluded_outer_known_test,83,14,6,10,3
4_nitrophenol,4,2,locked_held_unknown,92,8,1,5,3
4_nitrophenol,4,2,locked_stress,80,37,6,9,3
4_nitrophenol,4,2,train_known,259,34,6,10,4
4_nitrophenol,4,3,calibration_known,86,10,6,10,4
4_nitrophenol,4,3,excluded_outer_known_test,83,14,6,10,3
4_nitrophenol,4,3,locked_held_unknown,92,8,1,5,3
4_nitrophenol,4,3,locked_stress,80,37,6,9,3
4_nitrophenol,4,3,train_known,257,37,6,10,3
acetaminophen,0,1,calibration_known,91,9,6,9,4
acetaminophen,0,1,excluded_outer_known_test,89,12,6,10,4
acetaminophen,0,1,locked_held_unknown,81,11,1,6,3
acetaminophen,0,1,locked_stress,83,37,6,7,4
acetaminophen,0,1,train_known,254,37,6,10,4
acetaminophen,0,2,calibration_known,81,14,6,10,3
acetaminophen,0,2,excluded_outer_known_test,89,12,6,10,4
acetaminophen,0,2,locked_held_unknown,81,11,1,6,3
acetaminophen,0,2,locked_stress,83,37,6,7,4
acetaminophen,0,2,train_known,264,32,6,10,4
acetaminophen,0,3,calibration_known,88,9,6,10,4
acetaminophen,0,3,excluded_outer_known_test,89,12,6,10,4
acetaminophen,0,3,locked_held_unknown,81,11,1,6,3
acetaminophen,0,3,locked_stress,83,37,6,7,4
acetaminophen,0,3,train_known,257,37,6,10,4
acetaminophen,0,4,calibration_known,85,14,6,10,3
acetaminophen,0,4,excluded_outer_known_test,89,12,6,10,4
acetaminophen,0,4,locked_held_unknown,81,11,1,6,3
acetaminophen,0,4,locked_stress,83,37,6,7,4
acetaminophen,0,4,train_known,260,32,6,10,4
acetaminophen,1,0,calibration_known,89,12,6,10,4
acetaminophen,1,0,excluded_outer_known_test,91,9,6,9,4
acetaminophen,1,0,locked_held_unknown,81,11,1,6,3
acetaminophen,1,0,locked_stress,83,37,6,7,4
acetaminophen,1,0,train_known,254,37,6,10,4
acetaminophen,1,2,calibration_known,81,14,6,10,3
acetaminophen,1,2,excluded_outer_known_test,91,9,6,9,4
acetaminophen,1,2,locked_held_unknown,81,11,1,6,3
acetaminophen,1,2,locked_stress,83,37,6,7,4
acetaminophen,1,2,train_known,262,35,6,10,4
acetaminophen,1,3,calibration_known,88,9,6,10,4
acetaminophen,1,3,excluded_outer_known_test,91,9,6,9,4
acetaminophen,1,3,locked_held_unknown,81,11,1,6,3
acetaminophen,1,3,locked_stress,83,37,6,7,4
acetaminophen,1,3,train_known,255,40,6,10,4
acetaminophen,1,4,calibration_known,85,14,6,10,3
acetaminophen,1,4,excluded_outer_known_test,91,9,6,9,4
acetaminophen,1,4,locked_held_unknown,81,11,1,6,3
acetaminophen,1,4,locked_stress,83,37,6,7,4
acetaminophen,1,4,train_known,258,35,6,10,4
acetaminophen,2,0,calibration_known,89,12,6,10,4
acetaminophen,2,0,excluded_outer_known_test,81,14,6,10,3
acetaminophen,2,0,locked_held_unknown,81,11,1,6,3
acetaminophen,2,0,locked_stress,83,37,6,7,4
acetaminophen,2,0,train_known,264,32,6,10,4
acetaminophen,2,1,calibration_known,91,9,6,9,4
acetaminophen,2,1,excluded_outer_known_test,81,14,6,10,3
acetaminophen,2,1,locked_held_unknown,81,11,1,6,3
acetaminophen,2,1,locked_stress,83,37,6,7,4
acetaminophen,2,1,train_known,262,35,6,10,4
acetaminophen,2,3,calibration_known,88,9,6,10,4
acetaminophen,2,3,excluded_outer_known_test,81,14,6,10,3
acetaminophen,2,3,locked_held_unknown,81,11,1,6,3
acetaminophen,2,3,locked_stress,83,37,6,7,4
acetaminophen,2,3,train_known,265,35,6,10,4
acetaminophen,2,4,calibration_known,85,14,6,10,3
acetaminophen,2,4,excluded_outer_known_test,81,14,6,10,3
acetaminophen,2,4,locked_held_unknown,81,11,1,6,3
acetaminophen,2,4,locked_stress,83,37,6,7,4
acetaminophen,2,4,train_known,268,30,6,10,4
acetaminophen,3,0,calibration_known,89,12,6,10,4
acetaminophen,3,0,excluded_outer_known_test,88,9,6,10,4
acetaminophen,3,0,locked_held_unknown,81,11,1,6,3
acetaminophen,3,0,locked_stress,83,37,6,7,4
acetaminophen,3,0,train_known,257,37,6,10,4
acetaminophen,3,1,calibration_known,91,9,6,9,4
acetaminophen,3,1,excluded_outer_known_test,88,9,6,10,4
acetaminophen,3,1,locked_held_unknown,81,11,1,6,3
acetaminophen,3,1,locked_stress,83,37,6,7,4
acetaminophen,3,1,train_known,255,40,6,10,4
acetaminophen,3,2,calibration_known,81,14,6,10,3
acetaminophen,3,2,excluded_outer_known_test,88,9,6,10,4
acetaminophen,3,2,locked_held_unknown,81,11,1,6,3
acetaminophen,3,2,locked_stress,83,37,6,7,4
acetaminophen,3,2,train_known,265,35,6,10,4
acetaminophen,3,4,calibration_known,85,14,6,10,3
acetaminophen,3,4,excluded_outer_known_test,88,9,6,10,4
acetaminophen,3,4,locked_held_unknown,81,11,1,6,3
acetaminophen,3,4,locked_stress,83,37,6,7,4
acetaminophen,3,4,train_known,261,35,6,10,4
acetaminophen,4,0,calibration_known,89,12,6,10,4
acetaminophen,4,0,excluded_outer_known_test,85,14,6,10,3
acetaminophen,4,0,locked_held_unknown,81,11,1,6,3
acetaminophen,4,0,locked_stress,83,37,6,7,4
acetaminophen,4,0,train_known,260,32,6,10,4
acetaminophen,4,1,calibration_known,91,9,6,9,4
acetaminophen,4,1,excluded_outer_known_test,85,14,6,10,3
acetaminophen,4,1,locked_held_unknown,81,11,1,6,3
acetaminophen,4,1,locked_stress,83,37,6,7,4
acetaminophen,4,1,train_known,258,35,6,10,4
acetaminophen,4,2,calibration_known,81,14,6,10,3
acetaminophen,4,2,excluded_outer_known_test,85,14,6,10,3
acetaminophen,4,2,locked_held_unknown,81,11,1,6,3
acetaminophen,4,2,locked_stress,83,37,6,7,4
acetaminophen,4,2,train_known,268,30,6,10,4
acetaminophen,4,3,calibration_known,88,9,6,10,4
acetaminophen,4,3,excluded_outer_known_test,85,14,6,10,3
acetaminophen,4,3,locked_held_unknown,81,11,1,6,3
acetaminophen,4,3,locked_stress,83,37,6,7,4
acetaminophen,4,3,train_known,261,35,6,10,4
benzyl_fentanyl,0,1,calibration_known,81,9,6,10,4
benzyl_fentanyl,0,1,excluded_outer_known_test,79,11,6,10,4
benzyl_fentanyl,0,1,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,0,1,locked_stress,93,39,6,9,4
benzyl_fentanyl,0,1,train_known,225,34,6,10,4
benzyl_fentanyl,0,2,calibration_known,72,12,6,10,3
benzyl_fentanyl,0,2,excluded_outer_known_test,79,11,6,10,4
benzyl_fentanyl,0,2,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,0,2,locked_stress,93,39,6,9,4
benzyl_fentanyl,0,2,train_known,234,31,6,10,4
benzyl_fentanyl,0,3,calibration_known,79,10,6,10,4
benzyl_fentanyl,0,3,excluded_outer_known_test,79,11,6,10,4
benzyl_fentanyl,0,3,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,0,3,locked_stress,93,39,6,9,4
benzyl_fentanyl,0,3,train_known,227,33,6,10,4
benzyl_fentanyl,0,4,calibration_known,74,12,6,10,3
benzyl_fentanyl,0,4,excluded_outer_known_test,79,11,6,10,4
benzyl_fentanyl,0,4,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,0,4,locked_stress,93,39,6,9,4
benzyl_fentanyl,0,4,train_known,232,31,6,10,4
benzyl_fentanyl,1,0,calibration_known,79,11,6,10,4
benzyl_fentanyl,1,0,excluded_outer_known_test,81,9,6,10,4
benzyl_fentanyl,1,0,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,1,0,locked_stress,93,39,6,9,4
benzyl_fentanyl,1,0,train_known,225,34,6,10,4
benzyl_fentanyl,1,2,calibration_known,72,12,6,10,3
benzyl_fentanyl,1,2,excluded_outer_known_test,81,9,6,10,4
benzyl_fentanyl,1,2,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,1,2,locked_stress,93,39,6,9,4
benzyl_fentanyl,1,2,train_known,232,33,6,10,4
benzyl_fentanyl,1,3,calibration_known,79,10,6,10,4
benzyl_fentanyl,1,3,excluded_outer_known_test,81,9,6,10,4
benzyl_fentanyl,1,3,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,1,3,locked_stress,93,39,6,9,4
benzyl_fentanyl,1,3,train_known,225,35,6,10,4
benzyl_fentanyl,1,4,calibration_known,74,12,6,10,3
benzyl_fentanyl,1,4,excluded_outer_known_test,81,9,6,10,4
benzyl_fentanyl,1,4,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,1,4,locked_stress,93,39,6,9,4
benzyl_fentanyl,1,4,train_known,230,33,6,10,4
benzyl_fentanyl,2,0,calibration_known,79,11,6,10,4
benzyl_fentanyl,2,0,excluded_outer_known_test,72,12,6,10,3
benzyl_fentanyl,2,0,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,2,0,locked_stress,93,39,6,9,4
benzyl_fentanyl,2,0,train_known,234,31,6,10,4
benzyl_fentanyl,2,1,calibration_known,81,9,6,10,4
benzyl_fentanyl,2,1,excluded_outer_known_test,72,12,6,10,3
benzyl_fentanyl,2,1,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,2,1,locked_stress,93,39,6,9,4
benzyl_fentanyl,2,1,train_known,232,33,6,10,4
benzyl_fentanyl,2,3,calibration_known,79,10,6,10,4
benzyl_fentanyl,2,3,excluded_outer_known_test,72,12,6,10,3
benzyl_fentanyl,2,3,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,2,3,locked_stress,93,39,6,9,4
benzyl_fentanyl,2,3,train_known,234,32,6,10,4
benzyl_fentanyl,2,4,calibration_known,74,12,6,10,3
benzyl_fentanyl,2,4,excluded_outer_known_test,72,12,6,10,3
benzyl_fentanyl,2,4,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,2,4,locked_stress,93,39,6,9,4
benzyl_fentanyl,2,4,train_known,239,30,6,10,4
benzyl_fentanyl,3,0,calibration_known,79,11,6,10,4
benzyl_fentanyl,3,0,excluded_outer_known_test,79,10,6,10,4
benzyl_fentanyl,3,0,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,3,0,locked_stress,93,39,6,9,4
benzyl_fentanyl,3,0,train_known,227,33,6,10,4
benzyl_fentanyl,3,1,calibration_known,81,9,6,10,4
benzyl_fentanyl,3,1,excluded_outer_known_test,79,10,6,10,4
benzyl_fentanyl,3,1,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,3,1,locked_stress,93,39,6,9,4
benzyl_fentanyl,3,1,train_known,225,35,6,10,4
benzyl_fentanyl,3,2,calibration_known,72,12,6,10,3
benzyl_fentanyl,3,2,excluded_outer_known_test,79,10,6,10,4
benzyl_fentanyl,3,2,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,3,2,locked_stress,93,39,6,9,4
benzyl_fentanyl,3,2,train_known,234,32,6,10,4
benzyl_fentanyl,3,4,calibration_known,74,12,6,10,3
benzyl_fentanyl,3,4,excluded_outer_known_test,79,10,6,10,4
benzyl_fentanyl,3,4,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,3,4,locked_stress,93,39,6,9,4
benzyl_fentanyl,3,4,train_known,232,32,6,10,4
benzyl_fentanyl,4,0,calibration_known,79,11,6,10,4
benzyl_fentanyl,4,0,excluded_outer_known_test,74,12,6,10,3
benzyl_fentanyl,4,0,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,4,0,locked_stress,93,39,6,9,4
benzyl_fentanyl,4,0,train_known,232,31,6,10,4
benzyl_fentanyl,4,1,calibration_known,81,9,6,10,4
benzyl_fentanyl,4,1,excluded_outer_known_test,74,12,6,10,3
benzyl_fentanyl,4,1,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,4,1,locked_stress,93,39,6,9,4
benzyl_fentanyl,4,1,train_known,230,33,6,10,4
benzyl_fentanyl,4,2,calibration_known,72,12,6,10,3
benzyl_fentanyl,4,2,excluded_outer_known_test,74,12,6,10,3
benzyl_fentanyl,4,2,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,4,2,locked_stress,93,39,6,9,4
benzyl_fentanyl,4,2,train_known,239,30,6,10,4
benzyl_fentanyl,4,3,calibration_known,79,10,6,10,4
benzyl_fentanyl,4,3,excluded_outer_known_test,74,12,6,10,3
benzyl_fentanyl,4,3,locked_held_unknown,120,15,1,9,3
benzyl_fentanyl,4,3,locked_stress,93,39,6,9,4
benzyl_fentanyl,4,3,train_known,232,32,6,10,4
ethanol,0,1,calibration_known,95,11,6,10,4
ethanol,0,1,excluded_outer_known_test,95,12,6,10,4
ethanol,0,1,locked_held_unknown,62,9,1,5,2
ethanol,0,1,locked_stress,75,34,6,7,4
ethanol,0,1,train_known,271,37,6,10,4
ethanol,0,2,calibration_known,89,12,6,10,3
ethanol,0,2,excluded_outer_known_test,95,12,6,10,4
ethanol,0,2,locked_held_unknown,62,9,1,5,2
ethanol,0,2,locked_stress,75,34,6,7,4
ethanol,0,2,train_known,277,36,6,10,4
ethanol,0,3,calibration_known,92,11,6,10,4
ethanol,0,3,excluded_outer_known_test,95,12,6,10,4
ethanol,0,3,locked_held_unknown,62,9,1,5,2
ethanol,0,3,locked_stress,75,34,6,7,4
ethanol,0,3,train_known,274,37,6,10,4
ethanol,0,4,calibration_known,90,14,6,10,3
ethanol,0,4,excluded_outer_known_test,95,12,6,10,4
ethanol,0,4,locked_held_unknown,62,9,1,5,2
ethanol,0,4,locked_stress,75,34,6,7,4
ethanol,0,4,train_known,276,34,6,10,4
ethanol,1,0,calibration_known,95,12,6,10,4
ethanol,1,0,excluded_outer_known_test,95,11,6,10,4
ethanol,1,0,locked_held_unknown,62,9,1,5,2
ethanol,1,0,locked_stress,75,34,6,7,4
ethanol,1,0,train_known,271,37,6,10,4
ethanol,1,2,calibration_known,89,12,6,10,3
ethanol,1,2,excluded_outer_known_test,95,11,6,10,4
ethanol,1,2,locked_held_unknown,62,9,1,5,2
ethanol,1,2,locked_stress,75,34,6,7,4
ethanol,1,2,train_known,277,37,6,10,4
ethanol,1,3,calibration_known,92,11,6,10,4
ethanol,1,3,excluded_outer_known_test,95,11,6,10,4
ethanol,1,3,locked_held_unknown,62,9,1,5,2
ethanol,1,3,locked_stress,75,34,6,7,4
ethanol,1,3,train_known,274,38,6,10,4
ethanol,1,4,calibration_known,90,14,6,10,3
ethanol,1,4,excluded_outer_known_test,95,11,6,10,4
ethanol,1,4,locked_held_unknown,62,9,1,5,2
ethanol,1,4,locked_stress,75,34,6,7,4
ethanol,1,4,train_known,276,35,6,10,4
ethanol,2,0,calibration_known,95,12,6,10,4
ethanol,2,0,excluded_outer_known_test,89,12,6,10,3
ethanol,2,0,locked_held_unknown,62,9,1,5,2
ethanol,2,0,locked_stress,75,34,6,7,4
ethanol,2,0,train_known,277,36,6,10,4
ethanol,2,1,calibration_known,95,11,6,10,4
ethanol,2,1,excluded_outer_known_test,89,12,6,10,3
ethanol,2,1,locked_held_unknown,62,9,1,5,2
ethanol,2,1,locked_stress,75,34,6,7,4
ethanol,2,1,train_known,277,37,6,10,4
ethanol,2,3,calibration_known,92,11,6,10,4
ethanol,2,3,excluded_outer_known_test,89,12,6,10,3
ethanol,2,3,locked_held_unknown,62,9,1,5,2
ethanol,2,3,locked_stress,75,34,6,7,4
ethanol,2,3,train_known,280,37,6,10,4
ethanol,2,4,calibration_known,90,14,6,10,3
ethanol,2,4,excluded_outer_known_test,89,12,6,10,3
ethanol,2,4,locked_held_unknown,62,9,1,5,2
ethanol,2,4,locked_stress,75,34,6,7,4
ethanol,2,4,train_known,282,34,6,10,4
ethanol,3,0,calibration_known,95,12,6,10,4
ethanol,3,0,excluded_outer_known_test,92,11,6,10,4
ethanol,3,0,locked_held_unknown,62,9,1,5,2
ethanol,3,0,locked_stress,75,34,6,7,4
ethanol,3,0,train_known,274,37,6,10,4
ethanol,3,1,calibration_known,95,11,6,10,4
ethanol,3,1,excluded_outer_known_test,92,11,6,10,4
ethanol,3,1,locked_held_unknown,62,9,1,5,2
ethanol,3,1,locked_stress,75,34,6,7,4
ethanol,3,1,train_known,274,38,6,10,4
ethanol,3,2,calibration_known,89,12,6,10,3
ethanol,3,2,excluded_outer_known_test,92,11,6,10,4
ethanol,3,2,locked_held_unknown,62,9,1,5,2
ethanol,3,2,locked_stress,75,34,6,7,4
ethanol,3,2,train_known,280,37,6,10,4
ethanol,3,4,calibration_known,90,14,6,10,3
ethanol,3,4,excluded_outer_known_test,92,11,6,10,4
