held_unknown,outer_fold,inner_fold,surrogate_unknown,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,1,0,4_nitrophenol,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,4_nitrophenol,excluded_surrogate_training,40,6,1,5,3
4_ANPP,1,0,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,1,0,4_nitrophenol,train_known,193,30,5,10,4
4_ANPP,1,0,4_nitrophenol,validation_known,67,11,5,10,3
4_ANPP,1,0,4_nitrophenol,validation_surrogate_unknown,16,1,1,4,3
4_ANPP,1,0,acetaminophen,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,acetaminophen,excluded_surrogate_training,39,6,1,6,2
4_ANPP,1,0,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,1,0,acetaminophen,train_known,194,30,5,10,4
4_ANPP,1,0,acetaminophen,validation_known,69,10,5,10,4
4_ANPP,1,0,acetaminophen,validation_surrogate_unknown,14,2,1,5,1
4_ANPP,1,0,benzyl_fentanyl,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,benzyl_fentanyl,excluded_surrogate_training,68,9,1,9,3
4_ANPP,1,0,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,1,0,benzyl_fentanyl,train_known,165,27,5,10,4
4_ANPP,1,0,benzyl_fentanyl,validation_known,59,9,5,10,4
4_ANPP,1,0,benzyl_fentanyl,validation_surrogate_unknown,24,3,1,8,2
4_ANPP,1,0,ethanol,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,ethanol,excluded_surrogate_training,22,6,1,3,2
4_ANPP,1,0,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,ethanol,locked_stress,94,40,6,9,4
4_ANPP,1,0,ethanol,train_known,211,30,5,10,4
4_ANPP,1,0,ethanol,validation_known,75,10,5,10,4
4_ANPP,1,0,ethanol,validation_surrogate_unknown,8,2,1,4,2
4_ANPP,1,0,ethyl_paraoxon,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,1,0,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,1,0,ethyl_paraoxon,train_known,211,32,5,10,4
4_ANPP,1,0,ethyl_paraoxon,validation_known,80,10,5,10,4
