candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
24,minimal_minmax__random_forest__5868a78bb4,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1375998374,355,124,41,16,pass,,124,124,0,0.6775420694593627,0.6762360246146683,0.7016129032258065,0.9096625379059324,0.41204982078862235,0.1741935483875617
25,minimal_minmax__random_forest__be46512902,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1573356569,355,124,41,16,pass,,124,124,0,0.6756342550515483,0.6782485058800847,0.6935483870967742,0.9434480145208884,0.4205612903226667,0.14096774193596873
26,minimal_minmax__random_forest__c12c070c12,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,892398336,355,124,41,16,pass,,124,124,0,0.6825786994959927,0.677822625592804,0.7016129032258065,0.9190277078022796,0.4154892716628787,0.14307977818618486
27,minimal_minmax__random_forest__d66d6f3f62,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,1168160764,355,124,41,16,pass,,124,124,0,0.678392409595417,0.6744048550462212,0.7016129032258065,0.9378820986384914,0.42150538635529594,0.1578610679426388
28,minimal_minmax__random_forest__7d1eec8702,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,934952144,355,124,41,16,pass,,124,124,0,0.6893814205844281,0.6833292226915273,0.7096774193548387,0.941975112325197,0.4278879768278579,0.1816585859284658
29,minimal_minmax__random_forest__262ae29fb1,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,270542158,355,124,41,16,pass,,124,124,0,0.6676323363353438,0.6622572255446801,0.6854838709677419,0.951531386176741,0.4273365122571449,0.14947687526140466
30,minimal_minmax__random_forest__1b62c926f1,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,114728167,355,124,41,16,pass,,124,124,0,0.6835053522083597,0.6833740755455027,0.7016129032258065,0.9042583264092258,0.41041456898785095,0.13805693161526864
31,minimal_minmax__random_forest__f5b750ad51,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,809922785,355,124,41,16,pass,,124,124,0,0.6625193937224013,0.664910215484243,0.6854838709677419,0.9201208841060945,0.4208799475686509,0.12901675252446143
32,minimal_minmax__random_forest__03e2055c66,minimal_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,1867647192,355,124,41,16,pass,,124,124,0,0.678392409595417,0.6737343507845344,0.7016129032258065,0.9089768794191293,0.41170282237421224,0.1470340293438996
33,minimal_minmax__random_forest__ce99612d47,minimal_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,633268543,355,124,41,16,pass,,124,124,0,0.6856312025484959,0.6839322067178293,0.7016129032258065,0.9344470351769288,0.4207460983088737,0.15466546408274753
