evaluation_subset,domain_protocol,domain_type,heldout_domain,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row308,0.008077508731263358,0.004038754365631679,0.09327048752973499,0.9261672318581566,0.0070839059818172245,17,4,0,0,2.0,0.5718674154500525,0.21560573857277632
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row309,0.001191055208282905,0.0005955276041414525,0.06106054835415835,0.9734696678714542,0.003059197656444407,12,8,0,0,1.0,0.2107341115253197,0.03767963935388252
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row314,0.005493493556855402,0.002746746778427701,0.09329894968310636,0.9224593515607475,0.005901510683470406,11,6,0,0,1.5,0.13835062482310023,0.06049973296467215
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row336,0.006037946877472501,0.0030189734387362503,0.08526036911879424,0.9393767831705061,0.004986984407961635,12,2,0,0,0.5,0.32936825000603925,0.14521280420012772
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row337,0.0062754337058851225,0.0031377168529425612,0.08557360893814969,0.9385757482772751,0.004682578332722187,11,3,0,0,1.0,0.474161450061494,0.09641699492931366
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row338,0.00924700168616877,0.004623500843084385,0.09710806769787947,0.9165448593126958,0.005566605325522167,11,3,0,0,1.0,0.48066854728679476,0.071725869551301
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row339,0.009031371846070611,0.0045156859230353055,0.09037855633621673,0.9253027086981412,0.006233047282190195,12,7,0,0,4.0,0.29869432827470427,0.06949360016733408
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row341,0.008168536379447736,0.004084268189723868,0.09755676019912791,0.9215684713892596,0.005369190100544594,13,2,0,0,2.0,0.369948557186169,0.1725325196457561
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row343,0.005795075496635942,0.002897537748317971,0.07786673431657838,0.9530183434816777,0.004655977120523208,10,2,0,0,4.0,0.6199160149474744,0.4270213544368744
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row12,0.01777609114372168,0.00888804557186084,0.23312621226412603,0.5381279108969272,0.010234102136455476,24,6,0,0,2.0,0.620633033567112,0.10512483608908951
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row15,0.005529829173268483,0.0027649145866342414,0.17727593660801005,0.7811306085875505,0.006702535664984939,16,5,0,0,2.0,0.19500818039822895,0.09164425276685506
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row18,0.00973835934241663,0.004869179671208315,0.15800961744674888,0.7507332247179246,0.007865897549698795,21,9,0,0,2.0,0.4629665263102061,0.10393890645354986
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row19,0.0029501401092261615,0.0014750700546130808,0.11059759910043165,0.9103216336384599,0.007248011455937688,20,5,0,0,3.0,0.2562448784207195,0.09424743289127946
strict_core,domain_and_sample,instrument,Agilent-3,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,domain__strict_core__domain_and_sample__instrument__Agilent-3,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,111,73,session1_row20,0.026112444744985072,0.013056222372492536,0.17663432880483093,0.3604326957367147,0.03313254005674805,108,26,0,0,3.0,1.4106461220022164,0.0811869166791439
