experiment_id,epoch,run_count,training_balanced_accuracy_mean,training_balanced_accuracy_q25,training_balanced_accuracy_q75,validation_balanced_accuracy_mean,validation_balanced_accuracy_q25,validation_balanced_accuracy_q75,fits,selected_epoch_median,selected_epoch_q25,selected_epoch_q75,selected_epoch_minimum,selected_epoch_maximum,figure_id,scope,research_question_id,population_id,population_spectra,population_physical_masters,preprocessing_policy_id,representation_id,information_regime
EXP-N00-DEV,32,467,0.929725872202,0.887558869702,0.98118826478,0.745384094127,0.687481962482,0.825799486461,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,33,460,0.931487018292,0.889304171281,0.981661184211,0.749328679543,0.688578088578,0.826040857291,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,34,450,0.934428090189,0.894672506809,0.98158792121,0.754115455077,0.694736227824,0.833333333333,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,35,437,0.93724014886,0.900793650794,0.982491582492,0.751437268127,0.689144316731,0.82788671024,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,36,425,0.940221752414,0.905498756563,0.983739837398,0.755771354984,0.702741702742,0.835016835017,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,37,418,0.942257191041,0.910417230845,0.985080113963,0.759046864112,0.7,0.838554885237,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,38,403,0.944877003831,0.915509158278,0.987529137529,0.761673778685,0.715085999569,0.833122895623,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,39,397,0.945831809142,0.919450335808,0.987878787879,0.76502731369,0.711755233494,0.841379310345,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,40,387,0.948088629008,0.91940121849,0.987179487179,0.770497404672,0.720261108623,0.84302868502,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,41,376,0.950583810531,0.928492715513,0.989247311828,0.770860591683,0.719305120167,0.84016955267,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,42,366,0.9523327129,0.924338624339,0.990476190476,0.771147569722,0.71773872679,0.839040616246,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,43,356,0.952919125054,0.928879310345,0.988888888889,0.771613773803,0.724233405483,0.84126984127,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,44,348,0.954833324934,0.92926302826,0.989662247475,0.768329377237,0.721469622332,0.833653846154,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,45,334,0.956561745927,0.937664037646,0.990862290862,0.772484542385,0.723918456271,0.841014541015,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,46,331,0.958935069959,0.941141680687,0.991109530583,0.772925903912,0.727017427017,0.839389338731,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,47,325,0.96049758391,0.941869918699,0.991228070175,0.77464233287,0.728205128205,0.841025641026,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,48,317,0.96237817085,0.948585231194,0.991228070175,0.77858957871,0.728174603175,0.844696969697,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,49,306,0.962253282424,0.946103930164,0.992753623188,0.776675576542,0.72555631503,0.847023809524,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,50,294,0.963702357919,0.95248015873,0.992063492063,0.775514347824,0.729808386058,0.84356962482,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,51,281,0.965654678733,0.950965001385,0.992424242424,0.77676809366,0.734920634921,0.842857142857,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,52,271,0.965985849544,0.95339131466,0.992248062016,0.779712939164,0.739342702386,0.850925925926,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,53,266,0.96918918394,0.958500474465,0.993018617021,0.785621938071,0.741286012838,0.857341531255,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,54,249,0.971051945029,0.961161769672,0.992424242424,0.785794365274,0.742351046699,0.854406130268,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,55,235,0.971410941911,0.959697013448,0.992830712303,0.783841211769,0.746376811594,0.845557220557,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,56,221,0.972610114334,0.964285714286,0.992907801418,0.786973404781,0.755952380952,0.846801346801,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,57,213,0.971585034888,0.961904761905,0.992907801418,0.78482307505,0.752081252081,0.844696969697,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,58,201,0.97267137466,0.962962962963,0.993055555556,0.785637108941,0.754761904762,0.842911877395,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,59,193,0.973794654877,0.963942307692,0.993333333333,0.787365832776,0.750360750361,0.854761904762,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,60,185,0.974570243779,0.963888888889,0.993333333333,0.790843587249,0.755555555556,0.847619047619,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,61,180,0.976711942576,0.969278866968,0.995192307692,0.790403620362,0.759313603064,0.846445221445,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,62,174,0.976102203412,0.96786544197,0.993226950355,0.792762615179,0.749188311688,0.844554093567,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,63,166,0.975122582323,0.966418650794,0.992907801418,0.791814303523,0.751623376623,0.841750841751,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,64,160,0.976443495163,0.966666666667,0.993333333333,0.790793183134,0.753475444817,0.841418571682,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,65,154,0.975467672296,0.96880767811,0.993018617021,0.79540361437,0.761710511711,0.853792735043,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,66,146,0.97615323736,0.969495815731,0.992248062016,0.799941996702,0.776587301587,0.85,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,67,139,0.979649465271,0.976089187802,0.992588932806,0.799176516179,0.768342768343,0.855198267505,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,68,127,0.980206129819,0.974248321123,0.996666666667,0.797591514745,0.763535076035,0.853941745389,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,69,123,0.97883259574,0.973391241139,0.993194444444,0.794611501354,0.765697265697,0.854103821016,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,70,120,0.979144904283,0.975014515979,0.995,0.793079413027,0.774431818182,0.842214729715,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,71,115,0.982608385006,0.976375046142,1,0.797007731686,0.775496031746,0.844344252239,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,72,114,0.980910651422,0.972186695624,1,0.80020069517,0.772474053724,0.856944700037,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,73,108,0.98130626766,0.976600985222,0.995,0.797448172879,0.761882817475,0.855608974359,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,74,105,0.981753726061,0.97619047619,1,0.802373886032,0.772727272727,0.855555555556,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,75,98,0.983866527485,0.976293103448,0.992897727273,0.805933070323,0.777331002331,0.844554093567,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,76,93,0.983944862717,0.97757073844,0.993333333333,0.807175829166,0.786075036075,0.853535353535,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,77,89,0.982445595612,0.97619047619,1,0.803110439885,0.785714285714,0.846681096681,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,78,82,0.983137156872,0.97619047619,1,0.804657900595,0.773455710956,0.845085470085,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,79,80,0.98287582824,0.978214859145,1,0.802616438723,0.775595238095,0.843001443001,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,80,77,0.984318637188,0.979166666667,1,0.809537601824,0.78615136876,0.858974358974,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,81,74,0.98419467215,0.976944172024,1,0.804225408904,0.776316738817,0.856858054226,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,82,70,0.986448238718,0.977195771299,1,0.805581841641,0.779901579902,0.851734738691,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,83,63,0.984462335651,0.974893162393,1,0.804505438353,0.778745559996,0.850432900433,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,84,59,0.985506274605,0.976668150887,1,0.809650225163,0.78288008288,0.848593073593,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,85,57,0.985454872832,0.981117230527,1,0.807170962224,0.784382284382,0.84269005848,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,86,52,0.984435190782,0.976806239737,1,0.800421035757,0.776569264069,0.838723776224,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,87,48,0.989313731487,0.983638211382,1,0.808278608748,0.775595238095,0.858542188805,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,88,46,0.986681311022,0.982687676741,1,0.809155685796,0.781926406926,0.859108946609,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,89,43,0.987809636259,0.984791751458,1,0.803150835637,0.767003829504,0.848334535835,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,90,40,0.987034370889,0.979472140762,1,0.809524544633,0.778057359307,0.846696127946,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,91,36,0.985524772453,0.976806239737,1,0.810869505168,0.775296925297,0.852945213,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,92,36,0.986374959139,0.980858774962,1,0.811415911075,0.776506826507,0.85773582507,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,93,29,0.988107275374,0.984126984127,1,0.808278246058,0.771428571429,0.872053872054,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,94,26,0.985897073599,0.98125,1,0.804836005298,0.749861973775,0.857834526585,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,95,25,0.989343194982,0.984126984127,1,0.812093163638,0.771428571429,0.867521367521,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,96,23,0.989198937576,0.982580645161,1,0.820407803136,0.787306453611,0.863895363895,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,97,22,0.988188593412,0.979150275374,1,0.817332145372,0.780573593074,0.862118437118,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,98,19,0.986665318139,0.98222528193,1,0.812115017523,0.778425278425,0.857816257816,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,99,16,0.990266038262,0.982779307632,1,0.815491370043,0.795344470344,0.857359307359,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,100,15,0.988366352201,0.98023558567,1,0.814292513713,0.780677655678,0.844961519962,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,101,14,0.988562699796,0.977801709744,1,0.807351847026,0.77704948031,0.84503968254,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,102,12,0.989835379383,0.982779307632,1,0.812503237503,0.770977633478,0.863034188034,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,103,12,0.989654534705,0.982779307632,1,0.815494998828,0.786931818182,0.850718725719,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,104,9,0.986390377558,0.981117230527,0.992063492063,0.80981980982,0.78749028749,0.859235209235,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,105,9,0.984715430253,0.972987149226,0.992063492063,0.824831444276,0.78749028749,0.875108225108,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,106,7,0.990862552207,0.983891948597,1,0.832210910782,0.810411810412,0.860870610871,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,107,7,0.98938047437,0.982718894009,0.996124031008,0.829829958401,0.810411810412,0.853852628853,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,108,6,0.986287802109,0.978174603175,0.991497874469,0.816409824743,0.767608780109,0.858225108225,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,109,6,0.983809043143,0.971783372672,0.998062015504,0.792384775718,0.782672882673,0.854437229437,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,110,5,0.990965741435,0.986666666667,1,0.824625374625,0.805128205128,0.844805194805,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,111,4,0.991935483871,0.986559139785,1,0.805627243127,0.78073038073,0.81679015429,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,112,4,0.991935483871,0.986559139785,1,0.808915621416,0.791414141414,0.829596792097,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,113,4,0.988602150538,0.977849462366,1,0.815121915122,0.799974099974,0.8223998224,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,114,4,0.994623655914,0.989247311828,1,0.82532005032,0.814523439523,0.838444888445,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,115,4,0.990779541386,0.987214791503,0.994565217391,0.820714008214,0.804422429422,0.82827034077,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,116,4,0.994623655914,0.989247311828,1,0.819053169053,0.803545066045,0.82591991342,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
