x1,x2,label,substrate
0.44193438,-0.10317411,pyridine,AgNP
0.35100967,-0.010877702,pyridine,AgNP
0.6479573,-0.16578601,pyridine,AuNP
0.6016213,-0.08802395,pyridine,AuNP
0.5400637,-0.19234243,pyridine,AuNP
0.6061745,-0.080695264,pyridine,AuNP
0.5893241,-0.07422227,pyridine,AuNP
0.5872276,-0.05166889,pyridine,AuNP
0.37168404,-0.27390638,pyridine,AuNP
0.6093503,-0.09611128,pyridine,AuNP
0.6218918,-0.13282545,pyridine,AuNP
0.515866,-0.050096676,pyridine,AuNP
0.5821364,-0.065733545,pyridine,AuNP
0.63801485,-0.14981018,pyridine,AuNP
0.60738325,-0.08249778,pyridine,AuNP
0.560098,-0.01329453,pyridine,AuNP
0.57055134,-0.03659721,pyridine,AuNP
0.58738434,-0.054663405,pyridine,AuNP
0.63036287,-0.12744859,pyridine,AuNP
0.62807554,-0.1308247,pyridine,AuNP
0.63726234,-0.14375354,pyridine,AuNP
0.62918115,-0.12530091,pyridine,AuNP
0.5977572,-0.08210874,pyridine,AuNP
0.62451786,-0.12200992,pyridine,AuNP
0.61267227,-0.09897334,pyridine,AuNP
0.64543915,-0.16722761,pyridine,AuNP
0.5995853,-0.08475605,pyridine,AuNP
-0.29091576,0.2868546,benzenethiol,Ag
-0.30423057,0.2853943,benzenethiol,Ag
-0.3276998,0.25398394,benzenethiol,Ag
-0.17207462,0.43184468,benzenethiol,Ag
-0.22277056,0.38615382,benzenethiol,Ag
-0.2284348,0.38315088,benzenethiol,Ag
-0.1911144,0.4151496,benzenethiol,Ag
-0.24639511,0.36135608,benzenethiol,Ag
-0.23813829,0.37130058,benzenethiol,Ag
-0.27305377,0.33534348,benzenethiol,Ag
-0.29995993,0.29654956,benzenethiol,Ag
-0.13234636,0.46391618,benzenethiol,Ag
-0.24907647,0.32615915,benzenethiol,Ag
-0.20386787,0.3815621,benzenethiol,Ag
-0.15465921,0.44868717,benzenethiol,Ag
-0.28107738,0.30886206,benzenethiol,Ag
-0.21947564,0.37000406,benzenethiol,Ag
-0.17672808,0.41495895,benzenethiol,Ag
-0.20466106,0.40672603,benzenethiol,Ag
-0.29256943,0.3102507,benzenethiol,Ag
-0.20971563,0.40707934,benzenethiol,Ag
-0.23379537,0.37893295,benzenethiol,Ag
-0.3044822,0.2962493,benzenethiol,Ag
-0.2362578,0.37578568,benzenethiol,Ag
-0.14451554,0.45431733,benzenethiol,Ag
-0.2806538,0.30559406,benzenethiol,Au
-0.2870986,0.29286656,benzenethiol,Au
-0.24854088,0.33108893,benzenethiol,Au
-0.2633521,0.33141622,benzenethiol,Au
-0.39343268,-0.06846388,benzenethiol,Au
-0.28091353,0.31136048,benzenethiol,Au
-0.34772527,0.19938369,benzenethiol,Au
-0.2689563,0.31958526,benzenethiol,Au
-0.31713644,0.2533038,benzenethiol,Au
-0.3273467,0.21800724,benzenethiol,Au
-0.28169262,0.30280736,benzenethiol,Au
-0.2924448,0.2594931,benzenethiol,Au
-0.27497926,0.30458444,benzenethiol,Au
-0.30547857,0.27425957,benzenethiol,Au
-0.26790115,0.2703249,benzenethiol,Au
-0.32126576,0.22175467,benzenethiol,Au
-0.34389928,0.24197237,benzenethiol,Au
-0.31647474,0.26019225,benzenethiol,Au
-0.26632392,0.3368839,benzenethiol,Au
-0.27462146,0.30844456,benzenethiol,Au
-0.28338423,0.30447465,benzenethiol,Au
-0.32755843,0.24581802,benzenethiol,Au
-0.24541196,0.34958827,benzenethiol,Au
-0.29038516,0.2882373,benzenethiol,Au
-0.2763405,0.2160149,benzenethiol,Au
