role_label,recipe_id,seed_index,epoch,chemical_ce,gradient_norm_mean
pills_dense,D1,1,8,0.8816076815128326,3.09951948393804
pills_dense,D1,2,1,1.0746818780899048,3.5048302184417293
pills_dense,D1,2,2,1.0334807336330414,3.0315822271761483
pills_dense,D1,2,3,0.9948658049106598,3.406807308030457
pills_dense,D1,2,4,0.9454253017902374,3.0260399436514476
pills_dense,D1,2,5,0.8443503081798553,2.909167040671621
pills_dense,D1,2,6,0.7952443659305573,3.6260833134463253
pills_dense,D1,2,7,0.7534972131252289,3.554966595845401
pills_dense,D1,2,8,0.7740304917097092,3.9201481233574214
pills_dense,D2,1,1,1.0973517298698425,1.0291703010766378
pills_dense,D2,1,2,1.0395639836788177,0.9827722276165916
pills_dense,D2,1,3,0.954918846487999,1.3001952377225985
pills_dense,D2,1,4,0.8773286640644073,1.758224876651245
pills_dense,D2,1,5,0.7326546460390091,2.1508772639945857
pills_dense,D2,1,6,0.6861000657081604,2.5195989432166517
pills_dense,D2,1,7,0.5868168100714684,2.4031707736696424
pills_dense,D2,1,8,0.4493982791900635,2.3056809722140623
pills_dense,D2,2,1,1.072840541601181,1.2273744541719844
pills_dense,D2,2,2,0.9902157336473465,1.3777483954477445
pills_dense,D2,2,3,0.8840670585632324,1.7655985974811128
pills_dense,D2,2,4,0.7687632441520691,1.7711684868005269
pills_dense,D2,2,5,0.6011794209480286,1.9871364938504144
pills_dense,D2,2,6,0.6003050804138184,2.9178664052431538
pills_dense,D2,2,7,0.5266269370913506,2.92685270423092
pills_dense,D2,2,8,0.5931017696857452,3.5868713187464345
pills_dense,D3,1,1,1.109069675207138,3.402308857359122
pills_dense,D3,1,2,1.0772877633571625,2.6806922314569985
pills_dense,D3,1,3,1.0577448308467865,2.4977591594274147
pills_dense,D3,1,4,1.0428083539009094,3.7301915220932154
pills_dense,D3,1,5,1.0153451561927795,2.5231973721495704
pills_dense,D3,1,6,0.9806073307991028,2.6319870870638984
pills_dense,D3,1,7,0.9532867670059204,2.774133039788256
pills_dense,D3,1,8,0.900295302271843,2.951055853643768
pills_dense,D3,2,1,1.0776720941066742,3.6692318960858423
pills_dense,D3,2,2,1.045742779970169,3.437713332717975
pills_dense,D3,2,3,1.0078724026679993,3.875230687569915
pills_dense,D3,2,4,0.9680135548114777,3.0784700726091487
pills_dense,D3,2,5,0.8621735870838165,2.827154963185046
pills_dense,D3,2,6,0.8180148005485535,3.6197551406137056
pills_dense,D3,2,7,0.7604513168334961,3.6815188354977404
pills_dense,D3,2,8,0.7784312069416046,3.6853296001596303
surfaces_dense,D0-M,1,1,1.0663981437683105,0.7700451922506265
surfaces_dense,D0-M,1,2,0.9847576022148132,1.0861975659179537
surfaces_dense,D0-M,1,3,0.9333522319793701,1.4187838047057824
surfaces_dense,D0-M,1,4,0.8614711165428162,1.7139880354465125
surfaces_dense,D0-M,1,5,0.7414669245481491,2.2214476579828424
surfaces_dense,D0-M,1,6,0.6631482988595963,3.2459750963667773
surfaces_dense,D0-M,1,7,0.5836806446313858,2.7765713906886895
surfaces_dense,D0-M,1,8,0.5621511787176132,3.123597818311811
surfaces_dense,D0-M,2,1,1.0632773637771606,0.8039430775011376
surfaces_dense,D0-M,2,2,0.9946608543395996,1.109327907299675
surfaces_dense,D0-M,2,3,0.8763774335384369,1.4655822589982614
surfaces_dense,D0-M,2,4,0.7538996785879135,1.9669284241036613
surfaces_dense,D0-M,2,5,0.7192674875259399,2.262791057494927
surfaces_dense,D0-M,2,6,0.5763565748929977,2.7427696226186695
surfaces_dense,D0-M,2,7,0.6914501786231995,4.653718365347787
surfaces_dense,D0-M,2,8,0.5372604727745056,2.581438852911405
surfaces_dense,D1,1,1,1.0945394337177277,2.929157955671243
surfaces_dense,D1,1,2,1.0825395286083221,2.2624452954619945
surfaces_dense,D1,1,3,1.0735869109630585,2.049182782579772
surfaces_dense,D1,1,4,1.0617660880088806,1.9171658491901937
surfaces_dense,D1,1,5,1.0350788831710815,1.961502646864604
surfaces_dense,D1,1,6,1.0081778764724731,2.572271692998552
surfaces_dense,D1,1,7,0.9870888888835907,2.19257812782093
surfaces_dense,D1,1,8,0.9743011146783829,2.5063958949786276
surfaces_dense,D1,2,1,1.0883212089538574,2.463543635098829
surfaces_dense,D1,2,2,1.0814889967441559,2.059731961574606
surfaces_dense,D1,2,3,1.0656233429908752,1.7048379633658421
surfaces_dense,D1,2,4,1.044422596693039,1.8210270320254305
surfaces_dense,D1,2,5,1.0230598449707031,2.7110325703712346
surfaces_dense,D1,2,6,0.9873984605073929,2.960498547611859
surfaces_dense,D1,2,7,0.9660360962152481,3.360884141114566
surfaces_dense,D1,2,8,0.9099319577217102,2.6690427644550683
surfaces_dense,D2,1,1,1.0780039727687836,1.0263516153274752
surfaces_dense,D2,1,2,1.01629339158535,1.1415970654498877
surfaces_dense,D2,1,3,0.9589901566505432,1.3684216724324612
surfaces_dense,D2,1,4,0.8757166117429733,1.4746605736097593
surfaces_dense,D2,1,5,0.8017875701189041,2.080546758939199
surfaces_dense,D2,1,6,0.7454599142074585,2.772064009694604
surfaces_dense,D2,1,7,0.6502877175807953,2.1659938587587524
surfaces_dense,D2,1,8,0.6481677293777466,2.7522152486071154
surfaces_dense,D2,2,1,1.0777319371700287,0.9739604398820285
surfaces_dense,D2,2,2,1.0292570441961288,1.0800908376131428
surfaces_dense,D2,2,3,0.9419465512037277,1.3484535976405843
surfaces_dense,D2,2,4,0.8167399168014526,1.8606433454315034
surfaces_dense,D2,2,5,0.7592306286096573,2.1239938393015003
surfaces_dense,D2,2,6,0.6468851864337921,2.8675702929072577
surfaces_dense,D2,2,7,0.6876587420701981,5.226541639822178
surfaces_dense,D2,2,8,0.6369897127151489,3.7194597909925715
surfaces_dense,D3,1,1,1.0960149466991425,3.1078098882820067
surfaces_dense,D3,1,2,1.0831278860569,2.335938898445697
surfaces_dense,D3,1,3,1.0723001658916473,2.023238666639168
surfaces_dense,D3,1,4,1.0597701370716095,1.692027106082447
surfaces_dense,D3,1,5,1.0369396805763245,2.102774500214207
surfaces_dense,D3,1,6,1.0072827339172363,2.7114368302780347
surfaces_dense,D3,1,7,0.9803534299135208,1.8462708766076652
surfaces_dense,D3,1,8,0.9737807065248489,2.3449005620882275
surfaces_dense,D3,2,1,1.0889257192611694,2.5872458680542643
surfaces_dense,D3,2,2,1.0874022543430328,2.051380573445739
surfaces_dense,D3,2,3,1.0711941123008728,1.6518730708128166
surfaces_dense,D3,2,4,1.0463317930698395,1.9744111393260373
surfaces_dense,D3,2,5,1.0230007618665695,2.86592176983366
surfaces_dense,D3,2,6,0.9920786470174789,2.412343951173639
surfaces_dense,D3,2,7,0.955202504992485,3.16271049744711
surfaces_dense,D3,2,8,0.9137111604213715,2.482633887306079
surfaces_sparse,D0-M,1,1,1.0180680751800537,1.6976951085917549
surfaces_sparse,D0-M,1,2,0.7792165279388428,2.294838841902764
surfaces_sparse,D0-M,1,3,0.39497798681259155,2.505593768066052
surfaces_sparse,D0-M,1,4,0.15259058959782124,1.5146401409315686
surfaces_sparse,D0-M,1,5,0.0360115678049624,0.5818818939000112
surfaces_sparse,D0-M,1,6,0.0076324696419760585,0.16267684429005355
surfaces_sparse,D0-M,1,7,0.006251164712011814,0.16638862790224113
surfaces_sparse,D0-M,1,8,0.005091469502076507,0.14170075579168984
surfaces_sparse,D0-M,2,1,1.0447807312011719,1.6294823988362395
surfaces_sparse,D0-M,2,2,0.8489943593740463,2.3458990187978204
surfaces_sparse,D0-M,2,3,0.5037606135010719,2.7276355979085043
surfaces_sparse,D0-M,2,4,0.23698116466403008,2.2217125107685396
surfaces_sparse,D0-M,2,5,0.09570091869682074,1.4770364378749017
surfaces_sparse,D0-M,2,6,0.03795524674933404,0.7585342567435853
surfaces_sparse,D0-M,2,7,0.008913067867979407,0.2593247718043538
surfaces_sparse,D0-M,2,8,0.0013501324428943917,0.04865085848137956
surfaces_sparse,D1,1,1,1.1041192710399628,10.510583427436275
surfaces_sparse,D1,1,2,1.01786869764328,1.9420605099155444
surfaces_sparse,D1,1,3,0.7782356142997742,2.56901387088255
surfaces_sparse,D1,1,4,0.53316929936409,2.636061611240686
surfaces_sparse,D1,1,5,0.21978765726089478,1.9887446048367015
surfaces_sparse,D1,1,6,0.07313342951238155,0.928153087398987
