configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,12,0.88,0.034693222575260134,0.032138349148779284,4.067473930548568,0.0029032647612766364,0.03659152011034869,0.033536537417343686,4.280030567105077,0.0030549825603890628
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,13,0.96,0.0342347225308089,0.031170491612830215,4.471862347745105,0.0031919074573483978,0.03551764250928614,0.031830169323111786,5.166151731955905,0.0036874744696330512
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,14,1.0,0.033481578018454555,0.030006263055195465,4.868916142711323,0.003475314877024499,0.03443639453093545,0.030548129872489376,5.447460455052993,0.003888265849431116
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,15,1.0,0.033363509676239106,0.02944729337211472,5.486620102139468,0.0039162170607704985,0.0333046019077301,0.028519214702253583,6.704329005810393,0.004785388298222978
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,16,1.0,0.032022642074615915,0.02786039838886393,5.831302819331048,0.004162243268616023,0.032055797024058696,0.028005805868311088,5.674037757040072,0.004049991261270572
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,17,1.0,0.03191837013920368,0.02796122434842323,5.543960900596492,0.0039571455393265466,0.031121908914016075,0.025768680842358525,7.499872267747126,0.005353227885615364
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,18,1.0,0.030745236028129883,0.026344657263291476,6.165210823986412,0.004400578746599866,0.030468451281806,0.02616419959343782,6.030258423140069,0.004304252978686702
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,19,1.0,0.030057034872019488,0.025893948653208616,5.832483913358404,0.004163086305038119,0.029779044519953366,0.02433709809634866,7.624166773146942,0.005441946304887182
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,20,1.0,0.029786499062789736,0.025144851339456126,6.502948015434307,0.004641647405734695,0.029320290953922672,0.024710326385097344,6.458560178259842,0.004609964438443856
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,21,1.0,0.029418512633409947,0.025330150571975917,5.727795126688415,0.004088361974795443,0.02884197169367005,0.023787019805622703,7.081986158835788,0.005054950862837821
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,22,1.0,0.02920866921255931,0.02466738213738684,6.362343408784814,0.004541287229682237,0.02872815343136547,0.023958130121356298,6.6828029416188475,0.004770023512932796
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,23,1.0,0.029078443920579403,0.024863197226386045,5.905560569868562,0.0042152466594350905,0.028240122401914678,0.0224416923685735,8.12360050297585,0.005798430052088401
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,24,1.0,0.02814878810464677,0.023149074153017604,7.004599479021947,0.004999714117788685,0.02785201763593349,0.02327786378186791,6.408389287836411,0.004574153667263677
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,25,1.0,0.027934224638079413,0.02376503785506138,5.841031256301627,0.004169187192221004,0.027468770147622133,0.02238285032828816,7.125373732142088,0.005085919865911555
