experiment_id,task_id,domain,station,procedure_id,outer_repeat,spectrum_status,master_status,spectrum_balanced_accuracy,master_balanced_accuracy,master_minus_spectrum,pair_status
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,4,complete,complete,0.4957575757575758,0.5833333333333334,0.08757575757575758,complete
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,5,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,1,complete,complete,0.5818181818181818,0.8611111111111112,0.27929292929292937,complete
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,2,complete,complete,0.7477272727272727,0.9166666666666666,0.16893939393939394,complete
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,3,complete,complete,0.8560606060606061,0.9444444444444445,0.08838383838383845,complete
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,4,complete,complete,0.706060606060606,0.8916666666666666,0.18560606060606055,complete
EXP-C09-T3,T3-ZS,pills:Agilent-1,pills,C-SELECTED,5,complete,complete,0.7477272727272727,0.9583333333333334,0.21060606060606069,complete
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,1,complete,complete,0.9137529137529138,0.9583333333333334,0.044580419580419584,complete
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,2,complete,complete,0.8624708624708625,0.9523809523809524,0.08991008991008997,complete
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,3,complete,complete,0.7645687645687645,0.7678571428571429,0.0032883782883783574,complete
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,4,complete,complete,0.9137529137529138,0.9523809523809524,0.03862803862803865,complete
EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,C-SELECTED,5,complete,complete,0.9184149184149185,0.9583333333333334,0.03991841491841486,complete
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,1,complete,complete,0.3333333333333333,0.3333333333333333,0.0,complete
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,2,complete,complete,0.3333333333333333,0.3333333333333333,0.0,complete
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,3,complete,complete,0.3333333333333333,0.3333333333333333,0.0,complete
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,4,complete,complete,0.3333333333333333,0.3333333333333333,0.0,complete
EXP-C09-T3,T3-ZS,pills:Mira-3,pills,C-SELECTED,5,complete,complete,0.3333333333333333,0.3333333333333333,0.0,complete
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,1,complete,complete,0.7688492063492062,0.8857142857142857,0.1168650793650795,complete
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,2,complete,complete,0.7741402116402116,0.8380952380952381,0.06395502645502649,complete
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,3,complete,complete,0.7741402116402116,0.8857142857142857,0.11157407407407405,complete
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,4,complete,complete,0.7900132275132274,0.8857142857142857,0.09570105820105823,complete
EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,C-SELECTED,5,complete,complete,0.7741402116402116,0.8380952380952381,0.06395502645502649,complete
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,1,complete,complete,0.8690476190476191,0.8690476190476191,0.0,complete
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,2,complete,complete,0.8690476190476191,0.8690476190476191,0.0,complete
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,3,complete,complete,0.8690476190476191,0.8690476190476191,0.0,complete
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,4,complete,complete,0.8690476190476191,0.8690476190476191,0.0,complete
EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,C-SELECTED,5,complete,complete,0.9047619047619048,0.9047619047619048,0.0,complete
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,1,complete,complete,0.5026455026455027,0.5396825396825397,0.03703703703703698,complete
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,2,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,3,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,4,complete,complete,0.5291005291005292,0.5079365079365079,-0.021164021164021274,complete
EXP-C09-T3,T3-ZS,surfaces:Agilent-3,surfaces,C-SELECTED,5,complete,complete,0.3439153439153439,0.38095238095238093,0.037037037037037035,complete
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,1,complete,complete,0.4545454545454546,0.4761904761904762,0.021645021645021634,complete
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,2,complete,complete,0.41750841750841755,0.42857142857142855,0.011063011063010997,complete
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,3,complete,complete,0.3501683501683502,0.38095238095238093,0.030784030784030747,complete
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,4,complete,complete,0.41750841750841755,0.4761904761904762,0.05868205868205867,complete
EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,C-SELECTED,5,complete,complete,0.5084175084175083,0.5714285714285714,0.06301106301106307,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,1,complete,complete,0.7590909090909091,0.8121212121212121,0.05303030303030298,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,2,complete,complete,0.7424242424242425,0.7484848484848484,0.006060606060605878,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,3,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,4,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,C-SELECTED,5,complete,complete,0.8166666666666668,0.8257575757575758,0.009090909090909038,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,1,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,2,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,3,complete,complete,0.6611111111111111,0.8095238095238096,0.14841269841269855,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,4,complete,complete,0.7103174603174603,0.9047619047619048,0.19444444444444442,complete
EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,C-SELECTED,5,complete,complete,0.621031746031746,0.6507936507936508,0.029761904761904767,complete
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,1,complete,complete,0.7456896551724138,0.8666666666666667,0.12097701149425288,complete
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,2,complete,complete,0.6901340996168582,0.8296296296296296,0.13949553001277137,complete
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,3,complete,complete,0.7552681992337164,0.8296296296296296,0.07436143039591325,complete
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,4,complete,complete,0.57183908045977,0.6333333333333333,0.06149425287356325,complete
EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,C-SELECTED,5,complete,complete,0.6369731800766284,0.6759259259259259,0.03895274584929753,complete
