outer_run_id,experiment_id,task_id,domain,station,held_instrument,outer_repeat,outer_fold,selection_kind,fixed_family_model_id,margin_status,selected_candidate_id,runner_up_candidate_id,supported_candidate_count,mean_ba_margin,worst_ba_margin,macro_f1_margin
P03OUTER-01e062fec18d6ba135afeb66,EXP-C10-T3,T3-ZS,pills:Agilent-1,pills,Agilent-1,1,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-0201fc98bbc1398aad09664d,EXP-C03-T1,T1-PILLS,pills:within,pills,not_applicable,3,0,standard,,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-0208bbb60545e9a1e08fd91c,EXP-C10-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,1,1,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-012,C-RBF-SVM-014,36,0.0,0.0,0.0
P03OUTER-021c86b71e5524ebbdb45720,EXP-C09-CONTROL-META,T3-ZS,pills:Agilent-3,pills,Agilent-3,3,0,metadata_control,,complete,CTRL-META-C-LOGREG-EN-000,CTRL-META-C-LOGREG-EN-009,19,0.0,0.0,0.007936507936507908
P03OUTER-0268e756cc739647076de496,EXP-C04-T1,T1-CWA,cwa:within,cwa,not_applicable,5,1,standard,,complete,C-PLS-DA-003,C-PLS-DA-002,5,0.03703703703703709,-0.11111111111111116,0.06666666666666676
P03OUTER-028176e4f419b4efc343b1d8,EXP-C09-CONTROL-META,T3-ZS,pills:Agilent-3,pills,Agilent-3,4,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-001,CTRL-META-C-LOGREG-EN-007,19,0.0,0.0,0.0
P03OUTER-028f992eeabbd7251267d687,EXP-C10-T3,T3-ZS,pills:Mira-3,pills,Mira-3,1,0,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-0290817ccc369888613454ff,EXP-C10-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,3,1,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-02921c20cc496bcb4758c76f,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,5,2,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-019,C-RBF-SVM-025,36,0.0,0.0,0.0
P03OUTER-02ed50d7b079c0018f215466,EXP-C12-CORAL,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,3,3,source_covariance,,unavailable,,,0,,,
P03OUTER-0322c1e137f256a581f6cc23,EXP-C12-CORAL,T3-ZS,pills:Pendar-3,pills,Pendar-3,3,1,source_covariance,,unavailable,,,0,,,
P03OUTER-0334afb34281462b3f3d90ad,EXP-C09-T3,T3-ZS,pills:Pendar-1,pills,Pendar-1,3,2,standard,,complete,C-PLS-DA-000,C-LOGREG-EN-000,124,0.0,0.0,0.0
P03OUTER-03470d9d4d4156c3600e1a53,EXP-C10-T3,T3-ZS,cwa:Pendar-2,cwa,Pendar-2,5,2,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-008,16,0.037037037037037035,0.07407407407407407,0.03756613756613758
P03OUTER-034ba405a3aaf04b215a20cb,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,5,1,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-008,C-RANDOM-FOREST-009,16,0.0,0.0,0.0
P03OUTER-035f6315bd8fc4593a3041c4,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,1,1,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-010,C-RANDOM-FOREST-014,16,0.0,0.0,0.0
P03OUTER-039d67f83601dabefc6eb72c,EXP-C09-CONTROL-META,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,5,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-024,CTRL-META-C-LOGREG-EN-026,30,0.0,0.0,0.0
P03OUTER-03b8b9cb8883623b8dec583b,EXP-C10-T3,T3-ZS,cwa:Mira-2,cwa,Mira-2,1,1,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-006,C-PCA-LDA-008,10,1.1102230246251565e-16,-0.16666666666666663,0.040740740740740855
P03OUTER-03d409a277a113e505040894,EXP-C06-T1,T1-SURF,surfaces:within,surfaces,not_applicable,1,2,standard,,complete,C-RBF-SVM-012,C-RBF-SVM-025,36,0.0,0.0,0.0
P03OUTER-03f867fe9d60ad7c68481ff2,EXP-C06-T1,T1-CWA,cwa:within,cwa,not_applicable,1,2,standard,,complete,C-RBF-SVM-012,C-RBF-SVM-018,36,0.0,0.0,0.0
P03OUTER-03f8caf3857860ef98f2e44a,EXP-C12-CORAL,T3-ZS,pills:Agilent-1,pills,Agilent-1,5,3,source_covariance,,unavailable,,,0,,,
P03OUTER-0403c383a7c95dbe974a1953,EXP-C01-T1,T1-SURF,surfaces:within,surfaces,not_applicable,4,0,standard,,complete,C-SPECTRAL-MATCH-002,C-SPECTRAL-MATCH-000,3,0.03703703703703709,0.05555555555555547,0.04074074074074052
P03OUTER-040905398313ec0bed8e6ca2,EXP-C09-CONTROL-META,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,3,0,metadata_control,,complete,CTRL-META-C-LOGREG-EN-012,CTRL-META-C-LOGREG-EN-003,19,0.0,0.0,0.015277777777777807
P03OUTER-040bd1c70d06a57ed4addc60,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,5,1,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-019,C-RBF-SVM-025,36,0.06944444444444442,0.0,0.1055056055056055
P03OUTER-040fb0ff385f1263ecbdfe16,EXP-C02-T1,T1-PILLS,pills:within,pills,not_applicable,3,0,standard,,complete,C-NEAREST-CENTROID-004,C-NEAREST-CENTROID-006,8,0.0,0.0,0.0
P03OUTER-04328b8702bb416743c175a3,EXP-C10-T3,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,2,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-003,C-PCA-LDA-001,6,0.16428571428571437,0.20952380952380956,0.17520442520442525
P03OUTER-04875b229934c76ed0326c7f,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,1,1,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-003,C-PCA-LDA-002,6,0.06666666666666654,0.09999999999999998,-0.007539682539682513
P03OUTER-048965cd35893b1e7a9d1ca0,EXP-C10-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,4,2,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-007,C-RBF-SVM-013,36,0.0,0.0,0.0
P03OUTER-04a168c3e35f8d08c59a5233,EXP-C02-T1,T1-PILLS,pills:within,pills,not_applicable,4,0,standard,,complete,C-NEAREST-CENTROID-000,C-NEAREST-CENTROID-001,8,0.0,0.0,0.0
P03OUTER-04c26d5be01ab9510cf74f43,EXP-C09-CONTROL-META,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,2,0,metadata_control,,complete,CTRL-META-C-LOGREG-EN-000,CTRL-META-C-LOGREG-EN-001,24,0.0,0.0,0.0
P03OUTER-04cd351fa77fa4afa71bf291,EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,RMX-2,5,0,standard,,complete,C-RANDOM-FOREST-002,C-PLS-DA-003,123,0.0,0.0,0.0
P03OUTER-0507858401417bb83c467b4b,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,5,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-000,C-PCA-LDA-001,4,0.06666666666666665,0.10476190476190472,0.14264705882352946
P03OUTER-050f33b9f71fcff72724b125,EXP-C10-T3,T3-ZS,pills:Agilent-1,pills,Agilent-1,4,0,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-0562f334c78bbb5f5581a4a6,EXP-C10-T3,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,4,3,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-001,C-EXTRA-TREES-000,16,0.02777777777777779,0.0,0.019805568051182165
P03OUTER-059f9b1d040f76d9bf4e1f48,EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,RMX-1,1,2,standard,,complete,C-LOGREG-EN-000,C-PLS-DA-000,125,0.08333333333333326,0.0,0.04444444444444451
P03OUTER-05a20fbf7bc28df276ada5c3,EXP-C03-T1,T1-CWA,cwa:within,cwa,not_applicable,3,3,standard,,complete,C-PCA-LDA-006,C-PCA-LDA-007,10,0.03703703703703709,0.0,0.0444444444444444
P03OUTER-05b948fb581e60bb3617c2d7,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,5,2,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-003,C-PCA-LDA-002,6,0.08333333333333326,0.10000000000000003,0.07572150072150086
P03OUTER-05be478a7819aa358b6f6f59,EXP-C12-CORAL,T3-ZS,pills:Pendar-1,pills,Pendar-1,4,0,source_covariance,,unavailable,,,0,,,
P03OUTER-0615bebddca5e9ebeaabe59c,EXP-C12-CORAL,T3-ZS,pills:Pendar-3,pills,Pendar-3,2,3,source_covariance,,unavailable,,,0,,,
P03OUTER-0639f9b02f3d6655387737f3,EXP-C05-T1,T1-CWA,cwa:within,cwa,not_applicable,4,1,standard,,complete,C-LOGREG-EN-015,C-LOGREG-EN-016,30,0.0,0.0,0.0
P03OUTER-06503791805579fe5a117bc5,EXP-C12-CORAL,T3-ZS,pills:Agilent-3,pills,Agilent-3,4,0,source_covariance,,unavailable,,,0,,,
P03OUTER-069a5779a4f646a85c6e059c,EXP-C12-CORAL,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,1,3,source_covariance,,complete,CORAL-C-RBF-SVM-014,CORAL-C-RBF-SVM-020,42,0.0,0.0,0.0181818181818183
P03OUTER-06a0b7df004b6a14a8af5409,EXP-C09-CONTROL-META,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,2,2,metadata_control,,complete,CTRL-META-C-LOGREG-EN-001,CTRL-META-C-LOGREG-EN-005,23,0.0,0.0,0.0
P03OUTER-06b9e310e4d3f8510a07585d,EXP-C12-CORAL,T3-ZS,pills:Mira-3,pills,Mira-3,4,3,source_covariance,,unavailable,,,0,,,
P03OUTER-06c391e9ab5a6bef66803feb,EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,Pendar-3,1,1,standard,,complete,C-PLS-DA-000,C-LOGREG-EN-000,123,0.0,0.0,0.0
P03OUTER-06dc32e84d8a9e6a719434d0,EXP-C12-CORAL,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,2,3,source_covariance,,complete,CORAL-C-PCA-LDA-001,CORAL-C-RBF-SVM-020,42,0.030952380952380953,0.014285714285714401,-0.0018407518407519419
P03OUTER-06ddb32e22a9db2ed44b1bc9,EXP-C10-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,4,3,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-004,C-RANDOM-FOREST-008,16,0.0,0.0,0.0
P03OUTER-06f1dbda638ac9a9543ed201,EXP-C10-T3,T3-ZS,pills:Mira-3,pills,Mira-3,3,1,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-06f4ebf31ba9642f9e5d30ee,EXP-C09-T3,T3-ZS,pills:Mira-3,pills,Mira-3,3,0,standard,,complete,C-SPECTRAL-MATCH-000,C-PLS-DA-000,125,0.0,0.0,0.0
P03OUTER-0702b5e9ca009d4ea861d504,EXP-C10-T3,T3-ZS,pills:Pendar-3,pills,Pendar-3,3,0,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-0712e676de3f8c4b70f89e73,EXP-C02-T1,T1-PILLS,pills:within,pills,not_applicable,5,2,standard,,complete,C-NEAREST-CENTROID-004,C-NEAREST-CENTROID-005,8,0.0,0.0,0.0
P03OUTER-072085f10a562e415f20121e,EXP-C01-T1,T1-CWA,cwa:within,cwa,not_applicable,1,0,standard,,complete,C-SPECTRAL-MATCH-001,C-SPECTRAL-MATCH-000,3,0.0,0.0,0.0037037037037036535
P03OUTER-076944a1754643f2e04c6dd8,EXP-C10-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,2,1,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-0777d48757bfd3c86bbbd2e6,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,1,3,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-07b7e3b42f3486f35dc2df7c,EXP-C09-CONTROL-META,T3-ZS,pills:Pendar-3,pills,Pendar-3,5,3,metadata_control,,complete,CTRL-META-C-LOGREG-EN-019,CTRL-META-C-LOGREG-EN-016,19,0.0,0.0,0.04074074074074069
P03OUTER-07d11f9f18cbedf820893cff,EXP-C09-CONTROL-META,T3-ZS,cwa:Mira-2,cwa,Mira-2,5,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-010,CTRL-META-C-LOGREG-EN-015,30,0.0,0.0,0.0
P03OUTER-07e0a4c03a0ff7507e2bb126,EXP-C09-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,1,1,standard,,complete,C-LOGREG-EN-016,C-LOGREG-EN-017,111,0.0444444444444444,0.1333333333333333,0.036684303350970004
P03OUTER-08218645f91ce8f7bc078369,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,4,1,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.02777777777777779,-0.018518518518518545,0.019686794686794684
P03OUTER-083e65ff7c39172f63eb2f66,EXP-C09-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,3,1,standard,,complete,C-LOGREG-EN-029,C-LOGREG-EN-026,118,0.0,0.0,0.0241758241758242
P03OUTER-08494718711f92a03da7d1dc,EXP-C10-T3,T3-ZS,cwa:Pendar-2,cwa,Pendar-2,1,0,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-002,C-RANDOM-FOREST-000,16,0.05555555555555547,0.05555555555555558,0.1335978835978836
P03OUTER-089da7846f53833dc8ecf320,EXP-C03-T1,T1-CWA,cwa:within,cwa,not_applicable,2,0,standard,,complete,C-PCA-LDA-007,C-PCA-LDA-004,10,0.05555555555555558,0.0,0.05925925925925912
P03OUTER-08a13e38aff39b55b33c033d,EXP-C10-T3,T3-ZS,cwa:Pendar-2,cwa,Pendar-2,5,3,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-012,C-RBF-SVM-025,36,0.02777777777777779,0.22222222222222227,-0.07857142857142874
P03OUTER-08e264472d05df9e8bde4e0d,EXP-C09-T3,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,1,0,standard,,complete,C-SPECTRAL-MATCH-000,C-SPECTRAL-MATCH-002,121,0.0,0.0,0.0
P03OUTER-0908bbbf11e3ab090eedeb1d,EXP-C09-CONTROL-META,T3-ZS,pills:Agilent-3,pills,Agilent-3,4,3,metadata_control,,complete,CTRL-META-C-LOGREG-EN-017,CTRL-META-C-LOGREG-EN-018,18,0.0,0.0,0.0
P03OUTER-091a428c666e3cde4957d3e2,EXP-C09-CONTROL-META,T3-ZS,cwa:Mira-2,cwa,Mira-2,4,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-000,CTRL-META-C-LOGREG-EN-005,30,0.0,0.0,0.0
P03OUTER-092d13a83808342fc6ea1560,EXP-C04-T1,T1-CWA,cwa:within,cwa,not_applicable,1,1,standard,,complete,C-PLS-DA-004,C-PLS-DA-002,5,0.05555555555555558,0.16666666666666674,0.05185185185185204
P03OUTER-093a68ece4e920a8e7d8a373,EXP-C10-T3,T3-ZS,cwa:RMX-1,cwa,RMX-1,4,0,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-006,C-PCA-LDA-007,10,0.0,0.0,0.0
P03OUTER-0999bdeb26c06f4a6487ece9,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,5,2,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-019,C-RBF-SVM-025,36,0.0,0.0,0.0
P03OUTER-099c6984150325b6fe4dabe6,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,2,2,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-003,C-PCA-LDA-001,6,0.05555555555555547,0.08333333333333331,0.043464052287581656
P03OUTER-09a51a03c0f016a06a5a9959,EXP-C10-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,2,3,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-004,C-EXTRA-TREES-012,16,0.005291005291005346,0.015873015873015817,0.00440917107583777
P03OUTER-09a98c53af42b262dfd7c3a1,EXP-C10-T3,T3-ZS,pills:Agilent-1,pills,Agilent-1,2,1,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-09c66b4ed8b65ef1cb4e4ad3,EXP-C05-T1,T1-CWA,cwa:within,cwa,not_applicable,1,3,standard,,complete,C-LOGREG-EN-005,C-LOGREG-EN-011,29,0.0,0.0,0.0
P03OUTER-09dd614abf5baf92187a9a8d,EXP-C10-T3,T3-ZS,surfaces:RMX-2,surfaces,RMX-2,2,2,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-004,16,5.551115123125783e-17,0.0,-0.003703703703703709
P03OUTER-09fbeb050e20e92c59025759,EXP-C09-CONTROL-META,T3-ZS,cwa:Pendar-2,cwa,Pendar-2,2,3,metadata_control,,complete,CTRL-META-C-LOGREG-EN-005,CTRL-META-C-LOGREG-EN-010,30,0.0,0.0,0.0
P03OUTER-0a0392848a4fbb0acda4a4d8,EXP-C09-CONTROL-META,T3-ZS,surfaces:RMX-2,surfaces,RMX-2,1,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-000,CTRL-META-C-LOGREG-EN-001,28,0.0,0.0,0.0
P03OUTER-0a0969eb88f68e91e6545ec9,EXP-C08-T1,T1-PILLS,pills:within,pills,not_applicable,1,3,standard,,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-0a202228f6851364fb7ecba8,EXP-C09-T3,T3-ZS,surfaces:RMX-2,surfaces,RMX-2,3,2,standard,,complete,C-LOGREG-EN-023,C-LOGREG-EN-022,117,0.05555555555555547,0.0,0.04436304436304439
P03OUTER-0a23a9aa3e2667a594fdcb65,EXP-C08-T1,T1-PILLS,pills:within,pills,not_applicable,5,1,standard,,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-0a75df2ad572960011c6fd4b,EXP-C05-T1,T1-CWA,cwa:within,cwa,not_applicable,2,2,standard,,complete,C-LOGREG-EN-005,C-LOGREG-EN-011,28,0.0,0.0,0.0
P03OUTER-0a9070f4b7ea2ac3d76fa0bc,EXP-C10-T3,T3-ZS,pills:Mira-3,pills,Mira-3,1,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-002,C-PCA-LDA-003,10,0.0,0.0,0.0
P03OUTER-0acb95e98da689d1636b2c1d,EXP-C10-T3,T3-ZS,pills:Pendar-1,pills,Pendar-1,3,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-0ae6af27a67f614371795be2,EXP-C10-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,2,2,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-019,C-RBF-SVM-025,36,0.0,0.0,0.0
P03OUTER-0afc6f4805866925e509324e,EXP-C10-T3,T3-ZS,surfaces:Pendar-2,surfaces,Pendar-2,4,1,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-002,C-RBF-SVM-008,36,0.0,0.0,0.0
P03OUTER-0b080a74610b9a23b8bbab81,EXP-C10-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,2,3,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-0b08c01c58246dd9e61fd0a5,EXP-C10-T3,T3-ZS,surfaces:Mira-1,surfaces,Mira-1,5,3,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-0b5f59b27b48a84a975e1410,EXP-C09-CONTROL-META,T3-ZS,cwa:RMX-1,cwa,RMX-1,4,1,metadata_control,,complete,CTRL-META-C-LOGREG-EN-025,CTRL-META-C-LOGREG-EN-026,30,0.0,0.0,0.0
