station,aggregation_level,true_index,predicted_index,true_label,predicted_label,mean_row_fraction,minimum_row_fraction,maximum_row_fraction,mean_count_per_repeat,mean_true_support_per_repeat,repeat_count,minimum_domain_count
pills,instrument_balanced_master,2,1,blank,benzyl_fentanyl,0.045,0.025,0.075,1.8,40.0,5,5
pills,instrument_balanced_master,2,2,blank,blank,0.9550000000000001,0.925,0.975,38.2,40.0,5,5
pills,spectrum,0,0,4_ANPP,4_ANPP,0.48888888888888893,0.4305555555555556,0.5277777777777778,35.2,72.0,5,5
pills,spectrum,0,1,4_ANPP,benzyl_fentanyl,0.08611111111111111,0.041666666666666664,0.1388888888888889,6.2,72.0,5,5
pills,spectrum,0,2,4_ANPP,blank,0.425,0.4166666666666667,0.4305555555555556,30.6,72.0,5,5
pills,spectrum,1,0,benzyl_fentanyl,4_ANPP,0.04166666666666667,0.020833333333333332,0.0625,2.0,48.0,5,5
pills,spectrum,1,1,benzyl_fentanyl,benzyl_fentanyl,0.5375,0.5,0.5625,25.8,48.0,5,5
pills,spectrum,1,2,benzyl_fentanyl,blank,0.4208333333333334,0.4166666666666667,0.4375,20.2,48.0,5,5
pills,spectrum,2,0,blank,4_ANPP,0.01707317073170732,0.012195121951219513,0.024390243902439025,1.4,82.0,5,5
pills,spectrum,2,1,blank,benzyl_fentanyl,0.05365853658536586,0.036585365853658534,0.07317073170731707,4.4,82.0,5,5
pills,spectrum,2,2,blank,blank,0.9292682926829269,0.9146341463414634,0.9512195121951219,76.2,82.0,5,5
surfaces,instrument_balanced_master,0,0,4_ANPP,4_ANPP,0.6158359287771052,0.47058823529411764,0.7272727272727273,7.8,13.0,5,3
surfaces,instrument_balanced_master,0,1,4_ANPP,acetaminophen,0.26320267967326794,0.18181818181818182,0.38461538461538464,3.4,13.0,5,3
surfaces,instrument_balanced_master,0,2,4_ANPP,benzyl_fentanyl,0.12096139154962685,0.0,0.29411764705882354,1.8,13.0,5,3
surfaces,instrument_balanced_master,1,0,acetaminophen,4_ANPP,0.1421315645381518,0.08823529411764706,0.17391304347826086,4.4,31.0,5,3
surfaces,instrument_balanced_master,1,1,acetaminophen,acetaminophen,0.723195660260098,0.6341463414634146,0.7666666666666667,22.2,31.0,5,3
surfaces,instrument_balanced_master,1,2,acetaminophen,benzyl_fentanyl,0.1346727752017503,0.06666666666666667,0.1951219512195122,4.4,31.0,5,3
surfaces,instrument_balanced_master,2,0,benzyl_fentanyl,4_ANPP,0.09787054606788952,0.0,0.16666666666666666,2.8,31.4,5,3
surfaces,instrument_balanced_master,2,1,benzyl_fentanyl,acetaminophen,0.2403298228111946,0.14705882352941177,0.3548387096774194,7.4,31.4,5,3
surfaces,instrument_balanced_master,2,2,benzyl_fentanyl,benzyl_fentanyl,0.661799631120916,0.5806451612903226,0.8048780487804879,21.2,31.4,5,3
surfaces,spectrum,0,0,4_ANPP,4_ANPP,0.6367894043408917,0.5,0.7391304347826086,15.0,24.0,5,3
surfaces,spectrum,0,1,4_ANPP,acetaminophen,0.27811450182159564,0.18181818181818182,0.46153846153846156,6.8,24.0,5,3
surfaces,spectrum,0,2,4_ANPP,benzyl_fentanyl,0.0850960938375126,0.038461538461538464,0.2,2.2,24.0,5,3
surfaces,spectrum,1,0,acetaminophen,4_ANPP,0.1488222777525798,0.09230769230769231,0.2692307692307692,9.0,62.6,5,3
surfaces,spectrum,1,1,acetaminophen,acetaminophen,0.7260691715271538,0.6730769230769231,0.7966101694915254,45.4,62.6,5,3
surfaces,spectrum,1,2,acetaminophen,benzyl_fentanyl,0.12510855072026644,0.05084745762711865,0.18461538461538463,8.2,62.6,5,3
surfaces,spectrum,2,0,benzyl_fentanyl,4_ANPP,0.13105903970752902,0.05714285714285714,0.21818181818181817,7.0,56.0,5,3
surfaces,spectrum,2,1,benzyl_fentanyl,acetaminophen,0.3104800313908641,0.21818181818181817,0.4406779661016949,17.4,56.0,5,3
surfaces,spectrum,2,2,benzyl_fentanyl,benzyl_fentanyl,0.5584609289016068,0.4915254237288136,0.6571428571428571,31.6,56.0,5,3
