experiment_id,task_id,station,procedure_id,aggregation_level,planned_endpoint_count,complete_endpoint_count,unavailable_endpoint_count,completion_fraction,expected_observation_memberships,expected_master_memberships
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-02,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-02,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-03,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-03,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-04,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-04,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-05,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-05,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-06,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-06,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-07,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-07,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-08,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-08,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-09,instrument_balanced_master,15,15,0,1.0,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-09,spectrum,15,15,0,1.0,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-10,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-10,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-11,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-11,spectrum,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-12,instrument_balanced_master,15,12,3,0.8,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-12,spectrum,15,12,3,0.8,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-13,instrument_balanced_master,15,15,0,1.0,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-13,spectrum,15,15,0,1.0,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-14,instrument_balanced_master,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-14,spectrum,15,13,2,0.8666666666666667,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-15,instrument_balanced_master,15,14,1,0.9333333333333333,880,330
EXP-C09-CONTROL-PERM,T3-ZS,cwa,C-PERMUTED-SELECTED:CTRL-PERM-15,spectrum,15,14,1,0.9333333333333333,880,330
