station,procedure_id,outer_repeat,aggregation_level,within_station_balanced_accuracy,zero_shot_balanced_accuracy,zero_shot_minus_within_station,within_station_endpoint_count,zero_shot_domain_count
cwa,C-RBF-SVM,2,spectrum,0.6157948504839575,0.5360229276895944,-0.07977192279436318,1,3
cwa,C-RBF-SVM,3,instrument_balanced_master,0.8736772486772487,0.611111111111111,-0.26256613756613767,1,3
cwa,C-RBF-SVM,3,spectrum,0.6149550672692328,0.5414991181657848,-0.07345594910344799,1,3
cwa,C-RBF-SVM,4,instrument_balanced_master,0.8154761904761904,0.5987654320987653,-0.21671075837742504,1,3
cwa,C-RBF-SVM,4,spectrum,0.6183445015843333,0.5721067821067821,-0.046237719477551176,1,3
cwa,C-RBF-SVM,5,instrument_balanced_master,0.7843915343915344,0.6313932980599647,-0.15299823633156973,1,3
cwa,C-RBF-SVM,5,spectrum,0.6148381902238845,0.5322526855860189,-0.08258550463786563,1,3
pills,C-EXTRA-TREES,1,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-EXTRA-TREES,1,spectrum,0.8030077931555765,0.7666416701577992,-0.036366122997777306,1,5
pills,C-EXTRA-TREES,2,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-EXTRA-TREES,2,spectrum,0.8297039122162274,0.7816541606541607,-0.0480497515620667,1,5
pills,C-EXTRA-TREES,3,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-EXTRA-TREES,3,spectrum,0.8196464409518596,0.7668662818662819,-0.05278015908557765,1,5
pills,C-EXTRA-TREES,4,instrument_balanced_master,1.0,0.8399999999999999,-0.16000000000000014,1,5
pills,C-EXTRA-TREES,4,spectrum,0.8213047671175749,0.7687922077922078,-0.052512559325367136,1,5
pills,C-EXTRA-TREES,5,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-EXTRA-TREES,5,spectrum,0.8349102092944457,0.7883208273208273,-0.04658938197361839,1,5
pills,C-PCA-LDA,1,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-PCA-LDA,1,spectrum,0.7583600490004431,0.7821038961038962,0.02374384710345312,1,5
pills,C-PCA-LDA,2,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-PCA-LDA,2,spectrum,0.7808794015690568,0.7874531024531024,0.00657370088404563,1,5
pills,C-PCA-LDA,3,instrument_balanced_master,1.0,0.8399999999999999,-0.16000000000000014,1,5
pills,C-PCA-LDA,3,spectrum,0.7719654911773138,0.7816438191438191,0.009678327966505251,1,5
pills,C-PCA-LDA,4,instrument_balanced_master,1.0,0.8533333333333333,-0.14666666666666672,1,5
pills,C-PCA-LDA,4,spectrum,0.7765332186514452,0.8062409812409813,0.029707762589536113,1,5
pills,C-PCA-LDA,5,instrument_balanced_master,1.0,0.8400000000000001,-0.15999999999999992,1,5
pills,C-PCA-LDA,5,spectrum,0.7681340735527927,0.7763318903318903,0.008197816779097589,1,5
pills,C-RBF-SVM,1,instrument_balanced_master,1.0,0.8304761904761904,-0.16952380952380963,1,5
pills,C-RBF-SVM,1,spectrum,0.7515410378710872,0.7824795574795574,0.030938519608470272,1,5
pills,C-RBF-SVM,2,instrument_balanced_master,1.0,0.8171428571428571,-0.18285714285714294,1,5
pills,C-RBF-SVM,2,spectrum,0.746504157218443,0.7824795574795574,0.035975400261114454,1,5
pills,C-RBF-SVM,3,instrument_balanced_master,1.0,0.8171428571428571,-0.18285714285714294,1,5
pills,C-RBF-SVM,3,spectrum,0.7433634373289545,0.7659030784030785,0.022539641074123984,1,5
pills,C-RBF-SVM,4,instrument_balanced_master,1.0,0.8133333333333332,-0.18666666666666676,1,5
pills,C-RBF-SVM,4,spectrum,0.7665213595016551,0.7824795574795574,0.015958197977902322,1,5
pills,C-RBF-SVM,5,instrument_balanced_master,1.0,0.8438095238095238,-0.1561904761904762,1,5
pills,C-RBF-SVM,5,spectrum,0.7406234524461125,0.7732443482443483,0.032620895798235794,1,5
surfaces,C-EXTRA-TREES,1,instrument_balanced_master,0.9696969696969697,0.68004329004329,-0.2896536796536797,1,5
surfaces,C-EXTRA-TREES,1,spectrum,0.7221526691010259,0.6180646365129123,-0.10408803258811361,1,5
surfaces,C-EXTRA-TREES,2,instrument_balanced_master,0.9696969696969697,0.6860750360750361,-0.28362193362193366,1,5
surfaces,C-EXTRA-TREES,2,spectrum,0.7409146235437315,0.6252288069529449,-0.11568581659078658,1,5
surfaces,C-EXTRA-TREES,3,instrument_balanced_master,0.9696969696969697,0.6981962481962481,-0.2715007215007216,1,5
surfaces,C-EXTRA-TREES,3,spectrum,0.7291485538746884,0.6456572291055049,-0.08349132476918342,1,5
surfaces,C-EXTRA-TREES,4,instrument_balanced_master,0.9696969696969697,0.6794372294372295,-0.2902597402597402,1,5
surfaces,C-EXTRA-TREES,4,spectrum,0.7062539848142352,0.6079560796802176,-0.0982979051340176,1,5
surfaces,C-EXTRA-TREES,5,instrument_balanced_master,0.9696969696969697,0.6694083694083695,-0.30028860028860027,1,5
surfaces,C-EXTRA-TREES,5,spectrum,0.7596939662667362,0.6425857093098472,-0.11710825695688909,1,5
surfaces,C-PCA-LDA,1,instrument_balanced_master,0.9696969696969697,0.5676334776334777,-0.402063492063492,1,5
surfaces,C-PCA-LDA,1,spectrum,0.8005274445024053,0.5379512696754076,-0.2625761748269977,1,5
surfaces,C-PCA-LDA,2,instrument_balanced_master,0.9696969696969697,0.5061038961038962,-0.46359307359307356,1,5
surfaces,C-PCA-LDA,2,spectrum,0.781185880716397,0.4639833474316233,-0.31720253328477377,1,5
surfaces,C-PCA-LDA,3,instrument_balanced_master,0.9696969696969697,0.5483213083213083,-0.4213756613756614,1,5
surfaces,C-PCA-LDA,3,spectrum,0.8111516837651424,0.493684712477816,-0.31746697128732637,1,5
surfaces,C-PCA-LDA,4,instrument_balanced_master,0.9696969696969697,0.5408898508898509,-0.42880711880711886,1,5
surfaces,C-PCA-LDA,4,spectrum,0.8245638439691648,0.5163244099450995,-0.3082394340240653,1,5
surfaces,C-PCA-LDA,5,instrument_balanced_master,0.9696969696969697,0.5070514670514671,-0.46264550264550264,1,5
surfaces,C-PCA-LDA,5,spectrum,0.7918101199791341,0.49671883033951997,-0.2950912896396141,1,5
surfaces,C-RBF-SVM,1,instrument_balanced_master,0.9696969696969697,0.6398845598845598,-0.3298124098124099,1,5
surfaces,C-RBF-SVM,1,spectrum,0.7209007129194922,0.5764367816091954,-0.14446393131029678,1,5
surfaces,C-RBF-SVM,2,instrument_balanced_master,0.9696969696969697,0.6317845117845118,-0.33791245791245794,1,5
surfaces,C-RBF-SVM,2,spectrum,0.7320292123109025,0.6013357715081853,-0.13069344080271716,1,5
surfaces,C-RBF-SVM,3,instrument_balanced_master,0.9363636363636364,0.6461568061568062,-0.29020683020683025,1,5
surfaces,C-RBF-SVM,3,spectrum,0.7483973801657683,0.5976485710968469,-0.1507488090689214,1,5
surfaces,C-RBF-SVM,4,instrument_balanced_master,0.9363636363636364,0.6224819624819625,-0.3138816738816739,1,5
surfaces,C-RBF-SVM,4,spectrum,0.7209007129194922,0.5738919573402332,-0.14700875557925897,1,5
surfaces,C-RBF-SVM,5,instrument_balanced_master,0.9696969696969697,0.6288455988455988,-0.34085137085137096,1,5
surfaces,C-RBF-SVM,5,spectrum,0.7560656117776619,0.5973115390356769,-0.15875407274198494,1,5
