scanname Scan009
timestamp 2024-03-06 17:47:32
ccdbias 990.967285
ccdgain 4.313516
sigmaread 9.885917
laserwavenum -0.039825
wavenumcorrection -0.892949
scancount 3
totalexposurems 3953
singleexposurems 1939
measurementstate Unknown
scanmode Auto
snr 92.812256 24.598404 7.100382
replacelist 0
peaks 6
1115.850220 0.140678
1117.674072 0.139671
1119.496704 0.142490
1121.317993 0.141062
1123.138184 0.141379
1124.957642 0.142348
1126.775513 0.140519
1128.592407 0.138156
1130.408203 0.137518
1132.223022 0.137883
1134.036621 0.135882
1135.848999 0.136486
1137.660278 0.133454
1139.470581 0.133534
1141.279663 0.135434
1143.087646 0.136510
1144.894531 0.138452
1146.700195 0.135932
1148.504883 0.136849
1150.308472 0.135024
1152.110840 0.136514
1153.912231 0.134991
1155.712402 0.135465
1157.511597 0.133713
1159.309570 0.135488
1161.106445 0.132427
1162.902100 0.134610
1164.696899 0.133916
1166.490479 0.134618
1168.282837 0.134854
1170.074219 0.137192
1171.864624 0.135694
1173.653687 0.136757
1175.441772 0.134651
1177.228760 0.134870
1179.014526 0.134896
1180.799316 0.136179
1182.583008 0.135427
1184.365601 0.134926
1186.147217 0.132987
1187.927612 0.133743
1189.706787 0.134196
1191.485107 0.137445
1193.262329 0.132914
1195.038086 0.134655
1196.813232 0.135437
1198.586914 0.135846
1200.359741 0.136818
1202.131470 0.136623
1203.901978 0.135188
1205.671509 0.135108
1207.439941 0.136697
1209.207153 0.134690
1210.973389 0.136646
1212.738647 0.135253
1214.502686 0.136818
1216.265625 0.137492
1218.027466 0.135682
1219.788208 0.136748
1221.548096 0.136792
1223.306763 0.138209
1225.064331 0.136200
1226.820923 0.137912
1228.576294 0.136037
1230.330688 0.136862
1232.083984 0.139882
1233.836304 0.138109
1235.587280 0.138071
1237.337402 0.138480
1239.086426 0.141254
1240.834473 0.137744
1242.581177 0.138965
1244.327026 0.136565
1246.071777 0.139758
1247.815430 0.137973
1249.557983 0.137400
1251.299438 0.136955
1253.040039 0.136259
1254.779419 0.137729
1256.517700 0.139812
1258.255127 0.138555
1259.991089 0.139702
1261.726196 0.136644
1263.460327 0.140761
1265.193359 0.139672
1266.925415 0.138154
1268.656372 0.136512
1270.386230 0.138408
1272.114868 0.136597
1273.842773 0.140190
1275.569336 0.139889
1277.294800 0.138240
1279.019531 0.139990
1280.743042 0.139316
1282.465576 0.139771
1284.186890 0.138882
1285.907227 0.140378
1287.626587 0.140794
1289.344971 0.139868
1291.062134 0.140532
1292.778198 0.141517
1294.493408 0.143380
1296.207642 0.140196
1297.920654 0.142485
1299.632446 0.139950
1301.343262 0.138363
1303.053345 0.139728
1304.762207 0.139882
1306.469849 0.140278
1308.176758 0.140815
1309.882324 0.141860
1311.587158 0.140366
1313.290771 0.140226
1314.993530 0.142689
1316.694946 0.140193
1318.395630 0.142267
1320.095093 0.142524
1321.793457 0.144518
1323.490967 0.141912
1325.187256 0.144115
1326.882690 0.140432
1328.577026 0.139857
1330.270386 0.142607
1331.962646 0.142885
1333.653931 0.143279
1335.343994 0.143060
1337.033081 0.144464
1338.721436 0.146368
1340.408569 0.141445
1342.094482 0.142156
1343.779663 0.142781
1345.463745 0.143162
1347.146729 0.144588
1348.828735 0.144738
1350.509644 0.143820
1352.189575 0.144971
1353.868652 0.141796
1355.546509 0.141452
1357.223389 0.141332
1358.899292 0.144948
1360.574097 0.143567
1362.248047 0.143731
1363.920898 0.142947
1365.592529 0.143390
1367.263550 0.144607
1368.933105 0.145001
1370.601929 0.144575
1372.269653 0.142853
1373.936401 0.145915
1375.602173 0.145651
1377.266846 0.145650
1378.930420 0.146911
1380.593262 0.147966
1382.254883 0.147057
1383.915527 0.144804
1385.575073 0.141975
1387.233887 0.146447
1388.891479 0.148295
1390.548096 0.144101
1392.203857 0.142254
1393.858398 0.146029
1395.511963 0.142712
1397.164673 0.143655
1398.816162 0.144196
1400.466797 0.143967
1402.116455 0.144098
1403.765015 0.145170
1405.412720 0.144699
1407.059448 0.144035
1408.704956 0.141086
1410.349609 0.145490
1411.993286 0.142372
1413.635864 0.142408
1415.277466 0.139192
1416.918091 0.139438
1418.557861 0.140967
1420.196533 0.145155
1421.833984 0.142686
1423.470825 0.141492
1425.106323 0.141374
1426.740967 0.142684
1428.374756 0.138161
1430.007446 0.140988
1431.639282 0.141623
1433.269775 0.142355
1434.899780 0.142786
1436.528442 0.138805
1438.156128 0.141910
1439.782959 0.141112
1441.408691 0.145627
1443.033447 0.140838
1444.657349 0.141442
1446.280273 0.142140
1447.901978 0.141195
1449.522949 0.142592
1451.142944 0.144040
1452.761719 0.142620
1454.379761 0.144720
1455.996704 0.143097
1457.612671 0.146467
1459.227783 0.145714
1460.841553 0.144280
1462.454712 0.148036
1464.066895 0.146269
1465.677979 0.146343
1467.288208 0.144845
1468.897217 0.146402
1470.505371 0.145581
1472.112671 0.148029
1473.718872 0.143742
1475.324097 0.147103
1476.928345 0.142880
