heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0175,0.00394778218340963,0.001973891091704815,0.08621790367239741,0.7618911901948116,0.01894911061307149,87,21,20,8,2.0,1.597967039172693,0.06920574605464935
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0176,0.007690647719408859,0.0038453238597044295,0.0980891896447367,0.8892947460180622,0.015239731928865824,54,9,18,6,2.0,0.4957858465396566,0.1838625930249691
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0177,0.003828195437795245,0.0019140977188976224,0.10119656552205886,0.8178637033337728,0.016056923833010453,69,15,16,9,2.0,0.5575978140128923,0.11903958022594452
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0178,0.004369601936019858,0.002184800968009929,0.09200389152106428,0.7973431927112837,0.01868203696927854,81,20,23,12,2.0,1.8332953716089975,0.07227415218949318
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0179,0.005756144002618038,0.002878072001309019,0.09805585220760589,0.7554030081919918,0.021381579633203467,95,25,28,12,2.0,0.6245826295472745,0.08421538025140762
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0180,0.004563846020261576,0.002281923010130788,0.09622070647893086,0.787688733742982,0.022839158541922058,101,19,29,13,2.0,0.9699010953573075,0.11785104312002659
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0181,0.007152126465268237,0.0035760632326341186,0.1095907777472946,0.777192699627703,0.0207980689778924,90,23,24,10,2.0,0.4715200011222562,0.07012426853179932
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0182,0.005619954107548814,0.002809977053774407,0.09562330554042564,0.9198427653725401,0.01258600720204413,49,5,10,3,3.0,0.4291522278411663,0.09418105706572533
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0183,0.006332705172841878,0.003166352586420939,0.09925646835699245,0.7438265201493836,0.02195795509964228,91,24,24,14,2.0,1.3621306797585804,0.08459220826625824
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0184,0.010212884528077757,0.0051064422640388785,0.0887711905156784,0.6372854103250172,0.026372747655425754,104,23,41,13,2.0,1.2856311099226214,0.0779581069946289
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0185,0.005341910535746977,0.0026709552678734886,0.09931425135375337,0.7472521770904323,0.021002649372177464,95,18,25,9,2.0,0.8331522596802905,0.08073146641254425
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0186,0.004237166315365558,0.002118583157682779,0.09743866622055472,0.7745465730372345,0.018246419854196054,82,15,22,9,1.0,0.4309358133326811,0.10942918434739113
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0187,0.0027949706982133013,0.0013974853491066507,0.09304587288022498,0.8010345401433796,0.01316657457234604,57,11,9,5,2.0,0.6554286796308311,0.07040416449308395
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0188,0.0030955055677009636,0.0015477527838504818,0.09396510927230317,0.7904474232814407,0.01566798692835229,72,16,16,10,2.5,1.0044554091633064,0.07604868710041046
