stage,scenario,model,representation,seed,class_label,support,predicted_count,true_positive,recall,precision
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,20,24,12,0.6,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,11,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,5,2,2,0.4,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,4,14,3,0.75,0.21428571428571427
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,16,27,14,0.875,0.5185185185185185
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_nitrophenol,9,2,2,0.2222222222222222,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,7,6,1,0.14285714285714285,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,20,20,8,0.4,0.4
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,11,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,5,4,3,0.6,0.75
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,4,13,2,0.5,0.15384615384615385
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,3,8,3,1.0,0.375
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,7,2,2,0.2857142857142857,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,11,11,11,1.0,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,3,8,3,1.0,0.375
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,7,2,2,0.2857142857142857,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,11,11,11,1.0,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,3,10,3,1.0,0.3
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,7,2,2,0.2857142857142857,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,11,9,9,0.8181818181818182,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,2,34,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,0,40,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,2,38,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,0,34,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,2,24,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,0,50,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,25,11,11,0.44,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,0,16,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,16,12,8,0.5,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethanol,0,24,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,0,7,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,25,13,13,0.52,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_nitrophenol,0,3,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,0,29,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,16,10,7,0.4375,0.7
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,0,14,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,25,11,9,0.36,0.8181818181818182
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,0,18,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,16,11,8,0.5,0.7272727272727273
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,30,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,0,25,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,0,5,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,14,12,11,0.7857142857142857,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,0,12,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,9,13,8,0.8888888888888888,0.6153846153846154
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,14,12,11,0.7857142857142857,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,0,13,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,9,12,7,0.7777777777777778,0.5833333333333334
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,14,13,12,0.8571428571428571,0.9230769230769231
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,0,17,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,9,8,7,0.7777777777777778,0.875
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,17,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,4,6,4,1.0,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,11,12,11,1.0,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,2,24,2,1.0,0.08333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,4,5,4,1.0,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,11,12,11,1.0,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,2,25,2,1.0,0.08
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,4,5,4,1.0,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_nitrophenol,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,15,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,11,12,11,1.0,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,2,25,2,1.0,0.08
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,13,12,11,0.8461538461538461,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,2,2,1,0.5,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,7,14,5,0.7142857142857143,0.35714285714285715
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,15,12,11,0.7333333333333333,0.9166666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethanol,2,1,1,0.5,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,13,13,11,0.8461538461538461,0.8461538461538461
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_nitrophenol,2,3,1,0.5,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,7,12,4,0.5714285714285714,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,15,12,12,0.8,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,2,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,13,10,9,0.6923076923076923,0.9
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_nitrophenol,2,2,1,0.5,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,7,13,5,0.7142857142857143,0.38461538461538464
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,15,12,12,0.8,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,2,3,1,0.5,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,2,2,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,0,6,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,25,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,0,7,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,0,6,0,,0.0
