subset,representation,instrument,sensor_family,spectra,median_row_correlation,mean_row_correlation,repeatable_reference_peaks,repeatable_matched_peaks,median_peak_shift_cm1,median_relative_peak_width_change,repeatable_peak_recall
field_quality_stress,minimal_minmax,Pendar-2,pSERS_Metrohm_silver,27,0.4894329791143981,0.5411667809019108,972,181,2.5,1.5409875139615172,0.18621399176954734
field_quality_stress,minimal_minmax,Pendar-3,H_SERS_H_Kit,12,0.4596936774910967,0.46367390804505454,687,126,2.0,2.018462021661896,0.18340611353711792
field_quality_stress,minimal_minmax,Pendar-3,NRC_Canadian_SERS,30,0.5470245302151537,0.5502889746839714,1023,152,2.0,3.05083818313334,0.14858260019550343
field_quality_stress,minimal_minmax,Pendar-3,pSERS_Metrohm_silver,42,0.4129802554183487,0.4397100855539048,1248,197,2.25,3.104966804361448,0.1578525641025641
field_quality_stress,minimal_minmax,RMX-1,H_SERS_H_Kit,3,0.955950117228358,0.9541860433906932,15,15,0.5,0.3268324448202964,1.0
field_quality_stress,minimal_minmax,RMX-1,NRC_Canadian_SERS,3,0.9977230266029532,0.9970018026326853,3,2,3.0,0.1126049517478963,0.6666666666666666
field_quality_stress,minimal_minmax,RMX-2,NRC_Canadian_SERS,3,0.991705926874274,0.9919073613820046,9,4,1.0,0.7784217778492968,0.4444444444444444
quality_pass,arpls_minmax,Agilent-1,NRC_Canadian_SERS,24,0.975891164776957,0.9772327369199038,42,36,2.0,0.14852761252067645,0.8571428571428571
quality_pass,arpls_minmax,Agilent-1,pSERS_Metrohm_silver,63,0.9816035244510956,0.9740777174193465,168,157,2.0,0.1246867639711023,0.9345238095238095
quality_pass,arpls_minmax,Agilent-3,GaN_polymer,18,0.9842971468725563,0.9707957263033751,15,12,2.5,0.136811571451581,0.8
quality_pass,arpls_minmax,Agilent-3,H_SERS_H_Kit,33,0.979953223446242,0.9088579796542852,90,73,1.5,0.2077914303902277,0.8111111111111111
quality_pass,arpls_minmax,Agilent-3,NRC_Canadian_SERS,9,0.9581073051921396,0.9548348369764211,3,3,2.0,0.2447376656159874,1.0
quality_pass,arpls_minmax,Agilent-3,pSERS_Metrohm_silver,156,0.987557392594475,0.945448126311844,588,506,1.5,0.1038025517812034,0.8605442176870748
quality_pass,arpls_minmax,Mira-1,GaN_polymer,9,0.6415702814530772,0.7450723044521639,30,29,2.0,0.1802039357779267,0.9666666666666667
quality_pass,arpls_minmax,Mira-1,pSERS_Metrohm_silver,54,0.9748561467684835,0.934356688870943,324,262,1.0,0.12633656405231164,0.808641975308642
quality_pass,arpls_minmax,Mira-2,GaN_polymer,12,0.9833556046890253,0.9799010501516778,30,30,1.5,0.1269407797704996,1.0
quality_pass,arpls_minmax,Mira-2,H_SERS_H_Kit,159,0.9882168610199628,0.9710052978542402,525,509,1.0,0.0947272997920742,0.9695238095238096
quality_pass,arpls_minmax,Mira-2,NRC_Canadian_SERS,48,0.9963575224668793,0.9612671593698705,51,36,2.0,0.0950416007881833,0.7058823529411765
quality_pass,arpls_minmax,Mira-2,pSERS_Metrohm_silver,3,0.9807223237420556,0.981293031646509,9,2,3.5,0.08047983674543324,0.2222222222222222
quality_pass,arpls_minmax,Mira-3,NRC_Canadian_SERS,60,0.9407545843706642,0.8860048523862064,105,89,2.0,0.2866008799438148,0.8476190476190476
quality_pass,arpls_minmax,Mira-3,pSERS_Metrohm_silver,153,0.9915891817071668,0.9393393521176953,291,280,1.0,0.194025776444309,0.9621993127147767
quality_pass,arpls_minmax,Pendar-1,NRC_Canadian_SERS,30,0.9050376533877972,0.8824251591021295,81,56,2.0,1.6032103095568129,0.691358024691358
quality_pass,arpls_minmax,Pendar-1,pSERS_Metrohm_silver,90,0.871195694252236,0.791559008976974,390,293,2.0,0.7435139834380273,0.7512820512820513
quality_pass,arpls_minmax,Pendar-2,GaN_polymer,9,0.9760038423122704,0.8984945577212711,36,34,2.0,0.11405099224966,0.9444444444444444
quality_pass,arpls_minmax,Pendar-2,H_SERS_H_Kit,21,0.9532009248672038,0.9572735427800867,117,112,2.0,0.1796629053825947,0.9572649572649573
quality_pass,arpls_minmax,Pendar-2,pSERS_Metrohm_silver,96,0.6895317200171438,0.681028675547472,2016,584,2.0,1.5034447852604815,0.2896825396825397
quality_pass,arpls_minmax,Pendar-3,H_SERS_H_Kit,6,0.9717371464674334,0.9710913157513267,42,42,1.75,0.1114191089285451,1.0
quality_pass,arpls_minmax,Pendar-3,NRC_Canadian_SERS,21,0.8778296079275096,0.8805859864382565,78,33,2.5,1.8855515159906728,0.4230769230769231
quality_pass,arpls_minmax,Pendar-3,pSERS_Metrohm_silver,99,0.919445521860206,0.8348932623509632,954,417,2.0,0.6106765863287036,0.4371069182389937
quality_pass,arpls_minmax,RMX-1,GaN_polymer,6,0.9862407106717839,0.985961564769085,42,42,1.0,0.0818943847035086,1.0
quality_pass,arpls_minmax,RMX-1,H_SERS_H_Kit,93,0.9859932533073028,0.9607676011984602,525,516,1.0,0.0930854736181499,0.9828571428571429
quality_pass,arpls_minmax,RMX-1,NRC_Canadian_SERS,36,0.9893477966992936,0.9741911663503318,33,30,2.0,0.1318527813463038,0.9090909090909091
quality_pass,arpls_minmax,RMX-2,NRC_Canadian_SERS,18,0.9392063513964747,0.9177368332736504,78,38,2.5,0.20270761289978934,0.48717948717948717
quality_pass,arpls_minmax,RMX-2,pSERS_Metrohm_silver,174,0.8834663757522316,0.791069371746158,3783,1095,2.0,0.9685939275130455,0.28945281522601113
quality_pass,minimal_minmax,Agilent-1,NRC_Canadian_SERS,24,0.9746901919507759,0.9740560779727808,24,23,2.0,0.15865285058485273,0.9583333333333334
quality_pass,minimal_minmax,Agilent-1,pSERS_Metrohm_silver,63,0.977428677599175,0.9720726864152496,96,90,2.0,0.1301790481834703,0.9375
quality_pass,minimal_minmax,Agilent-3,GaN_polymer,18,0.9851651595539899,0.9767003833681004,15,10,2.0,0.0923645766926306,0.6666666666666666
quality_pass,minimal_minmax,Agilent-3,H_SERS_H_Kit,33,0.9739018632680604,0.8938830647834033,78,63,2.0,0.2089013667290976,0.8076923076923077
quality_pass,minimal_minmax,Agilent-3,NRC_Canadian_SERS,9,0.9421101117516064,0.9341334066429123,3,0,2.0,0.2045139798334871,0.0
quality_pass,minimal_minmax,Agilent-3,pSERS_Metrohm_silver,156,0.9857747964504754,0.9468700521802651,408,353,1.5,0.1078748438830481,0.8651960784313726
quality_pass,minimal_minmax,Mira-1,GaN_polymer,9,0.9589633665354208,0.9577727443649618,6,3,1.5,0.2948997474622612,0.5
quality_pass,minimal_minmax,Mira-1,pSERS_Metrohm_silver,54,0.9915786219344074,0.9638612408925598,189,164,1.0,0.15540815543144684,0.8677248677248677
quality_pass,minimal_minmax,Mira-2,GaN_polymer,12,0.9867577158839185,0.985553729572902,33,31,1.0,0.0573133985757536,0.9393939393939394
quality_pass,minimal_minmax,Mira-2,H_SERS_H_Kit,159,0.9927870439935012,0.9901786428488114,384,375,1.0,0.09779153719487745,0.9765625
quality_pass,minimal_minmax,Mira-2,NRC_Canadian_SERS,48,0.9974778061505939,0.9918374886594501,9,0,3.0,0.1254960002225388,0.0
quality_pass,minimal_minmax,Mira-2,pSERS_Metrohm_silver,3,0.970351114710166,0.9700521485632634,6,1,3.0,0.9182912963198996,0.16666666666666666
quality_pass,minimal_minmax,Mira-3,NRC_Canadian_SERS,60,0.9885844810187686,0.9788830967072626,3,0,2.0,0.3129492907622766,0.0
quality_pass,minimal_minmax,Mira-3,pSERS_Metrohm_silver,153,0.997749287302649,0.9920412542543403,102,102,1.0,0.0991250356639305,1.0
quality_pass,minimal_minmax,Pendar-1,NRC_Canadian_SERS,30,0.9252003501798749,0.8972923331254364,42,30,2.0,1.1093771996301887,0.7142857142857143
quality_pass,minimal_minmax,Pendar-1,pSERS_Metrohm_silver,90,0.8696570424613655,0.8246284333905657,216,184,2.0,0.7315914023112264,0.8518518518518519
quality_pass,minimal_minmax,Pendar-2,GaN_polymer,9,0.972369447936978,0.8688976685274539,36,35,2.5,0.0792343649024456,0.9722222222222222
quality_pass,minimal_minmax,Pendar-2,H_SERS_H_Kit,21,0.9490811380665216,0.9540038192799045,114,107,2.0,0.1488136688853595,0.9385964912280702
quality_pass,minimal_minmax,Pendar-2,pSERS_Metrohm_silver,96,0.7796261723516047,0.7261289721622631,1134,426,2.0,1.3398407830666428,0.37566137566137564
quality_pass,minimal_minmax,Pendar-3,H_SERS_H_Kit,6,0.9684531272752631,0.9678488375089254,42,42,1.0,0.10606265996174,1.0
quality_pass,minimal_minmax,Pendar-3,NRC_Canadian_SERS,21,0.901676299413506,0.9112185498775147,60,19,3.0,1.9933207092977816,0.31666666666666665
quality_pass,minimal_minmax,Pendar-3,pSERS_Metrohm_silver,99,0.9160401496109564,0.846737063323971,678,345,2.0,0.8247911133678592,0.5088495575221239
quality_pass,minimal_minmax,RMX-1,GaN_polymer,6,0.9914581994554906,0.9910116094801148,30,30,1.0,0.05938180819025215,1.0
quality_pass,minimal_minmax,RMX-1,H_SERS_H_Kit,93,0.9869186667077604,0.9762165961581112,441,435,1.0,0.1246788617234107,0.9863945578231292
quality_pass,minimal_minmax,RMX-1,NRC_Canadian_SERS,36,0.9931143253805081,0.9878855040395172,15,15,2.0,0.1010882835300616,1.0
quality_pass,minimal_minmax,RMX-2,NRC_Canadian_SERS,18,0.9820703458410722,0.982580605627425,39,20,2.5,0.2092453755424854,0.5128205128205128
quality_pass,minimal_minmax,RMX-2,pSERS_Metrohm_silver,174,0.9789109518203868,0.972919187189486,936,455,2.0,0.5541866481683162,0.4861111111111111
strict_core,arpls_minmax,Agilent-1,NRC_Canadian_SERS,24,0.9784382698197832,0.9782792035711148,42,38,2.0,0.16226709450032925,0.9047619047619048
strict_core,arpls_minmax,Agilent-1,pSERS_Metrohm_silver,63,0.9784471227144352,0.9733052450840681,204,179,2.0,0.1426802715441844,0.8774509803921569
strict_core,arpls_minmax,Agilent-3,GaN_polymer,18,0.9842340867488164,0.9730162478804019,15,12,2.0,0.12698808469525205,0.8
strict_core,arpls_minmax,Agilent-3,H_SERS_H_Kit,36,0.9793745622133804,0.9171141522453955,132,111,2.0,0.21443907056105677,0.8409090909090909
strict_core,arpls_minmax,Agilent-3,NRC_Canadian_SERS,9,0.9558900996250316,0.9546572236444317,12,9,2.5,0.1792558080810224,0.75
strict_core,arpls_minmax,Agilent-3,pSERS_Metrohm_silver,156,0.9873311588908817,0.9491169363311814,627,541,1.5,0.12195120473813456,0.8628389154704944
strict_core,arpls_minmax,Mira-1,GaN_polymer,9,0.6330168619255102,0.7246967858307021,30,27,2.0,0.1554340057544282,0.9
strict_core,arpls_minmax,Mira-1,pSERS_Metrohm_silver,60,0.9711385953593912,0.9148283708481407,519,329,1.0,0.14050740124629685,0.6339113680154143
strict_core,arpls_minmax,Mira-2,GaN_polymer,12,0.98061831171429,0.9764585147539391,33,32,1.0,0.1486494867311005,0.9696969696969697
strict_core,arpls_minmax,Mira-2,H_SERS_H_Kit,162,0.9874949670927287,0.9690199239018078,780,757,1.0,0.0990006918412219,0.9705128205128205
strict_core,arpls_minmax,Mira-2,NRC_Canadian_SERS,48,0.9958078967172663,0.968145804228613,60,38,1.5,0.1157233747021007,0.6333333333333333
strict_core,arpls_minmax,Mira-2,pSERS_Metrohm_silver,3,0.9815012231200656,0.9808431092827524,9,3,4.0,0.1490629461569991,0.3333333333333333
strict_core,arpls_minmax,Mira-3,NRC_Canadian_SERS,60,0.9478768363833884,0.8885439922707072,123,96,2.0,0.2930448355866943,0.7804878048780488
strict_core,arpls_minmax,Mira-3,pSERS_Metrohm_silver,156,0.9910407918904803,0.929367458333534,345,303,1.5,0.1763669017144358,0.8782608695652174
strict_core,arpls_minmax,Pendar-1,NRC_Canadian_SERS,42,0.8649111019739821,0.8229313961397031,189,109,2.0,1.2556251541900219,0.5767195767195767
strict_core,arpls_minmax,Pendar-1,pSERS_Metrohm_silver,96,0.8610575418098021,0.7587068787487014,654,358,2.0,0.8292903108416898,0.5474006116207951
strict_core,arpls_minmax,Pendar-2,GaN_polymer,24,0.6902025172303725,0.6818384807133167,123,73,2.0,1.2737146283864884,0.5934959349593496
strict_core,arpls_minmax,Pendar-2,H_SERS_H_Kit,147,0.3808228331347942,0.4907076458252315,924,547,2.0,1.4589779158781242,0.591991341991342
strict_core,arpls_minmax,Pendar-2,pSERS_Metrohm_silver,123,0.5651419052556348,0.654504905935144,3093,872,2.0,1.285596999309122,0.28192693178144196
strict_core,arpls_minmax,Pendar-3,H_SERS_H_Kit,18,0.6327041693574926,0.609666544227998,300,109,2.0,1.4362839092635973,0.36333333333333334
strict_core,arpls_minmax,Pendar-3,NRC_Canadian_SERS,51,0.8203845070720998,0.7175981963587594,603,185,2.0,1.88519032089546,0.3067993366500829
strict_core,arpls_minmax,Pendar-3,pSERS_Metrohm_silver,141,0.895549135131909,0.6949238732352679,1824,631,2.0,1.175421839139564,0.34594298245614036
strict_core,arpls_minmax,RMX-1,GaN_polymer,6,0.9860189801073438,0.9858756637662888,45,45,1.0,0.0660571314013901,1.0
strict_core,arpls_minmax,RMX-1,H_SERS_H_Kit,96,0.986469701823768,0.9662322047526081,609,593,1.0,0.09271870479282995,0.9737274220032841
strict_core,arpls_minmax,RMX-1,NRC_Canadian_SERS,39,0.9900641990066223,0.9762541384953491,36,33,2.0,0.1308332288006132,0.9166666666666666
strict_core,arpls_minmax,RMX-2,NRC_Canadian_SERS,21,0.9570783741547884,0.9271906624835248,84,48,2.0,0.2562328745586077,0.5714285714285714
strict_core,arpls_minmax,RMX-2,pSERS_Metrohm_silver,174,0.8833356418125451,0.7864252925660832,3996,1137,2.0,0.8885949693420828,0.28453453453453453
strict_core,minimal_minmax,Agilent-1,NRC_Canadian_SERS,24,0.9766205581487857,0.9755889567398085,24,23,2.0,0.1621878893278526,0.9583333333333334
strict_core,minimal_minmax,Agilent-1,pSERS_Metrohm_silver,63,0.977678179193182,0.9713745178400123,132,115,2.0,0.1187045153445477,0.8712121212121212
strict_core,minimal_minmax,Agilent-3,GaN_polymer,18,0.98354759810588,0.9758715251024207,15,10,2.0,0.1249589441968578,0.6666666666666666
strict_core,minimal_minmax,Agilent-3,H_SERS_H_Kit,36,0.9761385413948079,0.9022495635374833,117,95,1.5,0.16543118922504685,0.811965811965812
strict_core,minimal_minmax,Agilent-3,NRC_Canadian_SERS,9,0.9472716536080222,0.9458113326365337,6,3,2.5,0.2226813602236976,0.5
strict_core,minimal_minmax,Agilent-3,pSERS_Metrohm_silver,156,0.9856222144888243,0.9486133640588209,450,395,1.25,0.10846386736919364,0.8777777777777778
strict_core,minimal_minmax,Mira-1,GaN_polymer,9,0.9523695985295332,0.9520301430789692,6,3,1.5,0.42268972292087903,0.5
strict_core,minimal_minmax,Mira-1,pSERS_Metrohm_silver,60,0.993203086000734,0.9646782848314771,192,166,1.0,0.18150773305063234,0.8645833333333334
strict_core,minimal_minmax,Mira-2,GaN_polymer,12,0.9872459441584213,0.9861282870575411,36,34,1.0,0.07763190160189035,0.9444444444444444
strict_core,minimal_minmax,Mira-2,H_SERS_H_Kit,162,0.9926901078253664,0.9889352427017718,519,501,1.0,0.11966881818325259,0.9653179190751445
strict_core,minimal_minmax,Mira-2,NRC_Canadian_SERS,48,0.997433319636682,0.9922120126452838,12,2,2.0,0.1198545189125415,0.16666666666666666
strict_core,minimal_minmax,Mira-2,pSERS_Metrohm_silver,3,0.9651354822080616,0.9690530184540291,9,0,,,0.0
strict_core,minimal_minmax,Mira-3,NRC_Canadian_SERS,60,0.9885210054367297,0.9785783463813046,15,5,2.0,0.3459286785515392,0.3333333333333333
strict_core,minimal_minmax,Mira-3,pSERS_Metrohm_silver,156,0.9975900017446417,0.991425314081051,105,99,1.0,0.1167147815680365,0.9428571428571428
strict_core,minimal_minmax,Pendar-1,NRC_Canadian_SERS,42,0.8906133553666635,0.8340300371050737,147,73,2.0,1.1081770795420895,0.4965986394557823
strict_core,minimal_minmax,Pendar-1,pSERS_Metrohm_silver,96,0.8656139776320629,0.8026363950215815,369,242,2.0,0.7432449042481324,0.6558265582655827
strict_core,minimal_minmax,Pendar-2,GaN_polymer,24,0.7340013780092941,0.7333406376219246,99,70,2.0,0.9797144292673994,0.7070707070707071
strict_core,minimal_minmax,Pendar-2,H_SERS_H_Kit,147,0.495629659274688,0.5796519643568593,705,439,2.0,1.0226394077919738,0.6226950354609929
strict_core,minimal_minmax,Pendar-2,pSERS_Metrohm_silver,123,0.6738241839973927,0.689760436059581,1806,678,2.0,1.010063242834489,0.3754152823920266
strict_core,minimal_minmax,Pendar-3,H_SERS_H_Kit,18,0.647178156290868,0.6552154249302332,147,78,2.0,0.951501836877688,0.5306122448979592
strict_core,minimal_minmax,Pendar-3,NRC_Canadian_SERS,51,0.817027343186199,0.7558469769842752,414,142,2.5,1.7258343619988734,0.34299516908212563
strict_core,minimal_minmax,Pendar-3,pSERS_Metrohm_silver,141,0.8863425788072624,0.7382267582249737,1107,505,2.0,1.070052942463996,0.4561878952122855
strict_core,minimal_minmax,RMX-1,GaN_polymer,6,0.9905943556623368,0.9904303309481017,36,35,1.5,0.07482419084591264,0.9722222222222222
strict_core,minimal_minmax,RMX-1,H_SERS_H_Kit,96,0.9862911499495892,0.9782155378381666,510,498,1.0,0.1167282005444575,0.9764705882352941
strict_core,minimal_minmax,RMX-1,NRC_Canadian_SERS,39,0.9935118831590064,0.988998228724835,15,15,2.25,0.20553580103215896,1.0
strict_core,minimal_minmax,RMX-2,NRC_Canadian_SERS,21,0.9819021831333768,0.9837766855151855,45,30,2.75,0.24168201353275034,0.6666666666666666
strict_core,minimal_minmax,RMX-2,pSERS_Metrohm_silver,174,0.9801669021656572,0.9724267610544851,996,479,2.0,0.6168389606885445,0.48092369477911645
