source,display_model,scenario,outer_fold,subset,representation,model_family,model,seed,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,same_master_pair_count,different_target_pair_count
standard100,VAE-100 β=1,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,2718,0.9224108691449666,0.5080324348537607,-0.4143784342912059,0.5610862106596343,0.05305377580587356,25,190
standard100,VAE-100 β=1,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,3141,0.9224108691449666,0.44891549932081576,-0.47349536982415086,0.511105182676091,0.062189683355275194,25,190
adequacy500,VAE-500 β=0.25,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,1729,,,,0.5095969532844622,,0,26
adequacy500,VAE-500 β=0.25,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,2718,,,,0.4705779344557775,,0,26
adequacy500,VAE-500 β=0.25,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,3141,,,,0.4524333905770685,,0,26
adequacy500,VAE-500 β=0.25,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,1729,0.8443594920931992,0.4373558133801073,-0.40700367871309184,0.5104037641063632,0.07304795072625592,8,54
adequacy500,VAE-500 β=0.25,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,2718,0.8443594920931992,0.5064799408420002,-0.33787955125119895,0.5423291257635623,0.03584918492156208,8,54
adequacy500,VAE-500 β=0.25,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,3141,0.8443594920931992,0.47697437628328987,-0.3673851158099093,0.5156912789652517,0.03871690268196182,8,54
adequacy500,VAE-500 β=0.25,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,1729,0.8672218180964251,0.3238028365461528,-0.5434189815502724,0.3388772647947989,0.015074428248646132,14,136
adequacy500,VAE-500 β=0.25,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,2718,0.8672218180964251,0.33280064978042895,-0.5344211683159961,0.3627291986760473,0.029928548895618357,14,136
