station,recipe_id,seed,validation_mode,fitting_masters,validation_masters,fitting_spectra,validation_spectra,epochs,best_epoch,optimizer_steps,training_ba,validation_ba,validation_macro_f1,validation_nll,predicted_classes,seconds,peak_cuda_bytes,first_ce,last_ce,supcon_available_batches,paired_available_batches
cwa,D3,20260817,pseudo_domain,12,6,42,12,30,1,120,0.3333333333333333,0.3333333333333333,0.09523809523809523,1.1122335739676814,1,2.588969188000192,144254976,1.1085308194160461,0.22887246310710907,120,120
cwa,D3,20260829,pseudo_domain,12,6,42,12,46,26,184,0.8114478114478114,0.5333333333333333,0.41111111111111115,2.1442206066494225,3,4.120630845005508,144254976,1.0836780667304993,0.13696091435849667,184,184
pills,D0-M,20260805,master_cv,11,5,96,41,74,54,296,0.9592196363029696,0.8590686274509803,0.8481973434535104,0.3956794764841942,3,4.853128218994243,147855872,1.0638566613197327,0.1663064006716013,0,0
pills,D0-M,20260817,master_cv,11,5,96,41,72,52,288,0.981981981981982,0.8774509803921569,0.8633648311067667,0.4410088395284998,3,4.538266256000497,147855872,1.0784582495689392,0.06151570158544928,0,0
pills,D0-M,20260829,master_cv,11,5,96,41,61,41,244,0.8809955789122457,0.7965686274509803,0.7684587813620073,0.6063462066028829,3,3.7927444409870077,147855872,1.0911709666252136,0.14610238000750542,0,0
pills,D1,20260805,master_cv,11,5,96,41,83,63,332,0.959740990990991,0.8995098039215685,0.8734436898698359,0.4150916129886458,3,6.273760044001392,147947008,1.0844860076904297,0.1483361665159464,332,0
pills,D1,20260817,master_cv,11,5,96,41,59,39,236,0.948802969636303,0.8578431372549019,0.863220439691028,0.32117848649483965,3,4.461927373005892,147947008,1.0949800312519073,0.05423372890800238,236,0
pills,D1,20260829,master_cv,11,5,96,41,86,66,344,0.9311916082749416,0.8995098039215685,0.8975038402457757,0.36637898244317246,3,6.4443229919997975,147947008,1.1080229580402374,0.09365820465609431,344,0
pills,D2,20260805,master_cv,11,5,96,41,61,41,244,0.9383863029696363,0.8786764705882352,0.8633648311067667,0.3271791512638365,3,5.186666779991356,147856896,1.0745363235473633,0.06122754421085119,0,244
pills,D2,20260817,master_cv,11,5,96,41,60,40,240,0.9682286453119785,0.9215686274509803,0.9073762838468721,0.4092076836858134,3,5.027301864000037,147856896,1.0892907977104187,0.18134496686980128,0,240
pills,D2,20260829,master_cv,11,5,96,41,53,33,212,0.9094302635969304,0.8186274509803922,0.7951089845826688,0.4972620052471014,3,4.675009591010166,147856896,1.1020233929157257,0.18349030800163746,0,212
pills,D3,20260805,master_cv,11,5,96,41,74,54,296,0.9592196363029696,0.9607843137254902,0.9494578134284017,0.3126367919643508,3,7.30121641200094,147947520,1.0841149985790253,0.08458152413368225,296,296
pills,D3,20260817,master_cv,11,5,96,41,59,39,236,0.9682286453119785,0.9215686274509803,0.9073762838468721,0.3521167794178001,3,6.1942355610080995,147947520,1.0949699580669403,0.044405112974345684,236,236
pills,D3,20260829,master_cv,11,5,96,41,122,102,488,0.9895833333333334,0.9203431372549019,0.9004629629629629,0.4543193462867281,3,12.56647035300557,147947520,1.1083282828330994,0.05046666436828673,488,488
surfaces,D0-M,20260805,pseudo_domain,7,11,15,15,30,5,120,1.0,0.40740740740740744,0.32634032634032634,2.748724219979326,3,1.6457561690040166,114105344,1.0667112469673157,0.0011590890644583851,0,0
surfaces,D0-M,20260817,pseudo_domain,7,11,15,15,50,30,200,1.0,0.4444444444444444,0.38888888888888884,3.6704793592923095,3,2.6944560179981636,114105344,1.0539035201072693,0.0007044298963592155,0,0
surfaces,D0-M,20260829,pseudo_domain,7,11,15,15,30,1,120,0.6944444444444443,0.4444444444444444,0.38888888888888884,1.0725466843388942,3,1.73604872400756,114105344,1.057735651731491,0.0015289550137822516,0,0
surfaces,D1,20260805,pseudo_domain,7,11,15,15,33,13,132,1.0,0.3703703703703704,0.2571428571428571,3.8167680812670657,3,2.145980896995752,114193920,1.099769502878189,0.000973530623014085,132,0
surfaces,D1,20260817,pseudo_domain,7,11,15,15,30,2,120,0.3703703703703704,0.5740740740740741,0.4026936026936027,1.0872194622432751,3,1.9412330519990064,114193920,1.1016981899738312,0.002483122400008142,120,0
surfaces,D1,20260829,pseudo_domain,7,11,15,15,30,9,120,0.9629629629629629,0.4444444444444444,0.38888888888888884,1.0682280326117994,3,1.910516985997674,114193920,1.0969612300395966,0.006308419397100806,120,0
surfaces,D2,20260805,pseudo_domain,7,11,15,15,30,6,120,1.0,0.40740740740740744,0.3116883116883117,2.8342260323855966,3,2.005967185003101,114106368,1.0766944289207458,0.0012739376907120459,0,120
surfaces,D2,20260817,pseudo_domain,7,11,15,15,31,11,124,1.0,0.40740740740740744,0.32634032634032634,4.325896633053252,3,2.1095227299956605,114106368,1.0744134187698364,0.0017095439543481916,0,124
surfaces,D2,20260829,pseudo_domain,7,11,15,15,30,2,120,0.7592592592592592,0.4444444444444444,0.3717948717948718,1.0413868174214136,3,2.054298582006595,114106368,1.078808307647705,0.0012644301823456772,0,120
surfaces,D3,20260805,pseudo_domain,7,11,15,15,33,13,132,1.0,0.40740740740740744,0.32634032634032634,3.5353691693014335,3,2.507385933000478,114194432,1.1003227233886719,0.0007938676935737021,132,132
surfaces,D3,20260817,pseudo_domain,7,11,15,15,30,1,120,0.40740740740740744,0.47222222222222215,0.4318181818181818,1.0687425096311007,3,2.260897065003519,114194432,1.1023969650268555,0.0023780297487974167,120,120
surfaces,D3,20260829,pseudo_domain,7,11,15,15,30,9,120,0.7962962962962963,0.48148148148148145,0.44755244755244755,1.0548534815858057,3,2.220041748994845,114194432,1.098642259836197,0.006151641020551324,120,120
