evaluation,subset,domain_type,protocol,model,mean_balanced_accuracy,ci95_half_width,independent_unit,n_units,representation
domain_transfer,quality_pass,sensor_family,domain_only,VAE-100 β=1,0.3495847378576732,0.2891863764718373,heldout_domain,4,
domain_transfer,strict_core,instrument,domain_and_sample,VAE-100 β=1,0.5574903917025816,0.2085745401118295,heldout_domain,10,
domain_transfer,strict_core,sensor_family,domain_and_sample,VAE-100 β=1,0.6239116819999172,0.9837200744793876,heldout_domain,3,
domain_transfer,strict_core,instrument,domain_only,VAE-100 β=1,0.6057289226176831,0.1332046443915581,heldout_domain,10,
domain_transfer,strict_core,sensor_family,domain_only,VAE-100 β=1,0.3850363235867932,0.2441594876746169,heldout_domain,4,
outer,field_quality_stress,,grouped_outer_fold,VAE-500 β=0.25,0.36854497354497345,0.17910148603754844,outer_fold,5,arpls_minmax
outer,field_quality_stress,,grouped_outer_fold,VAE-500 β=0.25,0.39656084656084656,0.18351825147608122,outer_fold,5,minimal_minmax
outer,quality_pass,,grouped_outer_fold,VAE-500 β=0.25,0.7444925693184927,0.06298438666839491,outer_fold,5,arpls_minmax
outer,quality_pass,,grouped_outer_fold,VAE-500 β=0.25,0.7296037133958023,0.038613751978216336,outer_fold,5,minimal_minmax
outer,strict_core,,grouped_outer_fold,VAE-500 β=0.25,0.70623583291988,0.06370077730492318,outer_fold,5,arpls_minmax
outer,strict_core,,grouped_outer_fold,VAE-500 β=0.25,0.6881454044544923,0.07465734109226066,outer_fold,5,minimal_minmax
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,VAE-500 β=0.25,0.7877777777777778,0.3355773064127898,substrate_family_descriptive_not_independent_preparation,4,arpls_minmax
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,VAE-500 β=0.25,0.8077777777777777,0.28676919446562105,substrate_family_descriptive_not_independent_preparation,4,minimal_minmax
domain_transfer,quality_pass,instrument,domain_and_sample,VAE-500 β=0.25,0.5930907765074431,0.19144523074164538,heldout_domain,10,arpls_minmax
domain_transfer,quality_pass,sensor_family,domain_and_sample,VAE-500 β=0.25,0.3776285442952109,2.0435769522093477,heldout_domain,2,arpls_minmax
domain_transfer,quality_pass,instrument,domain_only,VAE-500 β=0.25,0.647281480393921,0.14596384069459822,heldout_domain,10,arpls_minmax
domain_transfer,quality_pass,sensor_family,domain_only,VAE-500 β=0.25,0.37207791381406213,0.271635984108516,heldout_domain,4,arpls_minmax
domain_transfer,strict_core,instrument,domain_and_sample,VAE-500 β=0.25,0.5963743005778698,0.1762452341926744,heldout_domain,10,arpls_minmax
domain_transfer,strict_core,sensor_family,domain_and_sample,VAE-500 β=0.25,0.5843171534348004,0.9580268765661751,heldout_domain,3,arpls_minmax
domain_transfer,strict_core,instrument,domain_only,VAE-500 β=0.25,0.6336339694148698,0.12537267183998652,heldout_domain,10,arpls_minmax
domain_transfer,strict_core,sensor_family,domain_only,VAE-500 β=0.25,0.42343308761156945,0.32840139692606296,heldout_domain,4,arpls_minmax
