evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row236,0.0019256139511955766,0.0009628069755977883,0.07398213841255051,0.9601065585081335,0.002815132403214063,9,7,0,0,3.0,0.28942163193112036,0.03657771646976471
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row242,0.02574650444906038,0.01287325222453019,0.18498291777709502,0.699862846626398,0.012464043652364904,27,10,0,0,3.5,0.6389289533123234,0.17436529137194157
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row245,0.0011559970538650188,0.0005779985269325094,0.069602558741115,0.9674657022055934,0.0032303692264914778,11,7,0,0,1.0,0.2952514254136496,0.03894938761368394
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row249,0.0030702717402150814,0.0015351358701075407,0.11112336068968239,0.901458145631503,0.006367451599975799,15,6,0,0,1.0,0.2901004172597031,0.06131771160289645
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row253,0.0017066490999964737,0.0008533245499982369,0.07077934162728045,0.9645437417924125,0.0029336830248524034,10,7,0,0,3.0,0.25893082265215417,0.030456667765975
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row256,0.0016320642951233198,0.0008160321475616599,0.06917423763041307,0.965630092965463,0.0032658875627027684,11,8,0,0,2.0,0.2259167235069856,0.020089246972929686
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row259,0.020317314069991585,0.010158657034995792,0.18014764650362194,0.7061410966572175,0.011669027696438466,27,6,0,0,2.5,0.9824590078770572,0.19787045381963253
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row262,0.02449049756284046,0.01224524878142023,0.19676061181260576,0.6997762932227556,0.010860957095739131,21,7,0,0,2.0,0.7445443854011071,0.04573867705767043
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row265,0.024828983094206804,0.012414491547103402,0.1801181799549686,0.6720151888854669,0.012605361560625689,28,8,0,0,3.5,0.46346450653067756,0.05334694869816303
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row268,0.008139833504039356,0.004069916752019678,0.13265104267061428,0.8444137417820937,0.008053687098602364,19,8,0,0,1.5,0.6214861806935491,0.0943742641247809
