stage,scenario,representation,seed,instrument,sensor_family,observations,supported_observations,correct_supported,mean_confidence,accuracy_supported
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,2718,Mira-2,GaN_polymer,4,0,0,0.7431576316218038,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,2718,Mira-2,H_SERS_H_Kit,53,0,0,0.8067248634296874,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,2718,Mira-2,NRC_Canadian_SERS,16,2,0,0.9248398630219714,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,2718,Mira-2,pSERS_Metrohm_silver,1,1,0,0.9518268832172267,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,3141,Mira-2,GaN_polymer,4,0,0,0.8511788526647763,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,3141,Mira-2,H_SERS_H_Kit,53,0,0,0.8314270695905683,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,3141,Mira-2,NRC_Canadian_SERS,16,2,0,0.9200006734266465,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,3141,Mira-2,pSERS_Metrohm_silver,1,1,0,0.9495117444950752,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,1729,Mira-3,NRC_Canadian_SERS,20,10,1,0.6300389494574926,0.1
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,1729,Mira-3,pSERS_Metrohm_silver,51,31,18,0.7124273796099253,0.5806451612903226
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,2718,Mira-3,NRC_Canadian_SERS,20,10,1,0.7081456968411921,0.1
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,2718,Mira-3,pSERS_Metrohm_silver,51,31,19,0.756364454909187,0.6129032258064516
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,3141,Mira-3,NRC_Canadian_SERS,20,10,0,0.6380541537604775,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,arpls_minmax,3141,Mira-3,pSERS_Metrohm_silver,51,31,17,0.6576224467795458,0.5483870967741935
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,1729,Pendar-1,NRC_Canadian_SERS,10,4,1,0.6363265039385428,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,1729,Pendar-1,pSERS_Metrohm_silver,30,19,18,0.870325265458467,0.9473684210526315
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,2718,Pendar-1,NRC_Canadian_SERS,10,4,1,0.5775648277292417,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,2718,Pendar-1,pSERS_Metrohm_silver,30,19,17,0.8741194110056875,0.8947368421052632
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,3141,Pendar-1,NRC_Canadian_SERS,10,4,1,0.5834831595653772,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-1,arpls_minmax,3141,Pendar-1,pSERS_Metrohm_silver,30,19,18,0.9119642121252884,0.9473684210526315
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,1729,Pendar-2,GaN_polymer,3,0,0,0.9399942993151961,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,1729,Pendar-2,H_SERS_H_Kit,7,0,0,0.9105322106193894,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,1729,Pendar-2,pSERS_Metrohm_silver,32,17,17,0.8955940237867088,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,2718,Pendar-2,GaN_polymer,3,0,0,0.9873350772551704,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,2718,Pendar-2,H_SERS_H_Kit,7,0,0,0.9808609491170787,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,2718,Pendar-2,pSERS_Metrohm_silver,32,17,17,0.9047776845695357,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,3141,Pendar-2,GaN_polymer,3,0,0,0.9331785517768475,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,3141,Pendar-2,H_SERS_H_Kit,7,0,0,0.9148710509791572,
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-2,arpls_minmax,3141,Pendar-2,pSERS_Metrohm_silver,32,17,17,0.9118348770618744,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,1729,Pendar-3,H_SERS_H_Kit,2,2,1,0.9456238379877799,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,1729,Pendar-3,NRC_Canadian_SERS,7,7,1,0.5303466194803744,0.14285714285714285
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,1729,Pendar-3,pSERS_Metrohm_silver,33,32,27,0.8271102520963859,0.84375
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,2718,Pendar-3,H_SERS_H_Kit,2,2,1,0.976993816756453,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,2718,Pendar-3,NRC_Canadian_SERS,7,7,0,0.5354103368345122,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,2718,Pendar-3,pSERS_Metrohm_silver,33,32,27,0.8168713470384481,0.84375
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,3141,Pendar-3,H_SERS_H_Kit,2,2,1,0.9162937984063708,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,3141,Pendar-3,NRC_Canadian_SERS,7,7,1,0.5219950522022188,0.14285714285714285
domain,domain__quality_pass__domain_and_sample__instrument__Pendar-3,arpls_minmax,3141,Pendar-3,pSERS_Metrohm_silver,33,32,26,0.7828288416248725,0.8125
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,1729,RMX-1,GaN_polymer,2,0,0,0.6301435313280445,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,1729,RMX-1,H_SERS_H_Kit,31,14,10,0.6501586402434868,0.7142857142857143
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,1729,RMX-1,NRC_Canadian_SERS,12,6,0,0.6996386174385033,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,2718,RMX-1,GaN_polymer,2,0,0,0.5261767529075383,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,2718,RMX-1,H_SERS_H_Kit,31,14,10,0.6639154257461307,0.7142857142857143
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,2718,RMX-1,NRC_Canadian_SERS,12,6,0,0.6253582627258613,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,3141,RMX-1,GaN_polymer,2,0,0,0.7116511132054921,
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,3141,RMX-1,H_SERS_H_Kit,31,14,12,0.6753167504657228,0.8571428571428571
domain,domain__quality_pass__domain_and_sample__instrument__RMX-1,arpls_minmax,3141,RMX-1,NRC_Canadian_SERS,12,6,0,0.7908472770458171,0.0
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,1729,RMX-2,NRC_Canadian_SERS,6,6,2,0.63472979969776,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,1729,RMX-2,pSERS_Metrohm_silver,58,58,35,0.7989621284400878,0.603448275862069
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,2718,RMX-2,NRC_Canadian_SERS,6,6,1,0.7326204215356863,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,2718,RMX-2,pSERS_Metrohm_silver,58,58,35,0.81191390782575,0.603448275862069
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,3141,RMX-2,NRC_Canadian_SERS,6,6,1,0.6705636270115702,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__RMX-2,arpls_minmax,3141,RMX-2,pSERS_Metrohm_silver,58,58,35,0.8052685350704828,0.603448275862069
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,1729,Agilent-3,GaN_polymer,6,6,1,0.5611640342405263,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,1729,Mira-1,GaN_polymer,3,3,3,0.7743386677074295,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,1729,Mira-2,GaN_polymer,4,4,0,0.7609651868375561,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,1729,Pendar-2,GaN_polymer,3,3,2,0.8097378949880154,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,1729,RMX-1,GaN_polymer,2,2,2,0.7771832611953631,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,2718,Agilent-3,GaN_polymer,6,6,3,0.6258278619627572,0.5
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,2718,Mira-1,GaN_polymer,3,3,3,0.8927505406396051,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,2718,Mira-2,GaN_polymer,4,4,0,0.753449052395139,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,2718,Pendar-2,GaN_polymer,3,3,3,0.7893308223152887,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,2718,RMX-1,GaN_polymer,2,2,1,0.7178682393132403,0.5
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,3141,Agilent-3,GaN_polymer,6,6,2,0.6505756075191266,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,3141,Mira-1,GaN_polymer,3,3,1,0.8036313644046928,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,3141,Mira-2,GaN_polymer,4,4,0,0.85989124183534,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,3141,Pendar-2,GaN_polymer,3,3,3,0.7887631904439387,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__GaN_polymer,arpls_minmax,3141,RMX-1,GaN_polymer,2,2,2,0.8879192109509634,1.0
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,1729,Agilent-3,H_SERS_H_Kit,11,0,0,0.715751774780985,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,1729,Mira-2,H_SERS_H_Kit,53,0,0,0.7064672059196102,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,1729,Pendar-2,H_SERS_H_Kit,7,0,0,0.9020489051486951,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,1729,Pendar-3,H_SERS_H_Kit,2,0,0,0.9111756660511281,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,1729,RMX-1,H_SERS_H_Kit,31,0,0,0.7718073031463198,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,2718,Agilent-3,H_SERS_H_Kit,11,0,0,0.8038430427350179,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,2718,Mira-2,H_SERS_H_Kit,53,0,0,0.7346039370510087,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,2718,Pendar-2,H_SERS_H_Kit,7,0,0,0.7265458860472466,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,2718,Pendar-3,H_SERS_H_Kit,2,0,0,0.8117078675839011,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,2718,RMX-1,H_SERS_H_Kit,31,0,0,0.815313019277273,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,3141,Agilent-3,H_SERS_H_Kit,11,0,0,0.7656846197024015,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,3141,Mira-2,H_SERS_H_Kit,53,0,0,0.7156887680379541,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,3141,Pendar-2,H_SERS_H_Kit,7,0,0,0.548200049370882,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,3141,Pendar-3,H_SERS_H_Kit,2,0,0,0.49433398062760214,
domain,domain__quality_pass__domain_and_sample__sensor_family__H_SERS_H_Kit,arpls_minmax,3141,RMX-1,H_SERS_H_Kit,31,0,0,0.6770926892278389,
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Agilent-1,NRC_Canadian_SERS,8,6,0,0.630687903655621,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Agilent-3,NRC_Canadian_SERS,3,3,0,0.5754020198386921,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Mira-2,NRC_Canadian_SERS,16,16,7,0.6280653470543167,0.4375
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Mira-3,NRC_Canadian_SERS,20,10,0,0.7686367977912121,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Pendar-1,NRC_Canadian_SERS,10,4,1,0.6382333982255023,0.25
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,Pendar-3,NRC_Canadian_SERS,7,7,0,0.7392954601226895,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,RMX-1,NRC_Canadian_SERS,12,12,3,0.7734440893929216,0.25
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,1729,RMX-2,NRC_Canadian_SERS,6,6,1,0.6859612083157499,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Agilent-1,NRC_Canadian_SERS,8,6,0,0.9395926181200668,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Agilent-3,NRC_Canadian_SERS,3,3,1,0.7130461667380342,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Mira-2,NRC_Canadian_SERS,16,16,6,0.7300330393747976,0.375
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Mira-3,NRC_Canadian_SERS,20,10,1,0.8265235258534128,0.1
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Pendar-1,NRC_Canadian_SERS,10,4,0,0.7223593067628034,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,Pendar-3,NRC_Canadian_SERS,7,7,0,0.6432226295127911,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,RMX-1,NRC_Canadian_SERS,12,12,2,0.8476247584040313,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,2718,RMX-2,NRC_Canadian_SERS,6,6,2,0.7023048341643029,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Agilent-1,NRC_Canadian_SERS,8,6,0,0.6347518862744841,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Agilent-3,NRC_Canadian_SERS,3,3,0,0.5700271552669908,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Mira-2,NRC_Canadian_SERS,16,16,7,0.8511084196221188,0.4375
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Mira-3,NRC_Canadian_SERS,20,10,1,0.6646103257432361,0.1
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Pendar-1,NRC_Canadian_SERS,10,4,0,0.7090795714683118,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,Pendar-3,NRC_Canadian_SERS,7,7,0,0.7540294542309074,0.0
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,RMX-1,NRC_Canadian_SERS,12,12,2,0.6522478670893975,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__NRC_Canadian_SERS,arpls_minmax,3141,RMX-2,NRC_Canadian_SERS,6,6,1,0.6826656702497735,0.16666666666666666
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Agilent-1,pSERS_Metrohm_silver,21,0,0,0.808360353151737,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Agilent-3,pSERS_Metrohm_silver,52,0,0,0.8458059624527288,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Mira-1,pSERS_Metrohm_silver,18,0,0,0.7512169128308543,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Mira-2,pSERS_Metrohm_silver,1,0,0,0.9068398923587264,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Mira-3,pSERS_Metrohm_silver,51,0,0,0.7993425876647455,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Pendar-1,pSERS_Metrohm_silver,30,0,0,0.8268542204114867,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Pendar-2,pSERS_Metrohm_silver,32,0,0,0.8180587313199295,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,Pendar-3,pSERS_Metrohm_silver,33,0,0,0.7862628359743739,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,1729,RMX-2,pSERS_Metrohm_silver,58,0,0,0.8245263615102446,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Agilent-1,pSERS_Metrohm_silver,21,0,0,0.888267882810141,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Agilent-3,pSERS_Metrohm_silver,52,0,0,0.9809479600196316,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Mira-1,pSERS_Metrohm_silver,18,0,0,0.9135864542429162,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Mira-2,pSERS_Metrohm_silver,1,0,0,0.986883999312152,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Mira-3,pSERS_Metrohm_silver,51,0,0,0.7765547878310525,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Pendar-1,pSERS_Metrohm_silver,30,0,0,0.8918793096276327,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Pendar-2,pSERS_Metrohm_silver,32,0,0,0.8309107821552043,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,Pendar-3,pSERS_Metrohm_silver,33,0,0,0.9471987780502513,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,2718,RMX-2,pSERS_Metrohm_silver,58,0,0,0.8872307203382305,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Agilent-1,pSERS_Metrohm_silver,21,0,0,0.8287508093689508,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Agilent-3,pSERS_Metrohm_silver,52,0,0,0.900952271342912,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Mira-1,pSERS_Metrohm_silver,18,0,0,0.7815831241081521,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Mira-2,pSERS_Metrohm_silver,1,0,0,0.9803717668014956,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Mira-3,pSERS_Metrohm_silver,51,0,0,0.7669957634991005,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Pendar-1,pSERS_Metrohm_silver,30,0,0,0.8461568153256156,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Pendar-2,pSERS_Metrohm_silver,32,0,0,0.8010358081646769,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,Pendar-3,pSERS_Metrohm_silver,33,0,0,0.905085769459259,
domain,domain__quality_pass__domain_and_sample__sensor_family__pSERS_Metrohm_silver,arpls_minmax,3141,RMX-2,pSERS_Metrohm_silver,58,0,0,0.8423296656098469,
domain,domain__quality_pass__domain_only__instrument__Agilent-1,arpls_minmax,1729,Agilent-1,NRC_Canadian_SERS,8,8,5,0.793394800047453,0.625
domain,domain__quality_pass__domain_only__instrument__Agilent-1,arpls_minmax,1729,Agilent-1,pSERS_Metrohm_silver,21,21,19,0.8747067534224515,0.9047619047619048
domain,domain__quality_pass__domain_only__instrument__Agilent-1,arpls_minmax,2718,Agilent-1,NRC_Canadian_SERS,8,8,4,0.7350942482305859,0.5
domain,domain__quality_pass__domain_only__instrument__Agilent-1,arpls_minmax,2718,Agilent-1,pSERS_Metrohm_silver,21,21,18,0.7834422824968167,0.8571428571428571
