held_out_substrate,feature,model,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1
PICO,smooth_snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.3333333333333333,0.3333333333333333,0.16666666666666666
PICO,smooth_snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.8533333333333334,0.8533333333333334,0.8458736163654197
PICO,smooth_snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.6666666666666666,0.6666666666666666,0.5555555555555555
PICO,derivative_1,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
PICO,derivative_1,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
PICO,derivative_1,linear_svm,200,75,"4np,benzenethiol,pyridine",0.84,0.84,0.8302207130730052
PICO,derivative_2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
PICO,derivative_2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
PICO,derivative_2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.8133333333333334,0.8133333333333334,0.8024225898933456
PICO,peak_emphasis,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.96,0.96,0.9598554797270173
PICO,peak_emphasis,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9732905982905984
PICO,peak_emphasis,linear_svm,200,75,"4np,benzenethiol,pyridine",0.8266666666666667,0.8266666666666667,0.8118308061382065
pSERS,snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991465
pSERS,snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
pSERS,snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
pSERS,smooth_snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9732905982905984
pSERS,smooth_snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9733279978658129
pSERS,smooth_snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9732905982905983
pSERS,derivative_1,nearest_centroid,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,derivative_1,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,derivative_1,linear_svm,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,derivative_2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,derivative_2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
pSERS,derivative_2,linear_svm,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,peak_emphasis,nearest_centroid,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,peak_emphasis,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0
pSERS,peak_emphasis,linear_svm,200,75,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462
