figure_id,scope,research_question_id,independent_unit,information_regime,panel,x_master_count,y_class_count,series,trace_group,y_label,x_domain,y_family_state,x_requested,y_fraction,x_trigger_count,y_candidate_count
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,cwa:RMX-1,unknown,3,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",pills:Agilent-1,known / unsupported,4,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",pills:Agilent-3,known / unsupported,5,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,pills:Mira-3,unknown,6,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",pills:Pendar-1,known / unsupported,7,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",pills:Pendar-3,known / unsupported,8,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,surfaces:Agilent-3,unknown,9,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",surfaces:Mira-1,known / unsupported,10,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,surfaces:Mira-1,unknown,11,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",surfaces:Pendar-2,known / unsupported,12,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",surfaces:Pendar-3,known / unsupported,13,1,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,surfaces:RMX-2,unknown,14,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,paired (total),total,100%,,,3,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,paired (total),total,100%,,,5,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,paired (total),total,100%,,,10,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,few-shot (per class),per_class,100%,,,1,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,few-shot (per class),per_class,100%,,,2,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,few-shot (per class),per_class,50%,,,3,0.5,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,few-shot (per class),per_class,4%,,,5,0.0384615384615,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,UDA (total),total,100%,,,3,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,UDA (total),total,100%,,,5,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,target_support,,,UDA (total),total,100%,,,10,1,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,qc_gates,,,fixed min,baseline,1,,,,,0,1
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,qc_gates,,,dual trigger,dual_trigger,108,,,,,2,108
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,qc_gates,,,single trigger,single_trigger,15,,,,,1,15
