comparison_model_id,aggregation_id,domain,estimate_d0_minus_classical_ba,lower_95,upper_95,probability_delta_above_zero,bootstrap_draws,bootstrap_seed,independent_physical_masters,figure_id,scope,research_question_id,population_id,population_spectra,population_physical_masters,preprocessing_policy_id,representation_id,information_regime
C-RBF-SVM,M01,surfaces:Agilent-3,0.010582010582,-0.0571428571429,0.0962996031746,0.61,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,surfaces:Mira-1,0.107070707071,-0.0524047619048,0.261904761905,0.9062,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,surfaces:Pendar-2,0.406363636364,0.277777777778,0.534546897547,1,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,surfaces:Pendar-3,0.000634920634921,-0.0560902777778,0.0761904761905,0.5544,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,surfaces:RMX-2,-0.00249042145594,-0.0783900724032,0.0925189284146,0.4772,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,__overall__,0.059908979909,0.0335789349539,0.0857913475413,1,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,cwa:Mira-2,-0.0558201058201,-0.178703703704,0.0789682539683,0.2006,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,cwa:Pendar-2,-0.0152116402116,-0.116825396825,0.0777810846561,0.39,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,cwa:RMX-1,0.0333333333333,-0.12225,0.19,0.6656,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,pills:Agilent-1,0.106666666667,0.0133333333333,0.2,0.9888,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,pills:Agilent-3,-0.04,-0.12,0,0,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,pills:Mira-3,0,0,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,pills:Pendar-1,0.0664285714286,-0.0285773809524,0.189761904762,0.8846,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,surfaces:Agilent-3,0.0285714285714,-0.0416666666667,0.104761904762,0.759,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,surfaces:Mira-1,0.133333333333,-0.0396825396825,0.295238095238,0.9354,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,surfaces:Pendar-2,0.384848484848,0.249090909091,0.518803030303,1,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,surfaces:Pendar-3,0.0666666666667,-0.0222222222222,0.172636904762,0.9032,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M06,surfaces:RMX-2,0.0866666666667,0.01,0.16,0.9868,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,__overall__,0.022365394421,-0.0167149188279,0.0573285628659,0.8608,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,cwa:Mira-2,-0.0772222222222,-0.206211948181,0.0265202621453,0.0764,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,cwa:Pendar-2,-0.0794708994709,-0.18030217569,0.00713001867414,0.0372,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,cwa:RMX-1,-0.057696969697,-0.197997402597,0.0548361330698,0.1566,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,pills:Agilent-1,0.0592424242424,-0.00121212121212,0.12778030303,0.9684,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,pills:Agilent-3,0.030303030303,-0.0680134680135,0.127407407407,0.7196,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,pills:Mira-3,0.00318279569892,-0.0114942528736,0.0168936651584,0.6658,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,pills:Pendar-1,0.0473544973545,-0.0286147875817,0.127641936607,0.7032,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,surfaces:Agilent-3,0.134391534392,0.00120827320827,0.358744588745,0.9754,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,surfaces:Mira-1,0.0148148148148,-0.268363095238,0.233333333333,0.539,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,surfaces:Pendar-2,0.1,0.0333333333333,0.161904761905,0.9992,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,surfaces:Pendar-3,0.0196825396825,-0.0457125420875,0.111111111111,0.7352,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M01,surfaces:RMX-2,0.112835249042,0.0312342790245,0.191213564214,0.9968,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,__overall__,-0.000229955229955,-0.0381912346912,0.0373436979687,0.4812,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,cwa:Mira-2,-0.300132275132,-0.471167328042,-0.121296296296,0.0012,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,cwa:Pendar-2,-0.0816137566138,-0.244576719577,0.0789847883598,0.161,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,cwa:RMX-1,-0.0111111111111,-0.171428571429,0.144444444444,0.4548,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,pills:Agilent-1,0,0,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,pills:Agilent-3,-0.04,-0.12,0,0,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,pills:Mira-3,0,0,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,pills:Pendar-1,0.0283333333333,-0.05,0.143333333333,0.6534,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,surfaces:Agilent-3,0.149206349206,0.0190476190476,0.373333333333,0.9972,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,surfaces:Mira-1,0.0190476190476,-0.274097222222,0.238888888889,0.5548,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,surfaces:Pendar-2,0.0666666666667,-0.0181818181818,0.157575757576,0.9324,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,surfaces:Pendar-3,0.0380952380952,-0.0388888888889,0.147103174603,0.7424,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RANDOM-FOREST,M06,surfaces:RMX-2,0.145185185185,0.0166439393939,0.285199494949,0.9864,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,__overall__,0.00542580519221,-0.0230576738955,0.0321211260117,0.617,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,cwa:Mira-2,-0.134206349206,-0.262611571199,-0.0295645139646,0.0044,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,cwa:Pendar-2,-0.091746031746,-0.187140540016,-0.00863617376775,0.0148,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,cwa:RMX-1,-0.0637575757576,-0.200112858275,0.0533815052701,0.1226,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,pills:Agilent-1,0.045303030303,0,0.102597222222,0.9686,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,pills:Agilent-3,-0.0181818181818,-0.116666666667,0.0555555555556,0.3338,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,pills:Mira-3,0.00369892473118,-0.00987654320988,0.0148148148148,0.7156,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,pills:Pendar-1,0.0167989417989,-0.0622222222222,0.100101283509,0.6156,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,surfaces:Agilent-3,0.0507936507937,-0.019696969697,0.148484848485,0.888,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,surfaces:Mira-1,0.0740740740741,-0.1,0.224074074074,0.7876,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,surfaces:Pendar-2,0.0666666666667,-0.00634920634921,0.136114130435,0.9612,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,surfaces:Pendar-3,-0.0422222222222,-0.0769230769231,0,0,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M01,surfaces:RMX-2,0.179980842912,0.0912132718819,0.269678425439,1,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,__overall__,0.00050431050431,-0.0271604922855,0.0294091695342,0.5304,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,cwa:Mira-2,-0.329232804233,-0.463898809524,-0.181875,0,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,cwa:Pendar-2,-0.0941798941799,-0.235201719577,0.0497453703704,0.1008,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,cwa:RMX-1,-0.0111111111111,-0.166666666667,0.148571428571,0.4462,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,pills:Agilent-1,0.0133333333333,0,0.04,0.664,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,pills:Agilent-3,-0.04,-0.12,0,0,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,pills:Mira-3,0,0,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,pills:Pendar-1,0.0283333333333,-0.05,0.143333333333,0.6562,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,surfaces:Agilent-3,0.0730158730159,0.0111111111111,0.161904761905,0.991,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,surfaces:Mira-1,0.0761904761905,-0.0904828042328,0.236672619048,0.8164,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,surfaces:Pendar-2,0.0545454545455,-0.0242424242424,0.139393939394,0.8914,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,surfaces:Pendar-3,-0.00952380952381,-0.0555555555556,0.0242424242424,0.2654,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-EXTRA-TREES,M06,surfaces:RMX-2,0.261851851852,0.146666666667,0.383333333333,1,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
