k,shot_unit,seed,held_out_substrate,prototype_mode,n_train_available,n_support,n_test,support_labels,support_substrates,support_counts,test_labels,accuracy,balanced_accuracy,macro_f1,true_label_macro_f1,final_loss
3,chemical_substrate,43,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.0,0.0,0.0,0.0,0.20000001788139343
3,chemical_substrate,43,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.8533333333333334,0.8533333333333334,0.83996558996559,0.83996558996559,0.0
3,chemical_substrate,43,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,44,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.6133333333333333,0.6133333333333333,0.5050125313283208,0.5050125313283208,0.0
3,chemical_substrate,44,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
3,chemical_substrate,44,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.9466666666666667,0.9466666666666667,0.9463231347289319,0.9463231347289319,0.0
3,chemical_substrate,44,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.004105593077838421
3,chemical_substrate,45,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.6533333333333333,0.6533333333333333,0.5458288578589331,0.5458288578589331,0.0
3,chemical_substrate,45,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,45,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,45,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,46,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.68,0.68,0.5702172223911354,0.5702172223911354,0.0
3,chemical_substrate,46,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.96,0.96,0.6527777777777778,0.9791666666666667,0.0
3,chemical_substrate,46,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.7733333333333333,0.7733333333333334,0.7437057138549675,0.7437057138549675,0.0
3,chemical_substrate,46,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
5,chemical_substrate,42,Ag,row_mean,200,40,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:5;4np/pSERS:5;benzenethiol/Au:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Au:5;pyridine/PICO:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.84,0.84,0.8357963875205255,0.8357963875205255,0.0
5,chemical_substrate,42,Au,row_mean,225,45,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:5;4np/PICO:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/PICO:5;pyridine/pSERS:5,"benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
5,chemical_substrate,42,PICO,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/Au:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.0
5,chemical_substrate,42,pSERS,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:5;4np/PICO:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/PICO:5;pyridine/Ag:5;pyridine/Au:5;pyridine/PICO:5,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.0005764350295066834
5,chemical_substrate,43,Ag,row_mean,200,40,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:5;4np/pSERS:5;benzenethiol/Au:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Au:5;pyridine/PICO:5;pyridine/pSERS:5,"4np,benzenethiol,pyridine",0.64,0.64,0.535894660894661,0.535894660894661,0.0
5,chemical_substrate,43,Au,row_mean,225,45,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:5;4np/PICO:5;4np/pSERS:5;benzenethiol/Ag:5;benzenethiol/PICO:5;benzenethiol/pSERS:5;pyridine/Ag:5;pyridine/PICO:5;pyridine/pSERS:5,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
