configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,14,1.0,0.03548326863851768,0.031867041517764524,5.066335643364104,0.0036162281537217016,0.03539319952067576,0.032323680739653735,4.300397069830644,0.003069519678679974
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,15,1.0,0.034939609319958466,0.031235381800508655,5.189622749555979,0.0037042275157430256,0.034722055965348296,0.031116693976678347,5.0511121649491155,0.0036053620021050076
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,16,1.0,0.03455871506439929,0.030214370715598397,6.0864263875594995,0.004344344316602069,0.034073589938251596,0.030345525023968596,5.223016774026971,0.003728063364758723
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,17,1.0,0.03339536310426447,0.028988866184819613,6.173502274696401,0.004406496984080229,0.0336309536899391,0.029861851271830105,5.280513336783962,0.0037691030241141766
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,18,1.0,0.032357042396305415,0.02800923672239512,6.091276402505028,0.004347806140260548,0.03290133817415489,0.028987358784989307,5.483486451600728,0.003913980336617222
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,19,1.0,0.03214051877919412,0.027480734573886886,6.528357499482616,0.0046597840824287055,0.03245161654133546,0.02832437506631801,5.782267364702727,0.004127242944113295
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,20,1.0,0.031145714013683084,0.026283975456230686,6.811295316708798,0.004861738270313203,0.031908484352262394,0.02752649901728881,6.139162625764546,0.004381986171138148
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,21,1.0,0.030303164009029503,0.02558083375854208,6.615985178789556,0.004722330605845508,0.031027759768460925,0.0270578625366876,5.561825902838456,0.0039698971469225245
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,22,1.0,0.0298002033389562,0.025053779144358163,6.649740768584195,0.004746424531466235,0.03069685493644915,0.026498853160362493,5.8814015288101995,0.004198002518779585
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,23,1.0,0.030030379651595426,0.024996776713539434,7.05207733129034,0.0050336026633050245,0.03037275495497804,0.025573269513092543,6.724080060657702,0.004799486124666454
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,24,1.0,0.02879973640357027,0.02355875940808397,7.3426093676232345,0.005240977421572615,0.03075861779874877,0.02577275641654667,6.985191074170564,0.004985860866645656
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,25,1.0,0.02884912978092961,0.023968516620776512,6.83773966025043,0.004880613604746916,0.029226057701989223,0.024926286426029707,6.023979483152691,0.00429977122280706
