stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row243,0.0065217559213811395,0.0032608779606905698,0.1089764196565281,0.9305750717735688,0.0060013007436646145,10,4,1,1,2.5,0.19730829808853367,0.16249520191922784
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row257,0.002778085632691509,0.0013890428163457545,0.050470784982905983,0.9795615416620805,0.004046319347440398,14,13,8,8,1.0,0.11299524372329466,0.072566919028759
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row261,0.01907753643024316,0.00953876821512158,0.11606133766044426,0.723242756023254,0.03668434158499752,114,16,9,7,2.0,2.2892507373136217,0.16558102518320084
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row39,0.0031095837688979795,0.0015547918844489898,0.07900506997467363,0.9104467496615211,0.018405233170903687,93,11,2,2,3.0,1.9545728188300184,0.08168886601924896
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row40,0.0011544404319484588,0.0005772202159742294,0.04170199461027606,0.9874676770079229,0.005597621096281468,19,12,4,4,1.0,0.11816978907732328,0.025369918905198574
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row41,0.0013323543009838505,0.0006661771504919252,0.039666757055853166,0.9834400127833938,0.0049009027277185984,10,5,2,2,3.0,0.3533066681694943,0.026080962270498276
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row42,0.026758106133881097,0.013379053066940549,0.12787341070624267,0.17814892553621753,0.061372955598469295,144,11,5,2,1.0,3.505611073058667,0.2388635128736496
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row47,0.004121050081157721,0.0020605250405788607,0.08489992759386145,0.854776259100027,0.01716794111361586,78,12,5,5,1.0,0.5981788375305529,0.08179014176130295
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row48,0.0008045530569438417,0.00040227652847192087,0.03844257077466827,0.9906480917767972,0.004070385670804951,10,7,2,2,1.0,0.2047515565208677,0.03828458674252033
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row90,0.0009316701387421328,0.0004658350693710664,0.03799892038617117,0.9886807339470187,0.00485679711082152,10,2,2,2,2.5,0.3144013228995017,0.03050387278199196
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row91,0.01976097386749857,0.009880486933749285,0.10545422085368111,0.5396686319234594,0.0555850619263947,145,15,11,1,3.0,7.411042450309685,0.09883025288581848
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row111,0.0013718097574674545,0.0006859048787337273,0.06838218800739426,0.968125081005011,0.00257309616621829,14,11,4,4,1.0,0.09316842340151886,0.06641204282641411
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row112,0.0018201392412343133,0.0009100696206171566,0.06583014849183524,0.9716884825277797,0.003702855702670474,15,9,6,5,2.0,0.0827956014948432,0.03751405654475093
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row115,0.00222945589564576,0.00111472794782288,0.09012128324000468,0.9414131805523853,0.002940406188801197,14,9,3,3,2.0,0.2432476268901756,0.07004388375207782
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row120,0.0018970459045352785,0.0009485229522676392,0.06126522421610224,0.9728621030877322,0.003991705719381571,16,8,5,4,1.0,0.10674991076151844,0.05265447869896889
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row190,0.002227479550298177,0.0011137397751490885,0.07713656231619988,0.925692816322113,0.011434319965275271,49,10,5,4,0.5,0.4100629198427048,0.03382217697799206
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row195,0.005051153376708579,0.0025255766883542897,0.07912838176099025,0.8396712507701867,0.021337031296789065,94,9,12,4,1.0,1.7778117451333522,0.07840973883867264
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row202,0.0025073694596661985,0.0012536847298330993,0.06373781812864351,0.9360906759054629,0.01057389222085476,35,8,5,5,2.0,0.18499097522614116,0.08240003511309624
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row203,0.0033054107434995275,0.0016527053717497638,0.0840643188290867,0.9099751811978507,0.014921089450695684,55,13,8,7,2.0,0.30614089886300944,0.08208120614290237
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row207,0.0016075857461299537,0.0008037928730649769,0.07416058126835427,0.9468279480993093,0.008790130343155136,24,8,6,6,1.0,0.0831939247580692,0.04907509312033653
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row213,0.007096574113556432,0.003548287056778216,0.07400450948279652,0.803221765268661,0.022418619133532047,108,11,9,4,1.0,3.5594504835742784,0.0914151519536972
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row215,0.01694505699647999,0.008472528498239994,0.09047684840774221,0.4122415443628015,0.0808723147519465,162,16,39,6,2.0,3.936405270389423,0.13822396099567413
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row216,0.007165750930403054,0.003582875465201527,0.05594756322191835,0.36538977890411756,0.038778161417160714,147,14,22,3,3.0,4.827083645860237,0.05640321969985962
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row218,0.00958488757916309,0.004792443789581545,0.08023346383043663,0.8421507669888654,0.03357711731855358,131,12,29,5,3.0,4.616010159959677,0.12713177502155304
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row223,0.018398579376780605,0.009199289688390302,0.10027420926085223,0.3783723718639973,0.055261410900524686,143,15,33,2,2.0,4.754726588415698,0.2105381339788437
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row225,0.02377230616841655,0.011886153084208276,0.11739951973804294,0.43389895960389774,0.05529296094327167,134,14,53,8,1.0,1.0116613662998803,0.24011052399873734
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row229,0.0037477517117628363,0.0018738758558814181,0.09097441400343949,0.8623152604341301,0.01872584571795804,91,11,10,4,2.0,0.4419296255185597,0.0749117024242878
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row287,0.0013641536235862932,0.0006820768117931466,0.038937651919467804,0.9909814815534558,0.0037853523425292225,11,10,7,7,1.0,0.14935250411684242,0.045047432417050004
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row292,0.0016955438708864436,0.0008477719354432218,0.04912232230021565,0.987221275314366,0.0031119898440531255,12,10,6,6,1.0,0.19514717578547225,0.0732207503169775
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row293,0.00218140718404976,0.00109070359202488,0.057144186128497455,0.9794071854853664,0.002758239382445546,10,10,6,6,1.0,0.07418609113241097,0.06731930078240111
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row299,0.006255293503961936,0.003127646751980968,0.07138892218225279,0.9102286803433024,0.011854618287512234,32,5,0,0,2.0,0.16066748973488307,0.038429901003837585
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row308,0.003148375247262602,0.001574187623631301,0.0642531170130263,0.9824347379832805,0.0034363722149282692,5,1,0,0,2.0,0.03506205283722918,0.04178226739168167
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row315,0.0021550239242356293,0.0010775119621178146,0.042466862320225916,0.982079923012751,0.00460341377183795,14,8,0,0,2.5,0.11306285546744119,0.04423562437295914
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row333,0.005161576428118952,0.002580788214059476,0.0804716478654159,0.9478586449089514,0.004542813720514199,7,6,2,2,1.5,0.3184719262404467,0.06110260961577296
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row335,0.0032344296031058,0.0016172148015529,0.067984215744076,0.954479015823567,0.0037173359947545188,12,9,3,3,2.0,0.184698076733224,0.06667572259902954
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row338,0.0040505508504875675,0.0020252754252437838,0.09507284946417374,0.9441247725044728,0.004300142421437028,15,7,4,4,1.0,0.26627617242419827,0.06964183680247515
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row347,0.001367074270464675,0.0006835371352323375,0.034617511868090214,0.9889386452805986,0.004361055178035583,12,7,3,2,3.0,0.18906703075211667,0.02559186890721321
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session2_row355,0.008318776468197144,0.004159388234098572,0.06759515119511361,0.7974075997851108,0.033251817056110924,126,14,2,0,2.5,1.8047466689695573,0.1499681994318962
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row3,0.00814493832294174,0.00407246916147087,0.10518916169335572,0.7802503866018481,0.022587798226491682,91,11,5,4,3.0,2.107683386293669,0.06542449444532394
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row11,0.012411039339097697,0.006205519669548848,0.15493016700105777,0.43125741103337883,0.024837616043431418,103,13,6,3,3.0,3.310423641294265,0.08518523722887039
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row15,0.02330585930318476,0.01165292965159238,0.10957004847888666,0.15996527838819766,0.0630252611583897,147,15,5,3,2.0,2.478723350900465,0.2567370533943176
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row29,0.00239487737606996,0.00119743868803498,0.06415498018675263,0.9684500899945707,0.00521675146650523,10,8,5,5,1.0,0.1509921845543566,0.03481883183121681
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row30,0.0016625859083004722,0.0008312929541502361,0.0607196988621615,0.9713822552827951,0.0024717110402083823,9,9,5,5,1.0,0.09176708070800492,0.021361351013183594
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row74,0.023764323544432666,0.011882161772216333,0.10839924306445917,0.21879925684803136,0.06119721785453813,154,17,10,4,2.0,6.748856229495412,0.14415815472602844
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row84,0.023476317780139914,0.011738158890069957,0.10401596590369186,0.20100801747877922,0.06321090892489467,147,16,8,4,2.5,4.169338052459864,0.23038989305496216
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row93,0.03233234334050921,0.016166171670254605,0.1279732709081607,0.18865668058940033,0.07305473550355861,149,19,14,6,2.0,4.021808759307238,0.3281499445438385
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row105,0.0037096112691632757,0.0018548056345816378,0.06370446408680755,0.9574355601438649,0.0062120514938474765,15,12,8,8,1.0,0.14391853490872664,0.03731684386730194
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row149,0.0015987132018475381,0.0007993566009237691,0.04320828140531549,0.9846100961019675,0.004221725701188136,9,4,4,3,3.0,0.2868306159906571,0.045356450602412224
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row154,0.0032253293373241984,0.0016126646686620992,0.06669195293337636,0.9677075359114566,0.008254669365207,14,10,7,6,1.5,0.25054563063004665,0.05593724548816681
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row169,0.0018054834422841645,0.0009027417211420822,0.04206900463466539,0.9851400535678776,0.004032679649868182,12,12,7,7,1.0,0.09641025433199604,0.04448804911226034
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row211,0.002909114672816996,0.001454557336408498,0.03079286277551849,0.6435670665880295,0.005976678667856114,11,8,1,1,3.0,0.5660540896497179,0.03566780686378479
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row217,0.002866372605903181,0.0014331863029515906,0.0852890723808819,0.9111315801712061,0.014303850125995398,62,11,4,4,2.0,0.22049977654057146,0.0614691823720932
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row224,0.014422644022762936,0.007211322011381468,0.09085603985327295,0.34750047632117637,0.05055459294069806,143,16,9,2,2.5,1.8602844752338803,0.142721489071846
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row225,0.0014254471427439764,0.0007127235713719882,0.044555047093463564,0.9843926713874761,0.005502026578677552,16,11,4,4,1.0,0.07220520840320183,0.024751359596848488
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row235,0.0016479696814235161,0.0008239848407117581,0.04449711196933556,0.9819344705588816,0.005563694866640228,15,4,1,1,1.5,0.37312575823788857,0.049322932958602905
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row256,0.0010977625391120143,0.0005488812695560072,0.06052230370557095,0.9744291459570122,0.002978908011600002,11,9,4,4,2.0,0.1955463591215777,0.019050295930355787
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row259,0.004009402819217826,0.002004701409608913,0.07502694913913495,0.9550136714352343,0.009087393665228904,27,9,3,2,2.0,0.6802071584206874,0.0731465071439743
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row263,0.01894401067302205,0.009472005336511024,0.10931697124952569,0.44394607333157066,0.039302431329020435,130,11,11,2,3.0,7.141550288976962,0.1455787718296051
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row268,0.0052718178151465985,0.0026359089075732992,0.1093504169255431,0.9019415800965545,0.007031320700854329,19,6,2,2,1.5,0.14545394662637845,0.07354600913822651
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row277,0.0024440915298618547,0.0012220457649309274,0.07565427861245902,0.9328895619574661,0.011542047708347646,39,11,2,2,1.0,0.2533904580577913,0.035132862627506256
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row286,0.006750794394977469,0.0033753971974887346,0.107687052480695,0.8786830995917536,0.014705214769512948,67,9,7,5,2.0,0.33694081217443383,0.11238980293273926
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row289,0.0005836376447962262,0.0002918188223981131,0.027267244217615765,0.995870252311754,0.003374102326010221,3,2,0,0,1.5,0.1497926690321828,0.02890812698751688
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row296,0.005259585104869523,0.0026297925524347613,0.058235601964491006,0.9080389509191371,0.024541293478437833,104,11,7,2,2.0,1.7868659401223455,0.12347482144832611
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session3_row297,0.0054703100874156545,0.0027351550437078273,0.0636789566872756,0.9184924922604544,0.02607751855094518,106,10,2,0,2.5,9.122778533997076,0.15481072291731834
