epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,fixed_epoch_count
31,0.4,0.021709526926279067,0.01744492895901203,14.936756439208985,0.010661496387729468,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
32,0.48,0.021745560765266417,0.01720794714987278,13.244158782958984,0.009453361015673793,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
33,0.56,0.022145422473549843,0.01760281279683113,11.364636421203613,0.00811180329850365,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
34,0.64,0.022637992575764657,0.01801585078239441,10.118157730102538,0.007222096880872619,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
35,0.72,0.022934579625725746,0.017450198382139206,10.671691780090333,0.007617196131399238,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
36,0.8,0.02305129498243332,0.01741873025894165,9.864028434753418,0.007040705520880384,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
37,0.88,0.023455697372555734,0.018084779977798462,8.550743598937988,0.006103314488892211,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
38,0.96,0.023367363810539245,0.01747581623494625,8.597976417541505,0.006137028135290153,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
39,1.0,0.02336319401860237,0.017976026386022567,7.547422065734863,0.005387167784250437,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
40,1.0,0.023002754598855972,0.01820419669151306,6.722779655456543,0.004798557926806954,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
41,1.0,0.023518858924508095,0.018419754430651664,7.143845901489258,0.005099104854738942,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
42,1.0,0.023127327039837837,0.017670716121792794,7.644712295532226,0.0054566112030922384,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
43,1.0,0.02268895134329796,0.01729185901582241,7.561325416564942,0.005397091660645926,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
44,1.0,0.02323796957731247,0.018228655382990837,7.018049545288086,0.005009314450598205,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
45,1.0,0.022582248747348786,0.01755936436355114,7.037060623168945,0.005022884099335436,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
46,1.0,0.0222613038867712,0.017348153293132784,6.883324165344238,0.004913150724728221,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
47,1.0,0.022137373983860016,0.017117987498641015,7.032160148620606,0.00501938625882984,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
48,1.0,0.021904094964265822,0.01663278490304947,7.3851057815551755,0.0052713103365847076,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
49,1.0,0.02162732556462288,0.016455415412783624,7.24584659576416,0.0051719104894819125,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
50,1.0,0.02176156796514988,0.016917608566582202,6.786387519836426,0.00484395968582186,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
51,0.0,0.01534634105861187,0.01534634105861187,7.590317344665527,0.005417785399475751,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
52,0.08,0.01493644542992115,0.014274449944496155,11.593203201293946,0.008274948751815807,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
53,0.16,0.015303254127502441,0.013423656597733497,16.45822692871094,0.011747485316710164,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
54,0.24,0.015760438591241835,0.012604982256889344,18.41997528076172,0.0131477339619998,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
55,0.32,0.016354935541749,0.012625991068780422,16.325786056518556,0.011652952217357999,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
56,0.4,0.016871318817138672,0.012990622408688068,13.59213752746582,0.00970173984829823,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
57,0.48,0.017305718138813972,0.012930937483906746,12.768890686035157,0.009114126114229234,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
58,0.56,0.017366871312260626,0.012859371341764927,11.276797866821289,0.00804910625754553,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
59,0.64,0.01828078128397465,0.014135656170547009,9.073938293457031,0.006476758239441135,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
60,0.72,0.01834122642874718,0.013958248272538186,8.528543434143067,0.006087468546854438,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
61,0.8,0.018757473677396774,0.013542613610625268,9.132524337768555,0.006518575544445792,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
62,0.88,0.018803416565060616,0.013290345221757888,8.777059745788574,0.00626485349449577,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
63,0.96,0.01984998017549515,0.014943997897207737,7.159668998718262,0.005110398999798902,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
64,1.0,0.01964819960296154,0.014750404059886932,6.861811332702636,0.0048977953837991695,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
65,1.0,0.019013254269957543,0.013791896849870682,7.315122261047363,0.005221357788042372,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
66,1.0,0.01983967624604702,0.014512318149209023,7.463628520965576,0.0053273579735657215,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
67,1.0,0.02010704204440117,0.014873259887099265,7.332528877258301,0.0052337822107482515,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
68,1.0,0.019471330493688585,0.013965904973447322,7.71310173034668,0.005505425931724968,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
69,1.0,0.019025599211454393,0.013827731907367706,7.2822119331359865,0.005197867189961447,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
70,1.0,0.01953158140182495,0.014719739481806755,6.741390953063965,0.004811842222029954,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
71,1.0,0.01875009149312973,0.01385703008621931,6.855179176330567,0.004893061510585701,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
72,1.0,0.019170397967100142,0.014529289864003658,6.502191486358643,0.004641107413532222,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
73,1.0,0.019254364371299744,0.014877222143113614,6.132377433776855,0.00437714306479433,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
74,1.0,0.018683890774846078,0.014089635126292705,6.436552734375,0.004594256055942184,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
75,1.0,0.018454571813344957,0.013587510883808137,6.818751831054687,0.004867060550360233,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
76,0.0,0.013101578503847123,0.013101578503847123,7.334016456604004,0.005234844008996434,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
77,0.08,0.012553449086844921,0.011928959004580974,10.936382675170899,0.007806126106474589,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
78,0.16,0.012978464961051941,0.011301236003637314,14.686237907409668,0.010482682303647158,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
79,0.24,0.013832891806960106,0.010973678417503834,16.69065704345703,0.01191338832509424,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
80,0.32,0.014700367003679276,0.010954144932329655,16.401427230834962,0.011706943062694477,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
81,0.4,0.015250086933374405,0.011141038462519647,14.391942939758302,0.01027262165578751,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
82,0.48,0.015692072436213494,0.011601869091391563,11.938281097412109,0.008521257028845187,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
83,0.56,0.015906116068363188,0.012008821964263916,9.750194358825684,0.006959453503801345,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
84,0.64,0.016292947083711623,0.012313299998641013,8.711697101593018,0.006218199215983595,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
85,0.72,0.016759897768497466,0.012156193442642689,8.958040618896485,0.006394033275443601,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
86,0.8,0.017163986414670943,0.012225981205701827,8.64768180847168,0.006172506644162512,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
87,0.88,0.01766137607395649,0.012798096239566802,7.742563152313233,0.005526454783949488,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
88,0.96,0.01882328525185585,0.01347091767936945,7.811112308502198,0.0055753835178459655,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
89,1.0,0.01786946378648281,0.012069205529987812,8.126161727905274,0.005800258192651873,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
90,1.0,0.018008592277765273,0.013058456033468247,6.935141563415527,0.004950136733344416,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
91,1.0,0.01826851062476635,0.013658110611140728,6.459169883728027,0.004610399631497521,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
92,1.0,0.018435540683567522,0.013276440389454365,7.227899837493896,0.0051591005264053505,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
93,1.0,0.018048036806285382,0.012911192737519742,7.196719150543213,0.0051368445043135,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
94,1.0,0.01823909468948841,0.013590038046240807,6.513328151702881,0.004649056496575932,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
95,1.0,0.017675020471215247,0.01289901215583086,6.691188106536865,0.004776008641353936,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
96,1.0,0.017481654807925226,0.01224565014243126,7.335642509460449,0.005236004646295824,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
97,1.0,0.01754001446068287,0.012610991336405277,6.905561294555664,0.004929023051074706,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
98,1.0,0.017057025507092476,0.012616181820631027,6.221621494293213,0.004440843322122208,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
99,1.0,0.01790989615023136,0.013324595391750335,6.424006423950195,0.004585300802248534,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
1,0.0,0.10951670736074448,0.10951670736074448,6.778596820831299,0.004838398872827479,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
2,0.08,0.09242764890193939,0.08587238103151322,114.799150390625,0.0819408639476267,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
3,0.16,0.07830443024635315,0.05181230664253235,231.97166748046874,0.1655757797862018,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
4,0.24,0.05873819813132286,0.04119645744562149,102.3999102783203,0.07309058549487531,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
5,0.32,0.047772539108991624,0.03985025852918625,34.684737548828124,0.024757128871397662,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
6,0.4,0.0433213309943676,0.03638963773846626,24.278252639770507,0.017329231006260177,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
7,0.48,0.04006215170025826,0.03464850127696991,15.801087799072265,0.011278435259866,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
8,0.56,0.03806836798787117,0.034737689048051835,8.332647171020508,0.005947642520357251,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
9,0.64,0.036841646581888196,0.03296625405550003,8.483477935791015,0.006055301881364036,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
10,0.72,0.0351262928545475,0.03212786003947258,5.834449768066406,0.004164489484701218,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
11,0.8,0.03500847637653351,0.031332888007164,6.436874618530274,0.004594485809086562,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
12,0.88,0.03457452639937401,0.03083623751997948,5.951525821685791,0.004248055547241821,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
13,0.96,0.034188340902328494,0.03023729495704174,5.766056900024414,0.004115672305513501,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
14,1.0,0.03316397830843926,0.02978924334049225,4.728003559112548,0.0033747348744557807,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
15,1.0,0.032554613649845125,0.028567600026726724,5.5858049392700195,0.003987012804618144,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
16,1.0,0.031951528415083884,0.02825570970773697,5.1778420639038085,0.0036958187465409055,Ag,400-1800_common,poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,99
