epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,fixed_epoch_count
19,1.0,0.030600656002234453,0.026004374116396424,6.439390689359804,0.004596281719742901,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
20,1.0,0.02978266419500338,0.024950942897263642,6.769241987607941,0.004831721618563841,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
21,1.0,0.029905234451783395,0.025365215897447516,6.360566038328694,0.004540018585530831,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
22,1.0,0.02919288638800908,0.024026643456680048,7.237906441580439,0.0051662429989867515,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
23,1.0,0.02909583977472872,0.024658149469559378,6.217204352169854,0.004437690472640867,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
24,1.0,0.029087773273213383,0.02427003524202844,6.749651493293513,0.004817738396355113,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
25,1.0,0.02851416511221857,0.023951836723261878,6.391822913431701,0.004562328988887724,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
26,0.0,0.023565068315498774,0.023565068315498774,8.116463118296126,0.0057933355590978775,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
27,0.08,0.02228557069783547,0.021108457889004378,20.61418883566292,0.014713910660715859,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
28,0.16,0.023132690310628347,0.02011626436649552,26.412578059083568,0.018852660998632097,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
29,0.24,0.02350800154585232,0.020013251606966147,20.400604658823468,0.014561459428139521,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
30,0.32,0.024058825958060377,0.020801591426509454,14.260579282150461,0.010178857446217318,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
31,0.4,0.024290895446084006,0.02092597678172348,11.785629282069747,0.008412297845874194,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
32,0.48,0.0249291460782815,0.021112369997450326,11.140216056285636,0.007951617456306664,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
33,0.56,0.025030949577614103,0.02073159632308207,10.756060014143399,0.007677416141429978,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
34,0.64,0.02576931394280054,0.02158737625054058,9.154524243448483,0.00653427854635866,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
35,0.72,0.02592512292398013,0.021353566540541217,8.895487045461044,0.00634938404386941,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
36,0.8,0.0264275321685322,0.021648719165502327,8.368896612892824,0.005973516497425285,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
37,0.88,0.026751050749038267,0.022041217820432685,7.498268371264941,0.005352083063001385,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
38,0.96,0.02729357946992521,0.022277215228272924,7.320756467824018,0.0052253793489107905,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
39,1.0,0.02807528958644164,0.023286227563804284,6.709476128633437,0.0047890621903165145,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
40,1.0,0.02690989805634136,0.02207139889317886,6.778736872396782,0.00483849883825609,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
41,1.0,0.026847571289396705,0.022279082382243288,6.4004535314718485,0.00456848931582573,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
42,1.0,0.02705548115318608,0.021739290872358857,7.447982310047678,0.005316190085687136,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
43,1.0,0.02673038309651148,0.022039384691405955,6.572088843328826,0.004690998460620147,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
44,1.0,0.026881841952051563,0.02219258938031623,6.569642999010062,0.004689252675952935,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
45,1.0,0.026440728056978818,0.021152064340278245,7.409417991974492,0.0052886638058347556,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
46,1.0,0.02608550428143076,0.021446593875248426,6.49911394407527,0.00463891073809798,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
47,1.0,0.026519828515892064,0.021496851316252043,7.037191018649853,0.005022977172483835,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
48,1.0,0.026206942669277828,0.0214177576510672,6.709647812831312,0.004789184734354969,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
49,1.0,0.02633237966831295,0.021039265078921763,7.415653396913927,0.005293114487447486,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
50,1.0,0.025809634767791786,0.0210764719224922,6.631161632105445,0.004733163192080975,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
51,0.0,0.02033909360035991,0.02033909360035991,8.953333367028224,0.0063906733526254275,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
52,0.08,0.020452641480853337,0.0192820596173218,20.499815789518188,0.01463227393969892,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
53,0.16,0.02079227280519171,0.018127373867769084,23.33452536537305,0.016655621245805174,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
54,0.24,0.02109050944503819,0.018102546604889767,17.442234490920676,0.01244984617481847,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
55,0.32,0.02134012607318028,0.017678062752902658,16.03297155750188,0.011443948292292562,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
56,0.4,0.021808571958684502,0.018201966711345788,12.63213486995745,0.009016513112032441,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
57,0.48,0.02211488099764066,0.01840898799956295,10.816574610750981,0.007720610000536032,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
58,0.56,0.02258598922707272,0.018382673130677988,10.515796349090653,0.007505921733826305,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
59,0.64,0.02319627537647783,0.01892159064710891,9.357551615544471,0.0066791945863986235,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
60,0.72,0.023463722083820804,0.01874660368614668,9.17872619388686,0.006551553314694404,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
61,0.8,0.024084606027272845,0.019360077865327938,8.273829224728217,0.005905659689313503,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
62,0.88,0.023846025984518474,0.018641962184188347,8.285106082406992,0.005913708838263378,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
63,0.96,0.024495838228753893,0.019578241482752397,7.17661787460673,0.0051224966985058745,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
64,1.0,0.024585404862609857,0.01907135668663444,7.725181667270228,0.005514048299264974,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
65,1.0,0.024082249180608493,0.01900967550686835,7.106676495645749,0.005072574229582976,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
66,1.0,0.024385026911794387,0.019448784703121377,6.9156759283704785,0.004936242632669863,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
67,1.0,0.024095967871791468,0.018853064743750342,7.345307780152905,0.005242903483335407,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
68,1.0,0.023963540539107934,0.01878709290223548,7.252202956442268,0.005176447506382775,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
69,1.0,0.02385933160481585,0.01880126254590843,7.0863546412297405,0.005058068980178259,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
70,1.0,0.023881737142801285,0.01912403411421953,6.665542762285516,0.00475770361333727,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
71,1.0,0.023460580012585115,0.018318825825973783,7.203597467552204,0.005141754081050824,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
72,1.0,0.023647572371348628,0.018601286457265054,7.069846409093823,0.005046285802351051,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
73,1.0,0.023340040386211063,0.01816981118313161,7.243491494685637,0.005170229475150348,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
74,1.0,0.023570549883117305,0.018785872972882364,6.703332869772346,0.004784677280351425,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
75,1.0,0.023482415407558233,0.017935735002272676,7.770899250165041,0.0055466804069700506,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
76,0.0,0.01727951226535462,0.01727951226535462,8.544251043189984,0.006098680259236248,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
77,0.08,0.016930953493947045,0.01602993318365338,15.779119429119888,0.011262754767394637,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
78,0.16,0.01726270641108754,0.015034801026416815,19.508093745041855,0.013924406670265422,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
79,0.24,0.018002956308030362,0.015077636157272745,17.07655547548001,0.012188833315831557,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
80,0.32,0.0184548676239153,0.01527691589813839,13.913471183488591,0.009931100059592142,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
81,0.4,0.018973984856449386,0.015706124839839766,11.44567938835855,0.008169649813246646,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
82,0.48,0.019237841233160694,0.015770385998960405,10.120635808565154,0.007223865673494043,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
83,0.56,0.019975844217037374,0.01612868837974684,9.624759489102688,0.006869921119987643,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
84,0.64,0.020220817181678202,0.015909417661408933,9.437922297556995,0.006736561240226263,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
85,0.72,0.020651314904918,0.0162102510115737,8.641570516437367,0.006168144551347158,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
86,0.8,0.021229082756025964,0.016521297930094696,8.244507670702802,0.0058847306714509655,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
87,0.88,0.021473834464697153,0.016759302804917473,7.5057487175506665,0.0053574223537121105,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
88,0.96,0.021849538018969203,0.016765021137255115,7.420217031195422,0.005296371899497089,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
89,1.0,0.02211968870528549,0.017046091669902994,7.108109414127071,0.00507359701222489,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
90,1.0,0.022222614037787886,0.017271637555296235,6.936317694877798,0.004950976227607279,strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
