stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,localized_case
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0157,4np,benzenethiol,0.6404023987641826,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0158,4np,pyridine,0.6728307154936519,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0159,4np,4np,0.5563078840940466,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0160,4np,benzenethiol,0.6812906911176703,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0161,4np,4np,0.601255519510319,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0162,4np,benzenethiol,0.8890793065829249,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0163,4np,benzenethiol,0.8609271091752649,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0164,4np,benzenethiol,0.8709731334440207,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0165,4np,4np,0.7391044958153636,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0166,4np,4np,0.6256109472321667,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0167,4np,benzenethiol,0.7463774054213789,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0168,4np,pyridine,0.4004310183048438,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0169,4np,4np,0.6042153485922025,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0170,4np,benzenethiol,0.67065661668053,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0171,4np,4np,0.8123756776473604,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0172,4np,4np,0.6872182479824597,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0173,4np,pyridine,0.5965708173550812,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0174,4np,4np,0.4900803207278951,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0150,4np,benzenethiol,0.9509841624359489,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0151,4np,4np,0.7046488587300507,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0152,4np,benzenethiol,0.8789507341667948,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0153,4np,4np,0.7308297261805213,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0154,4np,benzenethiol,0.762962646294201,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0155,4np,benzenethiol,0.821149079958422,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0156,4np,4np,0.6254825803448686,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0157,4np,benzenethiol,0.7717982997687582,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0158,4np,benzenethiol,0.4049092988833933,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0159,4np,4np,0.7906488672276324,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0160,4np,benzenethiol,0.6295219346526483,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0161,4np,4np,0.6065623032841457,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0162,4np,benzenethiol,0.7941085500449265,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0163,4np,benzenethiol,0.6520549572520058,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0164,4np,benzenethiol,0.8392837200227257,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0165,4np,4np,0.8077291882985759,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0166,4np,4np,0.8420227325615811,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0167,4np,benzenethiol,0.8644463931356061,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0168,4np,4np,0.4647429028788248,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0169,4np,4np,0.8247521753181571,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0170,4np,4np,0.5818515079355407,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0171,4np,4np,0.8598852200679388,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0172,4np,4np,0.7679079749642599,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0173,4np,benzenethiol,0.772207448323255,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,poster_row_0174,4np,4np,0.6430992728181874,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0150,4np,benzenethiol,0.8292664713393297,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0151,4np,pyridine,0.8972539778061778,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0152,4np,benzenethiol,0.9876686915960616,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0153,4np,pyridine,0.678785405782512,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0154,4np,benzenethiol,0.6257337432230343,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0155,4np,benzenethiol,0.990162357288108,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0156,4np,pyridine,0.9933861313187814,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0157,4np,benzenethiol,0.9777654126927212,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0158,4np,benzenethiol,0.7061454133463291,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0159,4np,pyridine,0.9541273533006688,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0160,4np,benzenethiol,0.9296072435733664,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0161,4np,benzenethiol,0.3998078490381288,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0162,4np,4np,0.6156632644305903,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0163,4np,4np,0.834251969853131,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0164,4np,benzenethiol,0.8165961769160018,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0165,4np,pyridine,0.9436280776765196,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0166,4np,benzenethiol,0.5750935438030377,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0167,4np,benzenethiol,0.9920664377896288,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0168,4np,pyridine,0.983447286846936,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0169,4np,pyridine,0.7923797921535597,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0170,4np,benzenethiol,0.7672040774492082,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0171,4np,pyridine,0.757747367790302,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0172,4np,benzenethiol,0.5896337746153353,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,poster_row_0173,4np,benzenethiol,0.961208016041042,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
