reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_matched_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,observation_uid,candidate,family_base,row_correlation_to_unsmoothed_family,high_frequency_noise_score,high_frequency_noise_score_reference,relative_high_frequency_noise_reduction
2.0,2.0,1.0,1.0,0.0,0.0,0.0,session2_row48,minimal_minmax,minimal_minmax,1.0,0.0013535621168049,0.0013535621168049,0.0
139.0,139.0,19.0,19.0,0.0,0.0,0.0,session2_row49,minimal_minmax,minimal_minmax,1.0,0.09245046305784975,0.09245046305784975,0.0
0.0,0.0,0.0,0.0,,,,session2_row66,minimal_minmax,minimal_minmax,1.0,0.0014287944398422572,0.0014287944398422572,0.0
147.0,147.0,11.0,11.0,0.0,0.0,0.0,session2_row67,minimal_minmax,minimal_minmax,0.9999999999999999,0.10901003302198693,0.10901003302198693,0.0
67.0,67.0,3.0,3.0,0.0,0.0,0.0,session2_row86,minimal_minmax,minimal_minmax,1.0,0.023963817680694683,0.023963817680694683,0.0
6.0,6.0,2.0,2.0,0.0,0.0,0.0,session2_row87,minimal_minmax,minimal_minmax,1.0,0.001723699748876238,0.001723699748876238,0.0
142.0,142.0,0.0,0.0,0.0,0.0,0.0,session2_row88,minimal_minmax,minimal_minmax,1.0,0.10281181223775072,0.10281181223775072,0.0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,session2_row89,minimal_minmax,minimal_minmax,1.0,0.0013978657504884022,0.0013978657504884022,0.0
0.0,0.0,0.0,0.0,,,,session2_row90,minimal_minmax,minimal_minmax,1.0,0.0015622729279125285,0.0015622729279125285,0.0
145.0,145.0,10.0,10.0,0.0,0.0,0.0,session2_row91,minimal_minmax,minimal_minmax,1.0,0.0942963820466005,0.0942963820466005,0.0
79.0,79.0,4.0,4.0,0.0,0.0,0.0,session2_row92,minimal_minmax,minimal_minmax,1.0,0.045021895433800904,0.045021895433800904,0.0
9.0,9.0,2.0,2.0,0.0,0.0,0.0,session2_row93,minimal_minmax,minimal_minmax,1.0,0.001972269058859534,0.001972269058859534,0.0
89.0,89.0,3.0,3.0,0.0,0.0,0.0,session2_row94,minimal_minmax,minimal_minmax,1.0,0.03909838330960517,0.03909838330960517,0.0
