candidate,subset,instrument,n_spectra,preservation_all_peak_weighted_recall,preservation_repeatable_peak_weighted_recall,preservation_median_matched_peak_shift_cm1,preservation_median_absolute_relative_peak_width_change,preservation_median_absolute_peak_prominence_change,preservation_median_row_correlation_to_unsmoothed_family,preservation_median_relative_high_frequency_noise_reduction
minimal_sg7_minmax,quality_pass,Mira-1,21,0.9760765550239234,1.0,0.0,0.0032702736878058823,0.000607000247805356,0.9999969717551419,0.08628154492293161
minimal_sg7_minmax,quality_pass,Mira-2,74,0.9959839357429718,0.9947089947089947,0.0,0.0014703215230388702,0.00038815768640294845,0.9999987168412826,0.1668802452951234
minimal_sg7_minmax,quality_pass,Mira-3,71,0.9765625,1.0,0.0,0.0029581478355714635,0.0005980569722081469,0.9999973804402389,0.1720806162015418
minimal_sg7_minmax,quality_pass,Pendar-1,40,0.847794753531277,0.972972972972973,1.0,0.07759336671214562,0.00975005645738758,0.9958577476469959,0.38016467106810664
minimal_sg7_minmax,quality_pass,Pendar-2,42,0.8671328671328671,0.9588744588744589,1.0,0.09017131159918318,0.010233896636672814,0.9937920714177859,0.3851622026525229
minimal_sg7_minmax,quality_pass,Pendar-3,42,0.8383673469387755,0.981549815498155,1.0,0.08105805740769192,0.009451341671422201,0.9951268705830505,0.394051379732654
minimal_sg7_minmax,quality_pass,RMX-1,45,0.9385749385749386,0.994535519125683,0.0,0.007920102846803535,0.0021032142793292463,0.9999178767365536,0.42825352819750206
minimal_sg7_minmax,quality_pass,RMX-2,64,0.592108390777276,0.9594202898550724,1.0,0.1314741715957482,0.017633847936356733,0.9984780869476563,0.45843461712411115
minimal_sg7_minmax,field_quality_stress,ALL,98,0.879130791307913,0.9538043478260869,1.0,0.10775150263066006,0.025362471075860288,0.9787868595021078,0.38803744660862116
minimal_sg7_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.0016433200587047485,0.00019720281998746036,0.9999983037724557,0.09744025471694728
minimal_sg7_minmax,field_quality_stress,Mira-1,2,0.9411764705882353,1.0,0.0,0.006336315432089125,0.0017243158614223437,0.9999958735780674,0.08692830765094794
minimal_sg7_minmax,field_quality_stress,Mira-2,1,1.0,1.0,0.0,0.0013022488947035307,0.0003149581847041172,0.9999969010333775,0.16962985404814013
minimal_sg7_minmax,field_quality_stress,Mira-3,1,,,,,,0.9999930610421621,0.1435853344198671
minimal_sg7_minmax,field_quality_stress,Pendar-1,6,0.8773087071240105,1.0,1.0,0.10456586330518734,0.020519362512171714,0.9856722173952768,0.3875747906145618
minimal_sg7_minmax,field_quality_stress,Pendar-2,56,0.8806803082646825,0.9583333333333334,1.0,0.10844066842546687,0.0255492221965632,0.9767927868860384,0.3871669304102613
minimal_sg7_minmax,field_quality_stress,Pendar-3,28,0.8754863813229572,0.9438596491228071,1.0,0.11233404072156686,0.02678986327655973,0.9779959303254264,0.3891683321020373
minimal_sg7_minmax,field_quality_stress,RMX-1,2,0.9,1.0,0.0,0.006272631177409121,0.00170615882256632,0.999942953635371,0.44693109290237554
minimal_sg7_minmax,field_quality_stress,RMX-2,1,0.8,0.5,1.0,0.002648837504584305,0.0016747062825208936,0.9999767461062733,0.4674108613927983
minimal_sg11_minmax,strict_core,ALL,598,0.5987716179085179,0.90067214339059,1.0,0.04103116196616467,0.007958176116175782,0.9994912052397951,0.6386615802845887
minimal_sg11_minmax,strict_core,Agilent-1,29,0.8248175182481752,0.9807692307692307,0.0,0.011228764809066927,0.002648075245643644,0.9998769859761083,0.41658688211134054
minimal_sg11_minmax,strict_core,Agilent-3,73,0.8143146522619852,0.9846938775510204,0.0,0.006424439059290146,0.0013820858911758327,0.9999588518990995,0.3993396002233557
minimal_sg11_minmax,strict_core,Mira-1,23,0.8716814159292036,1.0,0.0,0.013889381701460755,0.0028283139276544383,0.9999581414855245,0.41146426487096655
minimal_sg11_minmax,strict_core,Mira-2,75,0.9724409448818898,0.9895833333333334,0.0,0.0060896263237261924,0.0014938444107509552,0.9999859290265128,0.5145290340223523
minimal_sg11_minmax,strict_core,Mira-3,72,0.8984375,1.0,0.0,0.014515400506567194,0.002500571255948686,0.9999746082312536,0.5456856932643764
minimal_sg11_minmax,strict_core,Pendar-1,46,0.5843387745445943,0.9127906976744186,1.0,0.23822687530270004,0.03786059324110939,0.9819741339092587,0.6718843871432547
minimal_sg11_minmax,strict_core,Pendar-2,98,0.613529921942758,0.8505747126436781,1.0,0.27296399907627494,0.06402806656486495,0.9275851443083765,0.6693672013363241
minimal_sg11_minmax,strict_core,Pendar-3,70,0.597476759628154,0.8705035971223022,1.0,0.24799186495728098,0.05029629105645511,0.971036777497542,0.6687822188962494
minimal_sg11_minmax,strict_core,RMX-1,47,0.9256594724220624,0.9946524064171123,1.0,0.014964473349485561,0.004164766141776924,0.999814705287821,0.6833127976455644
minimal_sg11_minmax,strict_core,RMX-2,65,0.3596866096866097,0.8789625360230547,1.0,0.22049770374123415,0.027309610602072265,0.9967712402511825,0.7115824154382839
minimal_sg11_minmax,quality_pass,ALL,500,0.5808964781216649,0.9201853759011328,1.0,0.021649943445581167,0.004373969944746314,0.999843962809545,0.5779052876490746
minimal_sg11_minmax,quality_pass,Agilent-1,29,0.8248175182481752,0.9807692307692307,0.0,0.011228764809066927,0.002648075245643644,0.9998769859761083,0.41658688211134054
minimal_sg11_minmax,quality_pass,Agilent-3,72,0.8125426039536469,0.9840425531914894,0.0,0.0064675378337261434,0.0014044432073501145,0.9999554853023144,0.399230017819713
minimal_sg11_minmax,quality_pass,Mira-1,21,0.8947368421052632,1.0,0.0,0.01296588714784093,0.002394934787508851,0.9999594749802179,0.41146426487096655
minimal_sg11_minmax,quality_pass,Mira-2,74,0.9718875502008032,0.9894179894179894,0.0,0.006138981050384278,0.001492663889555601,0.9999860406321271,0.5145722994399157
minimal_sg11_minmax,quality_pass,Mira-3,71,0.8984375,1.0,0.0,0.014515400506567194,0.002500571255948686,0.9999747139429042,0.5448699432236854
minimal_sg11_minmax,quality_pass,Pendar-1,40,0.5773998270394927,0.918918918918919,1.0,0.2278036487580183,0.03509305938700424,0.9845147971808522,0.6734627218144633
minimal_sg11_minmax,quality_pass,Pendar-2,42,0.5926573426573427,0.8506493506493507,1.0,0.2383203457958999,0.03435525033029465,0.9785744386155835,0.6748688776309709
minimal_sg11_minmax,quality_pass,Pendar-3,42,0.5651700680272109,0.9040590405904059,1.0,0.21505236900660954,0.03055075976975582,0.9822827278633901,0.6777197090048468
minimal_sg11_minmax,quality_pass,RMX-1,45,0.9262899262899262,0.994535519125683,1.0,0.014964473349485561,0.004164766141776924,0.999814705287821,0.6813681249373962
minimal_sg11_minmax,quality_pass,RMX-2,64,0.3591632992631329,0.881159420289855,1.0,0.22295578165845356,0.028365652376387662,0.9967519202458637,0.7121274068437866
minimal_sg11_minmax,field_quality_stress,ALL,98,0.626240262402624,0.8491847826086957,1.0,0.2800641487646754,0.07193145544773659,0.9170322118421026,0.664230098715474
minimal_sg11_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.005075813795915719,0.0005237854260840419,0.9999800852844973,0.40083906601773633
minimal_sg11_minmax,field_quality_stress,Mira-1,2,0.5882352941176471,1.0,0.75,0.03311220132139982,0.007445474488453785,0.99994369685177,0.405282681430332
minimal_sg11_minmax,field_quality_stress,Mira-2,1,1.0,1.0,0.0,0.005384707936896389,0.0025146743102990587,0.9999626527703176,0.4745239949459943
minimal_sg11_minmax,field_quality_stress,Mira-3,1,,,,,,0.9999326781416779,0.5563889801977608
minimal_sg11_minmax,field_quality_stress,Pendar-1,6,0.6160949868073878,0.875,1.0,0.251035846419836,0.0663129511142303,0.9476620934521873,0.6657423186738749
minimal_sg11_minmax,field_quality_stress,Pendar-2,56,0.6246346000531491,0.8504901960784313,1.0,0.2857920188993318,0.07308500504942284,0.9085570920775391,0.6671608825094313
minimal_sg11_minmax,field_quality_stress,Pendar-3,28,0.6282749675745785,0.8385964912280702,1.0,0.28499852871645415,0.07795538983740549,0.9156585542337152,0.657048225647308
minimal_sg11_minmax,field_quality_stress,RMX-1,2,0.9,1.0,0.75,0.01963055513325821,0.005261666580115759,0.9998685944212382,0.6919031491438454
minimal_sg11_minmax,field_quality_stress,RMX-2,1,0.8,0.5,0.5,0.007926806294847733,0.004892349493314921,0.9999575745160713,0.6910462125704737
minimal_sg15_minmax,strict_core,ALL,598,0.474672700824309,0.806572068707991,1.0,0.07092597546844628,0.011971046499236332,0.9987579221558264,0.7490932648958522
minimal_sg15_minmax,strict_core,Agilent-1,29,0.7427007299270073,0.9807692307692307,1.0,0.021220262307914885,0.005092141515940396,0.9996059712530811,0.610830859925274
minimal_sg15_minmax,strict_core,Agilent-3,73,0.7339635381498987,0.9744897959183674,1.0,0.01332688196292058,0.0026425922875228935,0.9998737421530266,0.564936540921694
minimal_sg15_minmax,strict_core,Mira-1,23,0.8053097345132744,1.0,1.0,0.02902627535692643,0.00620382916084572,0.9998693202531994,0.6207267275994566
minimal_sg15_minmax,strict_core,Mira-2,75,0.9625984251968503,0.9895833333333334,0.0,0.014971650291704523,0.0024501982557196406,0.9999613530288153,0.6485263145401091
minimal_sg15_minmax,strict_core,Mira-3,72,0.859375,1.0,0.5,0.0372180872266291,0.0053645383499523885,0.9999393412626569,0.6927847549431303
minimal_sg15_minmax,strict_core,Pendar-1,46,0.43340430565412824,0.8023255813953488,2.0,0.3269935174840322,0.05341178699613574,0.9719327525112145,0.7842153179673543
minimal_sg15_minmax,strict_core,Pendar-2,98,0.4805724197745013,0.7022988505747126,2.0,0.4011634816574861,0.09089648884239429,0.8790426910394868,0.7730776426274673
minimal_sg15_minmax,strict_core,Pendar-3,70,0.45577689243027886,0.7464028776978417,2.0,0.4025504518140211,0.06944684216921282,0.9540725095326186,0.7806654266955538
minimal_sg15_minmax,strict_core,RMX-1,47,0.920863309352518,1.0,1.0,0.027247984111704156,0.006095695133531476,0.9997286972807463,0.7773348481235167
minimal_sg15_minmax,strict_core,RMX-2,65,0.26353276353276356,0.7809798270893372,1.0,0.21910370901781231,0.03164907766794145,0.9955875510561094,0.8054270741200217
minimal_sg15_minmax,quality_pass,ALL,500,0.4653681963713981,0.8511843460350155,1.0,0.04294089515920495,0.00742912326794095,0.9996308540794585,0.7175655308630804
minimal_sg15_minmax,quality_pass,Agilent-1,29,0.7427007299270073,0.9807692307692307,1.0,0.021220262307914885,0.005092141515940396,0.9996059712530811,0.610830859925274
minimal_sg15_minmax,quality_pass,Agilent-3,72,0.7314246762099523,0.973404255319149,1.0,0.013592990995862135,0.0026744620925499424,0.9998613768941835,0.5649608461630318
minimal_sg15_minmax,quality_pass,Mira-1,21,0.8325358851674641,1.0,1.0,0.028887550869041632,0.006111866481749162,0.9998749335233771,0.6178268521921206
minimal_sg15_minmax,quality_pass,Mira-2,74,0.9618473895582329,0.9894179894179894,0.0,0.014694354715016414,0.0024345916545433707,0.9999618619477375,0.6490804648320498
minimal_sg15_minmax,quality_pass,Mira-3,71,0.859375,1.0,0.5,0.0372180872266291,0.0053645383499523885,0.9999398570276307,0.6909500607807444
minimal_sg15_minmax,quality_pass,Pendar-1,40,0.42894205823003745,0.8243243243243243,2.0,0.3131233710470711,0.04746794282016906,0.9753216999741545,0.7820482205122757
minimal_sg15_minmax,quality_pass,Pendar-2,42,0.46228771228771226,0.7164502164502164,2.0,0.31311413998146537,0.04691107598072741,0.9670068939917269,0.7779425739544121
minimal_sg15_minmax,quality_pass,Pendar-3,42,0.42149659863945577,0.8228782287822878,2.0,0.33812407868245203,0.04323218294436174,0.9712666441037122,0.7870992164294497
minimal_sg15_minmax,quality_pass,RMX-1,45,0.9213759213759214,1.0,1.0,0.027247984111704156,0.006095695133531476,0.9997286972807463,0.7770829250115197
minimal_sg15_minmax,quality_pass,RMX-2,64,0.262657475635845,0.7797101449275362,1.0,0.24466412973492985,0.03239324631343633,0.9954829694491619,0.8057205190734507
minimal_sg15_minmax,field_quality_stress,ALL,98,0.48897088970889707,0.688858695652174,2.0,0.42148243708806205,0.10315654188170714,0.865125504167191,0.7697783572197427
minimal_sg15_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.012186903484138869,0.0019598221395229487,0.9999409174817201,0.5186067811142937
minimal_sg15_minmax,field_quality_stress,Mira-1,2,0.47058823529411764,1.0,1.5,0.05906734678771545,0.012676406483132938,0.9998342644868776,0.6418384433584943
minimal_sg15_minmax,field_quality_stress,Mira-2,1,1.0,1.0,1.0,0.01947981416056969,0.0035174145120007716,0.999859699881703,0.5849421044061087
minimal_sg15_minmax,field_quality_stress,Mira-3,1,,,,,,0.9998532367908206,0.7253571425249739
minimal_sg15_minmax,field_quality_stress,Pendar-1,6,0.45382585751978893,0.6666666666666666,1.5,0.48544096392086555,0.09519636494011921,0.9162389981616897,0.7854851468886412
minimal_sg15_minmax,field_quality_stress,Pendar-2,56,0.4903002923199575,0.6862745098039216,2.0,0.4127235977232433,0.10482021778528665,0.8510175795428174,0.7708506051588928
minimal_sg15_minmax,field_quality_stress,Pendar-3,28,0.48845654993514914,0.6736842105263158,2.0,0.43180255581785576,0.10998321313502357,0.8640359526374888,0.7660991006066205
minimal_sg15_minmax,field_quality_stress,RMX-1,2,0.9,1.0,1.25,0.027182111504844814,0.0068420815735870805,0.9998086205959996,0.792810573481458
minimal_sg15_minmax,field_quality_stress,RMX-2,1,1.0,1.0,1.0,0.010730437815330375,0.004725811405849711,0.9999377853408501,0.7534190864104238
arpls_minmax,strict_core,ALL,598,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Agilent-1,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Agilent-3,73,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Mira-1,23,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Mira-2,75,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Mira-3,72,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Pendar-1,46,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Pendar-2,98,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,Pendar-3,70,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,RMX-1,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,strict_core,RMX-2,65,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,ALL,500,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Agilent-1,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Agilent-3,72,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Mira-1,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Mira-2,74,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Mira-3,71,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Pendar-1,40,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Pendar-2,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,Pendar-3,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,RMX-1,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,quality_pass,RMX-2,64,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,ALL,98,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0
arpls_minmax,field_quality_stress,Mira-1,2,1.0,1.0,0.0,0.0,0.0,0.9999999999999998,0.0
arpls_minmax,field_quality_stress,Mira-2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,Mira-3,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,Pendar-1,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,Pendar-2,56,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,Pendar-3,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,RMX-1,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_minmax,field_quality_stress,RMX-2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
arpls_sg7_minmax,strict_core,ALL,598,0.8485246092838815,0.9597041074557134,0.0,0.018456564055417134,0.004078861977891979,0.9997261505865932,0.34075989208059243
arpls_sg7_minmax,strict_core,Agilent-1,29,0.9478584729981379,0.975609756097561,0.0,0.003148465028858333,0.0005723989109510663,0.9999905434105334,0.0934085888609707
arpls_sg7_minmax,strict_core,Agilent-3,73,0.9406952965235174,1.0,0.0,0.001918949411901458,0.0003385074130714816,0.9999967000805623,0.10573086768554962
arpls_sg7_minmax,strict_core,Mira-1,23,0.8964992389649924,0.994535519125683,0.0,0.004540636879967684,0.0012224804837280001,0.9999531596762428,0.08583749426498866
arpls_sg7_minmax,strict_core,Mira-2,75,0.9690210656753407,0.9965986394557823,0.0,0.002527519579085203,0.0005827008958843097,0.9999940929471759,0.1655045930248633
arpls_sg7_minmax,strict_core,Mira-3,72,0.879646017699115,0.9935897435897436,0.0,0.005671672041497908,0.0015287541224846546,0.9999674619314683,0.17214981984809408
arpls_sg7_minmax,strict_core,Pendar-1,46,0.8504672897196262,0.9644128113879004,1.0,0.08762353988696855,0.010325693585495142,0.9946329878109095,0.3782425213197119
arpls_sg7_minmax,strict_core,Pendar-2,98,0.8753929444638491,0.9666666666666667,1.0,0.10488091951448761,0.02127808831090197,0.9769982743761734,0.3741205235849707
arpls_sg7_minmax,strict_core,Pendar-3,70,0.8628318584070797,0.9658965896589659,1.0,0.09252709580861232,0.014778376394822483,0.990204983355415,0.3909723727445739
arpls_sg7_minmax,strict_core,RMX-1,47,0.8552412645590682,1.0,0.0,0.009300436610455348,0.003271851391541694,0.9998058226819169,0.4286676528656307
arpls_sg7_minmax,strict_core,RMX-2,65,0.7166074149314373,0.9154411764705882,1.0,0.15142778006284266,0.024306725630302464,0.9858657940021881,0.44439469841332346
arpls_sg7_minmax,quality_pass,ALL,500,0.8297696991895975,0.9581503487470938,0.0,0.008828528376614452,0.002334370412024129,0.999910893101872,0.19731388794952753
arpls_sg7_minmax,quality_pass,Agilent-1,29,0.9478584729981379,0.975609756097561,0.0,0.003148465028858333,0.0005723989109510663,0.9999905434105334,0.0934085888609707
arpls_sg7_minmax,quality_pass,Agilent-3,72,0.9401238816242258,1.0,0.0,0.001999502894310771,0.0003494315085781352,0.9999965437519633,0.10615520870016981
arpls_sg7_minmax,quality_pass,Mira-1,21,0.8903803131991052,1.0,0.0,0.0042861900806848,0.0010063026766312377,0.999958164931863,0.08583749426498866
arpls_sg7_minmax,quality_pass,Mira-2,74,0.9684343434343434,0.9965397923875432,0.0,0.002640946832708197,0.000587617765451201,0.9999942591637303,0.16471860374060082
arpls_sg7_minmax,quality_pass,Mira-3,71,0.8804347826086957,0.993006993006993,0.0,0.00560921637640918,0.0015186315432274,0.9999684095668242,0.17229185746746611
arpls_sg7_minmax,quality_pass,Pendar-1,40,0.8435374149659864,0.9628099173553719,1.0,0.0812658911994083,0.009397060379800627,0.994919005466316,0.3762388776245849
arpls_sg7_minmax,quality_pass,Pendar-2,42,0.8638769851273003,0.9642401021711366,1.0,0.08546118097500863,0.009898860434901818,0.993668341319841,0.3891260475316905
arpls_sg7_minmax,quality_pass,Pendar-3,42,0.8463656387665198,0.9842931937172775,1.0,0.07390808126493616,0.008419008899576742,0.9946704036660641,0.39241367585899717
arpls_sg7_minmax,quality_pass,RMX-1,45,0.8551724137931035,1.0,0.0,0.009476865439839784,0.003271851391541694,0.9998058226819169,0.4286676528656307
arpls_sg7_minmax,quality_pass,RMX-2,64,0.7159341591718988,0.915129151291513,1.0,0.15237617177634583,0.024559458777638116,0.9856618197945719,0.44419190388320107
arpls_sg7_minmax,field_quality_stress,ALL,98,0.881413087113609,0.9644549763033176,1.0,0.10952320054591172,0.02294514554892453,0.9744630914455321,0.3728752714449318
arpls_sg7_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.0016434221480759311,0.00019965648456277824,0.999998303836614,0.09742616167512175
arpls_sg7_minmax,field_quality_stress,Mira-1,2,0.9095238095238095,0.9848484848484849,0.0,0.026230631664804525,0.010628476510083293,0.9991054743932766,0.08322198140456383
arpls_sg7_minmax,field_quality_stress,Mira-2,1,1.0,1.0,0.0,0.0019065850848233666,0.00028616212567794674,0.9999887315297116,0.1743611771977811
arpls_sg7_minmax,field_quality_stress,Mira-3,1,0.8728813559322034,1.0,0.0,0.046980323781948545,0.01608981263757081,0.9953611596508521,0.10829762038697544
arpls_sg7_minmax,field_quality_stress,Pendar-1,6,0.8829787234042553,0.9743589743589743,1.0,0.10150151027735814,0.0159433988635456,0.9842681485556316,0.3803672655336859
arpls_sg7_minmax,field_quality_stress,Pendar-2,56,0.8814963259853039,0.9698492462311558,1.0,0.11157057875827708,0.02294514554892453,0.9720224620691149,0.37220140388035183
arpls_sg7_minmax,field_quality_stress,Pendar-3,28,0.8784631468897021,0.952561669829222,1.0,0.11505698103702794,0.025759233313634167,0.9725246784324325,0.3757258246152535
arpls_sg7_minmax,field_quality_stress,RMX-1,2,0.8571428571428571,1.0,0.0,0.005080716495641756,0.0035764584660821497,0.9998593334117816,0.4475054542715345
arpls_sg7_minmax,field_quality_stress,RMX-2,1,1.0,1.0,1.0,0.005923081885770225,0.0038756237102023916,0.9998055840687643,0.4595227403793972
